Task,T236
Scope 1/1, Sample 1/4 (20210328_JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,11.7,21.7,NaN,,,,,,
0.0200,28,-29.2,21.7,0.0005,,,,,,
0.0400,58,-38.5,21.7,0.0005,,,,,,
0.0900,65,-37.5,21.7,0.0070,,,,,,
0.2150,96,-11.3,21.7,0.0040,,,,,,
0.2440,112,-4.8,21.7,0.0020,,,,,,
0.3105,132,2.8,21.7,0.0030,,,,,,
0.4765,159,16.0,21.7,0.0060,,,,,,
0.6765,183,28.6,21.7,0.0080,,,,,,
0.8765,188,38.2,21.7,0.0425,48.41,1.68,,,,NaN
1.0765,215,53.2,21.7,0.0075,72.03,1.86,,,,NaN
1.2765,240,69.4,21.7,0.0080,126.13,2.10,,,,NaN
1.4730,265,93.9,21.7,0.0075,227.17,2.36,,,,NaN
1.5560,288,114.4,21.7,0.0035,300.18,2.48,,,,NaN
1.5760,422,125.9,21.7,0.0000,311.98,2.49,,,,NaN
1.5960,437,132.8,21.7,0.0015,303.36,2.48,,,,NaN
1.6340,456,147.4,21.7,0.0020,343.86,2.54,,,,NaN
1.6540,471,154.9,21.7,0.0015,333.72,2.52,,,,NaN
1.6760,484,162.0,21.7,0.0015,280.92,2.45,,,,NaN
1.7050,497,169.4,21.7,0.0020,240.93,2.38,,,,NaN
1.7435,509,177.3,21.7,0.0030,202.88,2.31,,,,NaN
1.7935,522,185.2,21.7,0.0040,159.79,2.20,,,,NaN
1.8580,533,192.8,21.7,0.0060,123.13,2.09,,,,NaN
1.9495,542,200.8,21.7,0.0095,,,,,,
2.0735,552,209.0,21.7,0.0120,,,,,,
2.2355,562,216.8,21.7,0.0160,,,,,,
2.4355,571,224.1,21.7,0.0215,,,,,,
2.6355,580,229.8,21.7,0.0235,,,,,,
Scope 1/1, Sample 2/4 (20210328_TANK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,7.1,21.7,NaN,,,,,,
0.0200,27,-34.3,21.7,0.0005,,,,,,
0.0400,57,-43.9,21.7,0.0005,,,,,,
0.0900,60,-44.0,21.7,0.0145,,,,,,
0.2150,91,-14.0,21.7,0.0040,,,,,,
0.2370,114,-4.4,21.7,0.0010,,,,,,
0.2570,123,-1.5,21.7,0.0020,,,,,,
0.3070,134,3.4,21.7,0.0045,,,,,,
0.4320,164,19.1,21.7,0.0040,,,,,,
0.5310,190,29.9,21.7,0.0040,,,,,,
0.7015,194,37.4,21.7,0.0380,64.71,1.81,,,,NaN
0.9015,225,58.9,21.7,0.0065,143.75,2.16,,,,NaN
1.0115,255,76.3,21.7,0.0035,234.49,2.37,,,,NaN
1.0805,280,91.4,21.7,0.0025,315.62,2.50,,,,NaN
1.1335,304,108.4,21.7,0.0020,383.49,2.58,,,,NaN
1.1535,440,121.3,21.7,0.0000,390.61,2.59,,,,NaN
1.1735,459,130.3,21.7,0.0010,419.43,2.62,,,,NaN
1.1985,480,142.5,21.7,0.0010,458.00,2.66,,,,NaN
1.2185,501,152.0,21.7,0.0010,405.76,2.61,,,,NaN
1.2385,516,159.5,21.7,0.0015,341.79,2.53,,,,NaN
1.2655,532,168.0,21.7,0.0015,288.51,2.46,,,,NaN
1.2955,545,175.1,21.7,0.0025,245.53,2.39,,,,NaN
1.3405,558,183.5,21.7,0.0035,189.91,2.28,,,,NaN
1.3960,569,191.0,21.7,0.0050,144.94,2.16,,,,NaN
1.4765,581,199.3,21.7,0.0070,,,,,,
1.5770,591,206.9,21.7,0.0105,,,,,,
1.7235,600,215.1,21.7,0.0155,,,,,,
1.9155,610,223.1,21.7,0.0190,,,,,,
2.1155,618,229.3,21.7,0.0240,,,,,,
Scope 1/1, Sample 3/4 (20210328_TANK2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,10.1,21.7,NaN,,,,,,
0.0200,28,-31.7,21.7,0.0005,,,,,,
0.0400,58,-42.4,21.7,0.0005,,,,,,
0.0900,65,-41.6,21.7,0.0070,,,,,,
0.2150,95,-13.5,21.7,0.0040,,,,,,
0.2405,116,-4.3,21.7,0.0010,,,,,,
0.2680,126,-0.8,21.7,0.0025,,,,,,
0.3370,147,8.2,21.7,0.0035,,,,,,
0.4595,176,22.4,21.7,0.0045,,,,,,
0.6120,203,35.8,21.7,0.0055,41.24,1.62,,,,NaN
0.8120,207,44.7,21.7,0.0490,89.46,1.95,,,,NaN
1.0120,237,72.9,21.7,0.0065,262.17,2.42,,,,NaN
1.0765,268,91.8,21.7,0.0020,354.14,2.55,,,,NaN
