Task,T345
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-85.5,21.7,NaN,,,,,,
0.0200,3,-86.0,21.7,0.0060,,,,,,
0.0400,8,-84.8,21.7,0.0040,,,,,,
0.0900,18,-80.0,21.7,0.0050,,,,,,
0.2150,48,-57.9,21.7,0.0040,,,,,,
0.2645,78,-39.2,21.7,0.0015,,,,,,
0.2845,100,-28.9,21.7,0.0010,,,,,,
0.3075,117,-19.1,21.7,0.0015,,,,,,
0.3525,132,-3.7,21.7,0.0030,,,,,,
0.4110,145,8.3,21.7,0.0045,,,,,,
0.5390,162,29.1,21.7,0.0075,135.93,2.13,,,,NaN
0.6640,177,44.4,21.7,0.0085,88.19,1.95,,,,NaN
0.8375,190,61.6,21.7,0.0135,97.00,1.99,,,,NaN
1.0365,194,86.5,21.7,0.0440,220.37,2.34,,,,NaN
1.1375,199,111.2,21.7,0.0195,344.13,2.54,,,,NaN
1.1575,325,120.1,21.7,0.0000,377.28,2.58,,,,NaN
1.1775,329,128.4,21.7,0.0050,390.29,2.59,,,,NaN
1.1980,334,138.0,21.7,0.0040,399.09,2.60,,,,NaN
1.2180,343,148.7,21.7,0.0020,462.41,2.67,,,,NaN
1.2380,350,158.2,21.7,0.0030,402.38,2.60,,,,NaN
1.2580,358,166.3,21.7,0.0025,347.02,2.54,,,,NaN
1.2805,365,173.6,21.7,0.0030,305.91,2.49,,,,NaN
1.3125,372,181.5,21.7,0.0045,253.31,2.40,,,,NaN
1.3540,380,189.3,21.7,0.0055,196.95,2.29,,,,NaN
1.4095,387,197.1,21.7,0.0080,,,,,,
1.4865,394,205.2,21.7,0.0105,,,,,,
1.5895,401,213.0,21.7,0.0150,,,,,,
1.7345,408,221.1,21.7,0.0220,,,,,,
1.9280,415,228.9,21.7,0.0280,,,,,,
Scope 1/1, Sample 2/4 (tank1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-66.8,21.7,NaN,,,,,,
0.0200,5,-66.3,21.7,0.0040,,,,,,
0.0400,12,-64.0,21.7,0.0025,,,,,,
0.0900,34,-53.4,21.7,0.0020,,,,,,
0.1300,60,-41.0,21.7,0.0015,,,,,,
0.1655,84,-27.3,21.7,0.0015,,,,,,
0.1985,103,-15.4,21.7,0.0020,,,,,,
0.2465,117,-1.7,21.7,0.0035,,,,,,
0.3165,131,11.0,21.7,0.0050,,,,,,
0.4560,148,30.6,21.7,0.0085,116.74,2.07,,,,NaN
0.6030,160,46.6,21.7,0.0120,78.59,1.90,,,,NaN
0.7935,165,60.6,21.7,0.0365,89.87,1.95,,,,NaN
0.9935,181,85.9,21.7,0.0130,175.45,2.24,,,,NaN
1.0735,185,100.0,21.7,0.0210,242.77,2.39,,,,NaN
1.1060,310,108.3,21.7,0.0005,286.85,2.46,,,,NaN
1.1280,318,114.0,21.7,0.0025,318.33,2.50,,,,NaN
1.1580,327,123.8,21.7,0.0030,353.29,2.55,,,,NaN
1.1780,336,132.1,21.7,0.0020,397.47,2.60,,,,NaN
1.1980,344,141.3,21.7,0.0025,443.69,2.65,,,,NaN
1.2180,351,150.9,21.7,0.0030,434.17,2.64,,,,NaN
1.2380,359,159.9,21.7,0.0025,382.82,2.58,,,,NaN
1.2580,366,167.6,21.7,0.0025,332.68,2.52,,,,NaN
1.2820,374,175.1,21.7,0.0030,291.27,2.46,,,,NaN
1.3135,381,182.6,21.7,0.0045,243.28,2.39,,,,NaN
1.3575,387,190.7,21.7,0.0070,189.44,2.28,,,,NaN
1.4150,393,198.6,21.7,0.0095,,,,,,
1.4920,400,206.3,21.7,0.0105,,,,,,
1.6005,407,214.4,21.7,0.0150,,,,,,
1.7455,414,222.3,21.7,0.0200,,,,,,
1.9455,421,230.3,21.7,0.0270,,,,,,
Scope 1/1, Sample 3/4 (tank2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-66.1,21.7,NaN,,,,,,
0.0200,0,-66.6,21.7,0.1000,,,,,,
0.0400,8,-63.7,21.7,0.0025,,,,,,
0.0900,32,-52.7,21.7,0.0020,,,,,,
0.1380,61,-37.1,21.7,0.0015,,,,,,
0.1710,84,-24.2,21.7,0.0015,,,,,,
0.2055,101,-12.4,21.7,0.0020,,,,,,
0.2580,114,0.4,21.7,0.0040,,,,,,
0.3505,128,16.6,21.7,0.0065,,,,,,
0.4775,142,33.8,21.7,0.0090,111.49,2.05,,,,NaN
0.6310,156,48.9,21.7,0.0105,77.11,1.89,,,,NaN
0.8310,169,66.9,21.7,0.0150,98.97,2.00,,,,NaN
1.0280,174,91.4,21.7,0.0410,207.08,2.32,,,,NaN
1.1200,178,108.7,21.7,0.0205,303.58,2.48,,,,NaN
1.1480,308,121.0,21.7,0.0000,344.25,2.54,,,,NaN
1.1680,315,128.4,21.7,0.0030,360.68,2.56,,,,NaN
1.1935,324,139.6,21.7,0.0030,375.76,2.57,,,,NaN
1.2135,332,149.1,21.7,0.0025,436.77,2.64,,,,NaN
1.2335,339,157.9,21.7,0.0030,387.72,2.59,,,,NaN
1.2535,347,165.9,21.7,0.0025,335.50,2.53,,,,NaN
1.2760,354,173.2,21.7,0.0030,295.56,2.47,,,,NaN
1.3065,361,180.8,21.7,0.0040,250.88,2.40,,,,NaN
1.3470,367,188.9,21.7,0.0065,199.33,2.30,,,,NaN
1.3980,375,196.2,21.7,0.0065,,,,,,
1.4750,382,204.5,21.7,0.0115,,,,,,
1.5730,388,212.4,21.7,0.0165,,,,,,
1.7080,395,220.2,21.7,0.0200,,,,,,
1.8980,402,228.4,21.7,0.0260,,,,,,
Scope 1/1, Sample 4/4 (tank3)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-66.8,21.7,NaN,,,,,,
0.0200,5,-66.5,21.7,0.0040,,,,,,
0.0400,12,-64.2,21.7,0.0030,,,,,,
0.0900,34,-54.0,21.7,0.0025,,,,,,
0.1335,61,-39.9,21.7,0.0015,,,,,,
0.1650,84,-27.6,21.7,0.0015,,,,,,
0.1990,101,-15.2,21.7,0.0020,,,,,,
0.2460,115,-1.4,21.7,0.0035,,,,,,
0.3140,129,10.8,21.7,0.0050,,,,,,
0.4575,143,31.2,21.7,0.0105,119.01,2.08,,,,NaN
0.6010,147,44.1,21.7,0.0390,83.51,1.92,,,,NaN
0.8010,162,64.1,21.7,0.0135,97.76,1.99,,,,NaN
0.9445,174,80.3,21.7,0.0115,154.00,2.19,,,,NaN
1.0700,180,100.6,21.7,0.0195,247.05,2.39,,,,NaN
1.1045,307,110.1,21.7,0.0005,296.80,2.47,,,,NaN
1.1245,311,115.7,21.7,0.0055,329.61,2.52,,,,NaN
1.1525,319,125.7,21.7,0.0035,362.15,2.56,,,,NaN
1.1725,327,134.3,21.7,0.0025,405.18,2.61,,,,NaN
1.1925,335,143.9,21.7,0.0025,447.31,2.65,,,,NaN
1.2125,344,153.5,21.7,0.0025,422.85,2.63,,,,NaN
1.2325,351,161.9,21.7,0.0030,367.77,2.57,,,,NaN
1.2540,358,169.8,21.7,0.0030,319.58,2.50,,,,NaN
1.2785,366,177.0,21.7,0.0030,279.68,2.45,,,,NaN
1.3130,374,184.7,21.7,0.0045,228.61,2.36,,,,NaN
1.3595,380,192.6,21.7,0.0070,176.49,2.25,,,,NaN
1.4225,387,200.5,21.7,0.0085,,,,,,
1.5085,395,208.5,21.7,0.0110,,,,,,
1.6230,402,216.3,21.7,0.0170,,,,,,
1.7840,409,224.4,21.7,0.0225,,,,,,
1.9840,417,231.8,21.7,0.0255,,,,,,
