Task,T344
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-86.1,21.7,NaN,,,,,,
0.0200,3,-86.9,21.7,0.0060,,,,,,
0.0400,9,-85.4,21.7,0.0035,,,,,,
0.0900,20,-80.3,21.7,0.0045,,,,,,
0.2130,50,-58.4,21.7,0.0040,,,,,,
0.2645,80,-40.1,21.7,0.0015,,,,,,
0.2870,104,-28.9,21.7,0.0010,,,,,,
0.3095,120,-19.6,21.7,0.0015,,,,,,
0.3565,137,-3.4,21.7,0.0030,,,,,,
0.4120,147,8.6,21.7,0.0055,,,,,,
0.5305,163,28.1,21.7,0.0075,138.57,2.14,,,,NaN
0.6575,178,43.9,21.7,0.0085,83.19,1.92,,,,NaN
0.8275,182,59.5,21.7,0.0395,89.12,1.95,,,,NaN
1.0275,187,83.7,21.7,0.0410,224.10,2.35,,,,NaN
1.1270,193,108.3,21.7,0.0180,354.41,2.55,,,,NaN
1.1470,319,118.5,21.7,0.0000,385.57,2.59,,,,NaN
1.1670,327,127.0,21.7,0.0025,396.84,2.60,,,,NaN
1.1900,331,138.2,21.7,0.0055,411.28,2.61,,,,NaN
1.2100,338,148.5,21.7,0.0025,470.78,2.67,,,,NaN
1.2300,346,158.1,21.7,0.0025,405.32,2.61,,,,NaN
1.2500,354,166.3,21.7,0.0025,349.25,2.54,,,,NaN
1.2730,361,173.8,21.7,0.0035,305.75,2.49,,,,NaN
1.3035,368,181.5,21.7,0.0040,256.05,2.41,,,,NaN
1.3450,375,189.4,21.7,0.0055,199.58,2.30,,,,NaN
1.4010,382,197.3,21.7,0.0080,,,,,,
1.4770,389,205.3,21.7,0.0115,,,,,,
1.5790,396,213.2,21.7,0.0155,,,,,,
1.7210,402,221.2,21.7,0.0225,,,,,,
1.9155,410,229.1,21.7,0.0255,,,,,,
Scope 1/1, Sample 2/2 (CRM1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-62.0,21.7,NaN,,,,,,
0.0200,6,-61.5,21.7,0.0035,,,,,,
0.0400,13,-59.1,21.7,0.0030,,,,,,
0.0900,41,-45.9,21.7,0.0020,,,,,,
0.1180,64,-35.7,21.7,0.0010,,,,,,
0.1500,86,-23.4,21.7,0.0015,,,,,,
0.1890,104,-10.8,21.7,0.0020,,,,,,
0.2480,118,2.8,21.7,0.0045,,,,,,
0.3460,133,17.7,21.7,0.0065,,,,,,
0.5040,148,35.1,21.7,0.0100,94.08,1.97,,,,NaN
0.7040,161,51.8,21.7,0.0155,66.61,1.82,,,,NaN
0.9040,173,68.9,21.7,0.0165,92.97,1.97,,,,NaN
1.0850,178,87.0,21.7,0.0370,164.73,2.22,,,,NaN
1.2235,182,114.2,21.7,0.0315,268.27,2.43,,,,NaN
1.2440,308,119.8,21.7,0.0000,306.15,2.49,,,,NaN
1.2655,313,126.9,21.7,0.0045,335.86,2.53,,,,NaN
1.2855,318,134.7,21.7,0.0040,344.25,2.54,,,,NaN
1.3055,326,143.3,21.7,0.0025,395.35,2.60,,,,NaN
1.3255,333,151.9,21.7,0.0025,393.84,2.60,,,,NaN
1.3455,341,160.2,21.7,0.0025,350.12,2.54,,,,NaN
1.3655,348,167.2,21.7,0.0030,309.74,2.49,,,,NaN
1.3930,356,175.1,21.7,0.0035,268.15,2.43,,,,NaN
1.4265,363,182.6,21.7,0.0045,224.03,2.35,,,,NaN
1.4730,371,190.7,21.7,0.0055,175.73,2.24,,,,NaN
1.5315,379,198.1,21.7,0.0075,,,,,,
1.6175,386,206.3,21.7,0.0125,,,,,,
1.7300,393,214.2,21.7,0.0155,,,,,,
1.8850,400,222.1,21.7,0.0225,,,,,,
2.0850,406,229.7,21.7,0.0325,,,,,,
