Task,T393
Scope 1/1, Sample 1/4 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-72.0,21.7,NaN,,,,,,
0.0200,3,-75.1,21.7,0.0060,,,,,,
0.0400,10,-74.2,21.7,0.0030,,,,,,
0.0900,28,-66.5,21.7,0.0030,,,,,,
0.1435,57,-52.7,21.7,0.0020,,,,,,
0.1805,85,-39.7,21.7,0.0015,,,,,,
0.2140,112,-26.5,21.7,0.0010,,,,,,
0.2500,134,-14.6,21.7,0.0015,,,,,,
0.3075,156,-1.3,21.7,0.0025,,,,,,
0.4070,186,15.1,21.7,0.0035,,,,,,
0.5430,216,33.0,21.7,0.0045,100.63,2.00,,,,NaN
0.6945,244,48.3,21.7,0.0055,81.55,1.91,,,,NaN
0.8945,270,67.8,21.7,0.0080,133.92,2.13,,,,NaN
1.0645,295,95.0,21.7,0.0070,264.02,2.42,,,,NaN
1.1255,312,112.4,21.7,0.0035,345.50,2.54,,,,NaN
1.1455,445,120.2,21.7,0.0000,373.06,2.57,,,,NaN
1.1655,458,128.8,21.7,0.0015,381.41,2.58,,,,NaN
1.1855,470,138.7,21.7,0.0015,415.01,2.62,,,,NaN
1.2055,481,148.8,21.7,0.0020,445.19,2.65,,,,NaN
1.2255,490,157.5,21.7,0.0025,382.68,2.58,,,,NaN
1.2470,498,165.8,21.7,0.0025,330.68,2.52,,,,NaN
1.2705,506,173.0,21.7,0.0030,290.39,2.46,,,,NaN
1.3035,514,180.6,21.7,0.0040,238.54,2.38,,,,NaN
1.3495,522,188.7,21.7,0.0060,183.29,2.26,,,,NaN
1.4090,529,196.5,21.7,0.0085,,,,,,
1.4905,537,204.4,21.7,0.0100,,,,,,
1.6015,544,212.3,21.7,0.0150,,,,,,
1.7545,552,220.3,21.7,0.0195,,,,,,
1.9545,559,227.9,21.7,0.0305,,,,,,
Scope 1/1, Sample 2/4 (TANK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-68.0,21.7,NaN,,,,,,
0.0200,3,-71.0,21.7,0.0060,,,,,,
0.0400,11,-69.3,21.7,0.0025,,,,,,
0.0900,32,-59.6,21.7,0.0025,,,,,,
0.1270,57,-48.4,21.7,0.0015,,,,,,
0.1605,83,-36.0,21.7,0.0015,,,,,,
0.1955,108,-23.0,21.7,0.0015,,,,,,
0.2390,130,-10.4,21.7,0.0020,,,,,,
0.3090,153,3.1,21.7,0.0030,,,,,,
0.4345,183,21.8,21.7,0.0040,131.67,2.12,,,,NaN
0.5745,213,39.5,21.7,0.0045,87.21,1.94,,,,NaN
0.7220,239,52.9,21.7,0.0055,82.62,1.92,,,,NaN
0.9220,267,72.0,21.7,0.0070,156.17,2.19,,,,NaN
1.0835,296,102.0,21.7,0.0055,307.53,2.49,,,,NaN
1.1055,429,111.3,21.7,0.0000,347.20,2.54,,,,NaN
1.1255,442,118.2,21.7,0.0015,368.24,2.57,,,,NaN
1.1545,457,130.8,21.7,0.0020,386.64,2.59,,,,NaN
1.1745,470,140.9,21.7,0.0015,443.73,2.65,,,,NaN
1.1945,480,150.6,21.7,0.0020,426.06,2.63,,,,NaN
1.2145,489,159.3,21.7,0.0020,368.98,2.57,,,,NaN
1.2355,497,166.9,21.7,0.0025,320.88,2.51,,,,NaN
