Task,T473,,,,,,,,,
Scope 1/1, Sample 2/4 (TANK1),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-37.1,24.3,NaN,,,,,,
0.02,19,-67,24.3,0.001,,,,,,
0.04,22,-67.4,24.3,0.0065,,,,,,
0.09,45,-58.7,24.3,0.002,,,,,,
0.1325,72,-47,24.3,0.0015,,,,,,
0.1695,102,-33.9,24.3,0.001,,,,,,
0.2045,130,-21.9,24.3,0.001,,,,,,
0.252,158,-9.4,24.3,0.0015,,,,,,
0.332,183,3.3,24.3,0.003,,,,,,
0.4975,214,24.1,24.3,0.0055,112.81,2.05,,,,NaN
0.6595,244,44,24.3,0.0055,87.93,1.94,,,,NaN
0.7915,274,58.1,24.3,0.0045,98.88,2,,,,NaN
0.965,303,74.6,24.3,0.006,162.7,2.21,,,,NaN
1.154,333,110.9,24.3,0.0065,324.52,2.51,,,,NaN
1.1745,470,121.8,24.3,0,366.02,2.56,,,,NaN
1.1945,487,130.3,24.3,0.001,372.87,2.57,,,,NaN
1.2185,503,141.6,24.3,0.0015,367.39,2.57,,,,NaN
1.2385,518,151.2,24.3,0.0015,439.53,2.64,,,,NaN
1.2585,530,160.2,24.3,0.0015,373.14,2.57,,,,NaN
1.2785,541,167.6,24.3,0.002,325.53,2.51,,,,NaN
1.304,550,175.1,24.3,0.0025,283.16,2.45,,,,NaN
1.3385,559,182.9,24.3,0.004,232.39,2.37,,,,NaN
1.3845,568,191,24.3,0.005,179.88,2.25,,,,NaN
1.443,576,198.6,24.3,0.007,,,,,,
1.5265,584,206.6,24.3,0.0105,,,,,,
1.6375,591,214.5,24.3,0.015,,,,,,
1.792,599,222.5,24.3,0.0205,,,,,,
1.992,606,230.2,24.3,0.0265,,,,,,
Scope 1/1, Sample 3/4 (TANK2),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-41.9,24.3,NaN,,,,,,
0.02,17,-67.1,24.3,0.001,,,,,,
0.04,20,-67.5,24.3,0.0055,,,,,,
0.09,44,-58.4,24.3,0.002,,,,,,
0.1295,71,-47.6,24.3,0.0015,,,,,,
0.168,100,-34.7,24.3,0.0015,,,,,,
0.2065,129,-21.3,24.3,0.0015,,,,,,
0.251,156,-9.6,24.3,0.0015,,,,,,
0.3325,182,3.4,24.3,0.003,,,,,,
0.4965,212,23.7,24.3,0.0055,111.59,2.05,,,,NaN
0.6615,242,43.7,24.3,0.0055,86.07,1.93,,,,NaN
0.7975,272,58.2,24.3,0.0045,99.58,2,,,,NaN
0.968,302,74.4,24.3,0.0055,166.43,2.22,,,,NaN
1.1555,332,111,24.3,0.006,332.38,2.52,,,,NaN
1.1755,469,122.5,24.3,0,372.48,2.57,,,,NaN
1.1955,485,131.2,24.3,0.001,376.57,2.58,,,,NaN
1.2195,501,142.9,24.3,0.0015,370.29,2.57,,,,NaN
1.2395,515,152.6,24.3,0.0015,444.07,2.65,,,,NaN
1.2595,527,161.4,24.3,0.0015,369.18,2.57,,,,NaN
1.2795,537,168.6,24.3,0.002,322.53,2.51,,,,NaN
1.306,547,176.3,24.3,0.003,278.75,2.45,,,,NaN
1.341,556,183.9,24.3,0.004,226.72,2.36,,,,NaN
1.389,565,192,24.3,0.0055,173.82,2.24,,,,NaN
1.4515,572,199.8,24.3,0.0085,,,,,,
1.537,580,207.6,24.3,0.0105,,,,,,
1.6565,587,215.8,24.3,0.0175,,,,,,
1.814,594,223.6,24.3,0.0225,,,,,,
2.014,602,231,24.3,0.025,,,,,,
Scope 1/1, Sample 4/4 (TANK3),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-41.9,24.3,NaN,,,,,,
0.02,17,-67.2,24.3,0.001,,,,,,
0.04,21,-67.6,24.3,0.0055,,,,,,
0.09,44,-58.4,24.3,0.002,,,,,,
0.128,71,-47.9,24.3,0.0015,,,,,,
0.167,100,-34.7,24.3,0.0015,,,,,,
0.205,128,-21.4,24.3,0.0015,,,,,,
0.2495,156,-9.3,24.3,0.0015,,,,,,
0.324,182,3.4,24.3,0.003,,,,,,
0.476,212,22.7,24.3,0.005,116.15,2.07,,,,NaN
0.644,243,42.6,24.3,0.0055,83.47,1.92,,,,NaN
0.789,273,57.8,24.3,0.005,96.45,1.98,,,,NaN
0.9615,300,74.2,24.3,0.0065,167.98,2.23,,,,NaN
1.146,330,110.9,24.3,0.006,336.99,2.53,,,,NaN
1.166,467,122.6,24.3,0,374.23,2.57,,,,NaN
1.186,485,131.4,24.3,0.001,378.8,2.58,,,,NaN
1.21,501,143.1,24.3,0.0015,371.45,2.57,,,,NaN
1.23,515,153,24.3,0.0015,445.94,2.65,,,,NaN
1.25,526,161.6,24.3,0.002,369.65,2.57,,,,NaN
1.2715,537,169.5,24.3,0.002,319.65,2.5,,,,NaN
1.2965,546,176.5,24.3,0.0025,279.26,2.45,,,,NaN
