Task,T482
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,172.2,23.8
2,172.2,23.8
3,172.2,23.8
4,172.1,23.8
5,172.1,23.8
6,172.2,23.8
7,172.1,23.8
8,172.1,23.8
9,172.1,23.8
10,172.1,23.8
11,172.1,23.8
12,172.1,23.8
13,172.1,23.8
14,172.1,23.8
15,172.1,23.8
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-2.8,23.8
2,-2.8,23.8
3,-2.8,23.8
4,-2.8,23.8
5,-2.8,23.8
6,-2.8,23.8
7,-2.8,23.8
8,-2.8,23.8
9,-2.7,23.8
10,-2.8,23.8
11,-2.8,23.8
12,-2.8,23.8
13,-2.8,23.8
14,-2.8,23.8
15,-2.8,23.8
16,-2.8,23.8
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-178.1,23.7
2,-178.1,23.7
3,-178.1,23.7
4,-178.1,23.7
5,-178.1,23.7
6,-178.1,23.7
7,-178.1,23.7
8,-178.1,23.7
9,-178.1,23.7
10,-178.1,23.7
11,-178.1,23.7
12,-178.1,23.7
13,-178.1,23.7
14,-178.1,23.7
15,-178.1,23.7
