Task,T675
Scope 1/1, Sample 1/4 (Junk 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-71.2,20.3,NaN,,,,,,
0.0200,19,-93.3,20.3,0.0010,,,,,,
0.0400,22,-93.8,20.3,0.0060,,,,,,
0.0900,38,-89.6,20.3,0.0030,,,,,,
0.2150,68,-71.1,20.3,0.0040,,,,,,
0.2760,98,-54.4,20.3,0.0020,,,,,,
0.3080,128,-39.2,20.3,0.0010,,,,,,
0.3280,158,-26.6,20.3,0.0005,,,,,,
0.3480,187,-16.7,20.3,0.0005,,,,,,
0.3895,217,-4.8,20.3,0.0015,,,,,,
0.4855,233,3.5,20.3,0.0060,,,,,,
0.6855,263,28.1,20.3,0.0065,,,,,,
0.7775,294,50.0,20.3,0.0030,,,,,,
0.8125,324,62.3,20.3,0.0010,197.68,2.30,,,,NaN
0.8435,337,66.6,20.3,0.0025,212.30,2.33,,,,NaN
0.9210,360,78.6,20.3,0.0035,226.78,2.36,,,,NaN
1.0155,386,98.2,20.3,0.0035,273.26,2.44,,,,NaN
1.0730,405,116.2,20.3,0.0030,373.10,2.57,,,,NaN
1.0930,544,124.9,20.3,0.0000,410.96,2.61,,,,NaN
1.1130,560,134.5,20.3,0.0010,429.25,2.63,,,,NaN
1.1330,575,145.5,20.3,0.0015,472.51,2.67,,,,NaN
1.1530,588,156.8,20.3,0.0015,475.95,2.68,,,,NaN
1.1730,600,166.1,20.3,0.0015,396.69,2.60,,,,NaN
1.1940,610,174.2,20.3,0.0020,343.10,2.54,,,,NaN
1.2190,620,181.5,20.3,0.0025,296.68,2.47,,,,NaN
1.2550,629,189.6,20.3,0.0040,235.14,2.37,,,,NaN
1.3010,637,197.3,20.3,0.0060,,,,,,
1.3650,645,205.3,20.3,0.0080,,,,,,
1.4510,652,213.2,20.3,0.0120,,,,,,
1.5710,660,221.2,20.3,0.0150,,,,,,
1.7325,668,229.1,20.3,0.0215,,,,,,
Scope 1/1, Sample 2/4 (BLT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-19.0,21.8,NaN,,,,,,
0.0200,25,-56.9,21.9,0.0010,,,,,,
