Task,T724
Scope 1/1, Sample 1/6 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-27.5,21.8,NaN,,,,,,
0.0200,21,-56.8,21.9,0.0010,,,,,,
0.0400,24,-57.2,21.9,0.0070,,,,,,
0.0900,52,-47.0,21.9,0.0020,,,,,,
0.1205,81,-37.2,21.8,0.0010,,,,,,
0.1525,111,-25.6,21.8,0.0010,,,,,,
0.1915,141,-12.5,21.8,0.0015,,,,,,
0.2430,167,-0.8,21.7,0.0020,,,,,,
0.3470,197,14.7,21.7,0.0035,,,,,,
0.5125,227,32.8,21.7,0.0055,105.81,2.02,,,,NaN
0.7095,257,54.8,21.6,0.0065,103.12,2.01,,,,NaN
0.8500,288,73.4,21.6,0.0045,136.73,2.14,,,,NaN
0.9525,310,86.2,21.6,0.0045,180.29,2.26,,,,NaN
1.0875,334,112.5,21.5,0.0055,279.95,2.45,,,,NaN
1.1140,470,120.5,21.4,0.0000,330.47,2.52,,,,NaN
1.1340,484,127.0,21.4,0.0015,356.01,2.55,,,,NaN
1.1565,498,136.3,21.4,0.0015,378.18,2.58,,,,NaN
1.1765,513,146.0,21.4,0.0015,428.91,2.63,,,,NaN
1.1965,526,155.7,21.3,0.0015,440.97,2.64,,,,NaN
1.2165,537,164.9,21.3,0.0020,387.25,2.59,,,,NaN
1.2365,547,172.4,21.3,0.0020,336.88,2.53,,,,NaN
1.2620,556,180.5,21.3,0.0030,291.99,2.47,,,,NaN
1.2920,564,187.9,21.3,0.0040,245.82,2.39,,,,NaN
1.3345,572,195.7,21.3,0.0055,,,,,,
1.3925,579,203.7,21.3,0.0080,,,,,,
1.4695,587,211.6,21.3,0.0090,,,,,,
1.5745,595,219.5,21.3,0.0125,,,,,,
1.7210,603,227.5,21.3,0.0190,,,,,,
Scope 1/1, Sample 2/6 (QT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-22.6,21.2,NaN,,,,,,
0.0200,22,-56.9,21.2,0.0010,,,,,,
0.0400,25,-57.0,21.2,0.0060,,,,,,
0.0900,56,-46.8,21.2,0.0015,,,,,,
0.1210,83,-37.0,21.2,0.0010,,,,,,
0.1530,114,-24.9,21.1,0.0010,,,,,,
0.1890,144,-12.5,21.1,0.0010,,,,,,
0.2390,166,-0.9,21.1,0.0020,,,,,,
0.3425,197,13.6,21.1,0.0035,,,,,,
0.5330,227,33.7,21.1,0.0065,100.92,2.00,,,,NaN
0.7320,257,56.8,21.0,0.0065,108.20,2.03,,,,NaN
0.8580,287,74.1,21.0,0.0040,143.68,2.16,,,,NaN
0.9565,311,87.0,21.0,0.0040,187.90,2.27,,,,NaN
1.0850,334,112.6,21.0,0.0055,283.78,2.45,,,,NaN
1.1115,469,120.8,20.9,0.0000,337.50,2.53,,,,NaN
1.1315,485,127.8,20.9,0.0015,361.79,2.56,,,,NaN
1.1520,500,136.2,20.9,0.0015,381.90,2.58,,,,NaN
1.1720,514,146.1,20.9,0.0015,436.10,2.64,,,,NaN
1.1920,526,155.7,20.8,0.0015,441.56,2.64,,,,NaN
1.2120,537,165.1,20.8,0.0020,386.23,2.59,,,,NaN
1.2320,546,172.6,20.8,0.0020,337.31,2.53,,,,NaN
1.2590,556,181.1,20.8,0.0030,289.84,2.46,,,,NaN
1.2890,564,188.3,20.8,0.0040,243.81,2.39,,,,NaN
1.3330,572,196.2,20.8,0.0060,,,,,,
1.3925,580,204.3,20.8,0.0080,,,,,,
1.4710,587,212.2,20.8,0.0110,,,,,,
1.5775,594,219.9,20.8,0.0145,,,,,,
1.7295,601,228.1,20.8,0.0205,,,,,,
Scope 1/1, Sample 3/6 (QT2)
Result,TitrationEQP1
