Task,T743
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.3,20.3
2,176.3,20.3
3,176.3,20.3
4,176.4,20.3
5,176.4,20.3
6,176.3,20.3
7,176.4,20.3
8,176.3,20.3
9,176.4,20.3
10,176.3,20.3
11,176.4,20.3
12,176.4,20.3
13,176.3,20.3
14,176.3,20.3
15,176.3,20.3
16,176.4,20.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,2.5,20.1
2,2.5,20.1
3,2.5,20.1
4,2.4,20.1
5,2.5,20.1
6,2.5,20.1
7,2.5,20.1
8,2.5,20.1
9,2.5,20.1
10,2.5,20.1
11,2.5,20.1
12,2.5,20.1
13,2.5,20.1
14,2.4,20.1
15,2.4,20.1
16,2.4,20.1
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-173.4,20.1
2,-173.4,20.1
3,-173.4,20.1
4,-173.5,20.1
5,-173.5,20.1
6,-173.4,20.1
7,-173.4,20.1
8,-173.4,20.1
9,-173.4,20.1
10,-173.4,20.1
11,-173.4,20.1
12,-173.4,20.1
13,-173.4,20.1
14,-173.5,20.1
15,-173.4,20.1
16,-173.4,20.1
