Task,T1075
Scope 1/1, Sample 1/8 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-38.7,19.5,NaN,,,,,,
0.0200,18,-66.2,19.5,0.0010,,,,,,
0.0400,21,-66.5,19.5,0.0070,,,,,,
0.0900,33,-63.2,19.5,0.0045,,,,,,
0.2150,63,-44.2,19.5,0.0040,,,,,,
0.2705,93,-25.9,19.5,0.0020,,,,,,
0.2925,122,-14.1,19.5,0.0010,,,,,,
0.3125,138,-9.5,19.5,0.0015,,,,,,
0.3625,159,-1.0,19.5,0.0025,,,,,,
0.4875,189,12.9,19.5,0.0040,,,,,,
0.6875,219,30.6,19.5,0.0065,82.00,1.91,,,,NaN
0.8875,250,47.9,19.5,0.0065,78.83,1.90,,,,NaN
1.0765,280,64.9,19.5,0.0065,98.30,1.99,,,,NaN
1.2465,310,82.6,19.5,0.0055,139.80,2.15,,,,NaN
1.3795,340,102.1,19.5,0.0045,198.73,2.30,,,,NaN
1.4180,480,110.4,19.5,0.0005,236.25,2.37,,,,NaN
1.4435,499,115.7,19.4,0.0015,267.24,2.43,,,,NaN
1.4830,519,126.2,19.4,0.0020,313.35,2.50,,,,NaN
1.5065,536,134.3,19.4,0.0015,340.25,2.53,,,,NaN
1.5265,552,142.1,19.4,0.0015,387.93,2.59,,,,NaN
1.5465,566,150.9,19.4,0.0015,413.44,2.62,,,,NaN
1.5665,580,159.8,19.4,0.0015,388.96,2.59,,,,NaN
1.5865,592,167.7,19.4,0.0015,339.35,2.53,,,,NaN
1.6090,602,175.1,19.4,0.0020,299.07,2.48,,,,NaN
1.6385,612,183.1,19.4,0.0030,256.40,2.41,,,,NaN
1.6740,620,190.6,19.4,0.0045,211.64,2.33,,,,NaN
1.7225,629,198.3,19.4,0.0055,,,,,,
1.7895,637,206.3,19.4,0.0080,,,,,,
1.8785,645,214.1,19.4,0.0115,,,,,,
2.0035,653,222.2,19.4,0.0160,,,,,,
2.1725,660,230.1,19.4,0.0230,,,,,,
Scope 1/1, Sample 2/8 (HT 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-61.9,21.2,NaN,,,,,,
0.0200,11,-74.6,21.3,0.0020,,,,,,
0.0400,14,-74.8,21.3,0.0060,,,,,,
0.0900,25,-72.2,21.3,0.0045,,,,,,
0.2150,55,-57.1,21.2,0.0040,,,,,,
0.3025,86,-41.2,21.2,0.0030,,,,,,
0.3610,116,-25.1,21.1,0.0020,,,,,,
0.3995,144,-13.4,21.1,0.0015,,,,,,
0.4475,168,-4.0,21.1,0.0020,,,,,,
0.5675,198,9.6,21.0,0.0040,,,,,,
0.7675,228,25.9,21.0,0.0065,,,,,,
0.9675,258,41.8,21.0,0.0065,63.65,1.80,,,,NaN
1.1675,289,56.8,20.9,0.0065,65.64,1.82,,,,NaN
1.3675,315,70.4,20.9,0.0075,82.86,1.92,,,,NaN
