Task,T1250
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.8,20.5
2,176.8,20.5
3,176.8,20.5
4,176.8,20.5
5,176.8,20.5
6,176.8,20.5
7,176.8,20.5
8,176.8,20.5
9,176.8,20.5
10,176.8,20.5
11,176.8,20.5
12,176.8,20.5
13,176.8,20.5
14,176.8,20.5
15,176.8,20.5
16,176.7,20.5
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.4,20.3
2,3.4,20.3
3,3.4,20.3
4,3.3,20.3
5,3.3,20.3
6,3.4,20.3
7,3.4,20.3
8,3.4,20.3
9,3.4,20.3
10,3.4,20.3
11,3.4,20.3
12,3.4,20.3
13,3.4,20.3
14,3.4,20.3
15,3.4,20.3
16,3.3,20.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.7,20.3
2,-170.8,20.3
3,-170.8,20.3
4,-170.8,20.3
5,-170.8,20.3
6,-170.8,20.3
7,-170.8,20.3
8,-170.8,20.3
9,-170.8,20.3
10,-170.8,20.3
11,-170.8,20.3
12,-170.8,20.3
13,-170.8,20.3
14,-170.9,20.3
15,-170.8,20.3
16,-170.8,20.3
