Task,T1296
Scope 1/1, Sample 1/8 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-6.1,20.2,NaN,,,,,,
0.0200,28,-61.8,20.3,0.0005,,,,,,
0.0400,31,-62.3,20.3,0.0075,,,,,,
0.0900,50,-56.8,20.3,0.0025,,,,,,
0.1955,80,-35.2,20.3,0.0035,,,,,,
0.2375,111,-17.0,20.3,0.0015,,,,,,
0.2575,137,-8.2,20.3,0.0010,,,,,,
0.2930,151,-1.6,20.2,0.0025,,,,,,
0.3820,164,3.4,20.2,0.0070,,,,,,
0.5820,194,23.9,20.2,0.0065,,,,,,
0.7040,224,38.0,20.2,0.0040,89.43,1.95,,,,NaN
0.8265,254,50.8,20.2,0.0040,102.03,2.01,,,,NaN
0.9955,284,67.5,20.2,0.0055,134.45,2.13,,,,NaN
1.1670,315,91.3,20.2,0.0055,207.00,2.32,,,,NaN
1.2490,342,110.7,20.2,0.0030,282.79,2.45,,,,NaN
1.2690,480,117.0,20.1,0.0000,309.96,2.49,,,,NaN
1.2890,498,122.4,20.1,0.0010,331.65,2.52,,,,NaN
1.3240,520,134.5,20.1,0.0015,370.57,2.57,,,,NaN
1.3440,538,143.3,20.1,0.0010,405.35,2.61,,,,NaN
1.3640,555,153.1,20.1,0.0010,432.05,2.64,,,,NaN
1.3840,568,161.8,20.1,0.0015,397.74,2.60,,,,NaN
1.4045,580,170.1,20.1,0.0015,343.37,2.54,,,,NaN
1.4255,591,177.1,20.1,0.0020,304.30,2.48,,,,NaN
1.4550,601,185.0,20.1,0.0030,258.29,2.41,,,,NaN
1.4920,610,192.6,20.1,0.0040,208.77,2.32,,,,NaN
1.5425,620,200.3,20.1,0.0050,,,,,,
1.6125,628,208.3,20.1,0.0090,,,,,,
1.7075,636,216.3,20.1,0.0120,,,,,,
1.8350,644,224.1,20.1,0.0160,,,,,,
2.0135,651,232.1,20.1,0.0245,,,,,,
Scope 1/1, Sample 2/8 (HT 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-4.3,21.8,NaN,,,,,,
0.0200,27,-59.2,21.9,0.0005,,,,,,
0.0400,30,-59.6,21.9,0.0060,,,,,,
0.0900,51,-53.5,21.8,0.0025,,,,,,
0.1770,81,-35.5,21.8,0.0030,,,,,,
0.2220,111,-19.1,21.7,0.0015,,,,,,
0.2470,134,-10.9,21.7,0.0010,,,,,,
0.3010,159,-1.1,21.7,0.0020,,,,,,
0.4360,189,13.5,21.6,0.0045,,,,,,
0.6360,219,30.9,21.6,0.0065,73.90,1.87,,,,NaN
0.8360,249,48.6,21.5,0.0065,83.52,1.92,,,,NaN
1.0145,280,66.1,21.5,0.0060,121.09,2.08,,,,NaN
1.1625,310,86.1,21.5,0.0050,176.92,2.25,,,,NaN
1.2475,340,102.1,21.4,0.0030,229.82,2.36,,,,NaN
1.2780,483,109.6,21.3,0.0000,262.87,2.42,,,,NaN
1.3025,502,114.6,21.3,0.0015,289.60,2.46,,,,NaN
1.3495,527,128.5,21.2,0.0020,346.14,2.54,,,,NaN
1.3695,548,136.5,21.2,0.0010,372.41,2.57,,,,NaN
1.3895,566,145.6,21.2,0.0010,426.09,2.63,,,,NaN
1.4095,582,154.9,21.2,0.0015,436.98,2.64,,,,NaN
