Task,T1310
Scope 1/1, Sample 1/2 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-14.4,20.1,NaN,,,,,,
0.0200,26,-63.7,20.0,0.0010,,,,,,
0.0400,29,-64.2,20.0,0.0075,,,,,,
0.0900,45,-59.6,20.0,0.0030,,,,,,
0.2150,75,-36.4,20.0,0.0040,,,,,,
0.2580,106,-16.5,20.0,0.0015,,,,,,
0.2780,131,-7.8,20.0,0.0010,,,,,,
0.3165,149,-1.6,20.0,0.0020,,,,,,
0.4125,161,3.3,20.0,0.0080,,,,,,
0.6125,191,21.9,20.0,0.0065,,,,,,
0.7600,221,39.0,19.9,0.0050,85.13,1.93,,,,NaN
0.8710,252,52.6,19.9,0.0035,102.00,2.01,,,,NaN
0.9950,256,59.2,19.9,0.0320,132.80,2.12,,,,NaN
1.1950,286,88.6,19.9,0.0065,246.96,2.39,,,,NaN
1.2545,316,109.8,19.9,0.0020,327.38,2.52,,,,NaN
1.2745,455,115.8,19.9,0.0000,354.61,2.55,,,,NaN
1.3055,479,125.8,19.9,0.0015,392.67,2.59,,,,NaN
1.3285,502,135.6,19.9,0.0010,413.98,2.62,,,,NaN
1.3485,519,145.5,19.9,0.0010,438.60,2.64,,,,NaN
1.3685,535,155.8,19.9,0.0015,447.60,2.65,,,,NaN
1.3885,548,165.1,19.9,0.0015,391.93,2.59,,,,NaN
1.4085,559,172.5,19.9,0.0020,338.54,2.53,,,,NaN
1.4350,570,180.8,19.9,0.0025,291.48,2.46,,,,NaN
1.4660,580,188.2,19.9,0.0030,242.76,2.39,,,,NaN
1.5095,589,196.0,19.9,0.0045,,,,,,
1.5685,598,203.9,19.9,0.0070,,,,,,
1.6490,606,211.8,19.9,0.0100,,,,,,
1.7595,613,219.8,19.9,0.0150,,,,,,
1.9110,621,227.7,19.8,0.0190,,,,,,
Scope 1/1, Sample 2/2 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,29.0,19.8,NaN,,,,,,
0.0200,28,-45.2,19.8,0.0005,,,,,,
0.0400,34,-47.6,19.8,0.0035,,,,,,
0.0900,37,-47.8,19.8,0.0170,,,,,,
0.2150,67,-17.6,19.8,0.0040,,,,,,
0.2370,97,-2.3,19.8,0.0005,,,,,,
0.2570,105,-0.3,19.8,0.0025,,,,,,
0.3070,115,3.2,19.8,0.0050,,,,,,
0.4320,145,18.3,19.8,0.0040,,,,,,
0.5195,175,29.5,19.8,0.0030,,,,,,
0.6370,206,41.8,19.8,0.0040,82.96,1.92,,,,NaN
0.8250,236,57.2,19.8,0.0065,95.42,1.98,,,,NaN
1.0250,266,78.2,19.8,0.0065,157.36,2.20,,,,NaN
1.1440,296,99.6,19.8,0.0040,238.55,2.38,,,,NaN
1.1960,318,113.0,19.8,0.0025,295.96,2.47,,,,NaN
1.2175,454,119.4,19.7,0.0000,325.43,2.51,,,,NaN
1.2405,475,126.8,19.7,0.0010,350.33,2.54,,,,NaN
1.2635,496,135.8,19.7,0.0010,380.27,2.58,,,,NaN
1.2835,514,144.4,19.7,0.0010,422.45,2.63,,,,NaN
1.3035,530,153.6,19.7,0.0010,423.72,2.63,,,,NaN
1.3235,544,162.5,19.7,0.0015,379.75,2.58,,,,NaN
1.3435,555,170.2,19.7,0.0020,331.43,2.52,,,,NaN
1.3675,565,177.9,19.7,0.0025,290.94,2.46,,,,NaN
1.3980,575,185.4,19.7,0.0030,246.63,2.39,,,,NaN
1.4395,584,193.3,19.7,0.0050,195.60,2.29,,,,NaN
1.4945,593,201.2,19.7,0.0065,,,,,,
1.5680,601,209.0,19.7,0.0095,,,,,,
1.6715,608,217.0,19.7,0.0140,,,,,,
1.8140,616,225.0,19.7,0.0180,,,,,,
2.0055,624,233.0,19.7,0.0240,,,,,,
