Task,T1311
Scope 1/1, Sample 1/8 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-11.6,19.8,NaN,,,,,,
0.0200,28,-63.8,19.8,0.0005,,,,,,
0.0400,31,-64.3,19.8,0.0075,,,,,,
0.0900,49,-58.9,19.8,0.0025,,,,,,
0.2020,79,-37.7,19.8,0.0035,,,,,,
0.2500,110,-17.8,19.8,0.0015,,,,,,
0.2700,132,-8.9,19.8,0.0010,,,,,,
0.3035,153,-1.7,19.8,0.0015,,,,,,
0.3875,164,3.3,19.8,0.0080,,,,,,
0.5875,194,24.3,19.8,0.0065,,,,,,
0.7025,224,37.3,19.8,0.0040,46.39,1.67,,,,NaN
0.8345,254,50.8,19.8,0.0045,59.86,1.78,,,,NaN
1.0075,259,64.1,19.8,0.0325,125.64,2.10,,,,NaN
1.2075,265,82.1,19.8,0.0315,256.51,2.41,,,,NaN
1.3650,293,157.0,19.8,0.0055,352.56,2.55,,,,NaN
1.3850,426,166.0,19.8,0.0000,301.08,2.48,,,,NaN
1.4050,438,173.1,19.8,0.0015,314.34,2.50,,,,NaN
1.4340,447,181.5,19.8,0.0030,325.29,2.51,,,,NaN
1.4675,457,189.3,19.8,0.0035,219.41,2.34,,,,NaN
1.5105,465,196.7,19.8,0.0050,180.90,2.26,,,,NaN
1.5740,474,204.9,19.8,0.0075,135.03,2.13,,,,NaN
1.6555,481,212.6,19.8,0.0115,100.52,2.00,,,,NaN
1.7705,489,220.7,19.8,0.0145,71.64,1.86,,,,NaN
1.9265,496,228.6,19.8,0.0235,49.69,1.70,,,,NaN
2.1265,503,236.1,19.8,0.0290,34.16,1.53,,,,NaN
2.3265,510,241.8,19.8,0.0280,25.81,1.41,,,,NaN
2.5265,517,246.5,19.8,0.0290,20.95,1.32,,,,NaN
2.7265,524,250.5,19.8,0.0310,17.49,1.24,,,,NaN
2.9265,530,253.8,19.8,0.0340,,,,,,
3.1265,537,256.8,19.8,0.0290,,,,,,
3.3265,543,259.5,19.8,0.0315,,,,,,
3.5265,549,261.8,19.8,0.0310,,,,,,
3.5600,553,262.2,19.8,0.0085,,,,,,
Scope 1/1, Sample 2/8 (HT 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-23.9,22.1,NaN,,,,,,
0.0200,22,-64.5,22.2,0.0010,,,,,,
0.0400,25,-65.0,22.2,0.0070,,,,,,
0.0900,40,-60.6,22.2,0.0035,,,,,,
0.2150,70,-39.3,22.1,0.0040,,,,,,
