Task,T1318
Scope 1/1, Sample 1/8 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-1.1,20.9,NaN,,,,,,
0.0200,28,-65.2,20.9,0.0005,,,,,,
0.0400,31,-65.9,20.9,0.0075,,,,,,
0.0900,34,-66.0,20.9,0.0170,,,,,,
0.2150,64,-41.9,20.9,0.0040,,,,,,
0.2495,94,-23.5,20.9,0.0010,,,,,,
0.2695,122,-13.4,20.9,0.0005,,,,,,
0.3030,146,-5.8,20.9,0.0015,,,,,,
0.3870,168,3.3,20.9,0.0040,,,,,,
0.5870,198,18.5,20.9,0.0065,,,,,,
0.7870,228,36.3,20.9,0.0065,,,,,,
0.9485,259,55.2,20.9,0.0055,141.36,2.15,,,,NaN
1.0525,289,73.0,20.9,0.0035,183.61,2.26,,,,NaN
1.1170,319,87.1,20.9,0.0020,216.44,2.34,,,,NaN
1.1735,343,97.7,20.9,0.0025,250.28,2.40,,,,NaN
1.2750,372,123.3,20.9,0.0035,340.82,2.53,,,,NaN
1.2985,511,132.5,20.9,0.0000,361.06,2.56,,,,NaN
1.3185,529,141.1,20.9,0.0010,370.75,2.57,,,,NaN
1.3385,546,150.2,20.9,0.0010,410.01,2.61,,,,NaN
1.3585,560,160.0,20.8,0.0015,421.72,2.63,,,,NaN
1.3785,572,168.5,20.8,0.0015,361.26,2.56,,,,NaN
1.4005,584,176.3,20.8,0.0020,315.58,2.50,,,,NaN
1.4270,594,183.6,20.8,0.0025,273.34,2.44,,,,NaN
1.4645,603,191.9,20.8,0.0045,220.87,2.34,,,,NaN
1.5100,612,199.4,20.8,0.0050,,,,,,
1.5735,620,207.3,20.8,0.0080,,,,,,
1.6610,628,215.2,20.8,0.0115,,,,,,
1.7815,635,223.3,20.8,0.0175,,,,,,
1.9440,642,231.2,20.8,0.0230,,,,,,
Scope 1/1, Sample 2/8 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,14.1,20.8,NaN,,,,,,
0.0200,28,-54.6,20.9,0.0005,,,,,,
0.0400,31,-55.9,20.9,0.0060,,,,,,
0.0900,35,-56.1,20.9,0.0140,,,,,,
0.2150,65,-27.8,20.9,0.0040,,,,,,
0.2400,95,-10.5,20.9,0.0010,,,,,,
0.2600,117,-3.3,20.9,0.0010,,,,,,
0.3100,127,-0.3,20.9,0.0050,,,,,,
0.4350,157,15.1,20.8,0.0040,,,,,,
0.5185,187,26.0,20.8,0.0030,,,,,,
0.6355,217,37.8,20.8,0.0040,76.94,1.89,,,,NaN
0.8355,248,54.1,20.8,0.0065,104.63,2.02,,,,NaN
1.0355,278,78.1,20.8,0.0065,196.38,2.29,,,,NaN
1.1260,308,99.2,20.8,0.0030,277.96,2.44,,,,NaN
1.1615,330,110.2,20.8,0.0015,323.08,2.51,,,,NaN
1.1815,469,117.5,20.8,0.0000,347.86,2.54,,,,NaN
1.2015,488,123.3,20.8,0.0010,370.14,2.57,,,,NaN
1.2360,509,136.9,20.8,0.0015,413.97,2.62,,,,NaN
1.2560,527,146.6,20.8,0.0010,445.26,2.65,,,,NaN
1.2760,542,156.8,20.8,0.0015,437.00,2.64,,,,NaN
1.2960,556,165.6,20.8,0.0015,385.48,2.59,,,,NaN
1.3175,567,173.9,20.8,0.0020,330.93,2.52,,,,NaN
1.3410,577,181.1,20.8,0.0025,292.97,2.47,,,,NaN
1.3740,587,189.0,20.8,0.0035,241.32,2.38,,,,NaN
1.4165,596,196.7,20.8,0.0045,,,,,,
1.4745,604,204.7,20.8,0.0070,,,,,,
1.5515,612,212.4,20.8,0.0095,,,,,,
1.6625,620,220.6,20.8,0.0145,,,,,,
1.8065,627,228.4,20.8,0.0195,,,,,,
Scope 1/1, Sample 3/8 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,16.3,20.6,NaN,,,,,,
0.0200,28,-54.0,20.7,0.0005,,,,,,
0.0400,31,-55.6,20.7,0.0060,,,,,,
0.0900,47,-52.3,20.7,0.0030,,,,,,
0.2150,77,-26.0,20.7,0.0040,,,,,,
0.2440,107,-9.5,20.7,0.0010,,,,,,
0.2640,127,-2.9,20.6,0.0010,,,,,,
0.3140,135,-0.1,20.7,0.0060,,,,,,
0.4390,165,13.1,20.6,0.0040,,,,,,
0.5535,195,26.0,20.6,0.0040,87.70,1.94,,,,NaN
0.6865,226,40.7,20.6,0.0045,89.73,1.95,,,,NaN
0.8350,256,55.2,20.6,0.0050,114.06,2.06,,,,NaN
1.0215,286,76.9,20.6,0.0060,198.80,2.30,,,,NaN
1.1355,316,101.9,20.7,0.0040,302.99,2.48,,,,NaN
1.1555,453,112.5,20.6,0.0000,328.98,2.52,,,,NaN
1.1755,474,117.9,20.6,0.0010,348.35,2.54,,,,NaN
1.2255,501,136.3,20.6,0.0020,397.79,2.60,,,,NaN
1.2455,520,146.2,20.6,0.0010,425.16,2.63,,,,NaN
1.2655,535,156.1,20.6,0.0015,428.31,2.63,,,,NaN
1.2855,548,165.6,20.6,0.0015,390.12,2.59,,,,NaN
1.3055,560,173.1,20.6,0.0015,334.64,2.52,,,,NaN
1.3325,570,181.4,20.6,0.0025,291.53,2.46,,,,NaN
1.3640,580,189.1,20.6,0.0035,242.95,2.39,,,,NaN
1.4060,589,196.8,20.6,0.0045,,,,,,
1.4630,597,204.6,20.6,0.0070,,,,,,
1.5425,605,212.6,20.6,0.0095,,,,,,
1.6490,614,220.6,20.6,0.0120,,,,,,
1.7955,621,228.5,20.6,0.0205,,,,,,
Scope 1/1, Sample 4/8 (BK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,15.2,20.4,NaN,,,,,,
0.0200,28,-54.5,20.5,0.0005,,,,,,
0.0400,31,-55.7,20.5,0.0075,,,,,,
0.0900,49,-51.7,20.5,0.0030,,,,,,
0.2150,79,-25.0,20.5,0.0040,,,,,,
0.2430,109,-9.1,20.5,0.0010,,,,,,
0.2630,129,-2.5,20.5,0.0010,,,,,,
0.3130,138,0.0,20.5,0.0055,,,,,,
0.4380,169,14.2,20.5,0.0040,,,,,,
0.5370,199,26.2,20.5,0.0035,87.98,1.94,,,,NaN
0.6605,229,38.4,20.5,0.0040,85.88,1.93,,,,NaN
0.8600,259,57.3,20.5,0.0065,122.72,2.09,,,,NaN
1.0375,290,81.3,20.5,0.0060,210.01,2.32,,,,NaN
1.1200,320,100.5,20.5,0.0030,285.11,2.46,,,,NaN
