Task,T1355
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-65.6,21.1,NaN,,,,,,
0.0200,12,-73.1,21.1,0.0015,,,,,,
0.0400,15,-73.5,21.1,0.0060,,,,,,
0.0900,28,-70.0,21.1,0.0040,,,,,,
0.2150,58,-50.0,21.1,0.0040,,,,,,
0.2650,89,-32.6,21.1,0.0015,,,,,,
0.2860,119,-21.0,21.0,0.0005,,,,,,
0.3060,138,-15.5,21.0,0.0010,,,,,,
0.3560,167,-5.9,21.0,0.0015,,,,,,
0.4730,190,3.2,21.0,0.0050,,,,,,
0.6730,220,17.6,21.0,0.0065,,,,,,
0.8730,250,34.2,21.0,0.0065,,,,,,
1.0595,281,57.3,21.0,0.0060,201.07,2.30,,,,NaN
1.1455,311,79.0,21.0,0.0030,258.53,2.41,,,,NaN
1.1765,341,93.1,21.0,0.0010,281.10,2.45,,,,NaN
1.1965,360,99.0,21.0,0.0010,300.00,2.48,,,,NaN
1.2465,383,111.0,21.0,0.0020,346.97,2.54,,,,NaN
1.2875,530,125.0,21.0,0.0005,362.69,2.56,,,,NaN
1.3075,550,132.5,21.0,0.0010,371.40,2.57,,,,NaN
1.3275,570,141.2,21.0,0.0010,435.45,2.64,,,,NaN
1.3475,587,151.1,21.0,0.0010,442.40,2.65,,,,NaN
1.3675,602,160.4,21.0,0.0015,410.47,2.61,,,,NaN
1.3875,615,168.9,21.0,0.0015,353.67,2.55,,,,NaN
1.4080,626,175.7,21.0,0.0020,313.38,2.50,,,,NaN
1.4390,635,184.1,21.0,0.0035,263.21,2.42,,,,NaN
1.4750,644,191.7,21.0,0.0040,213.92,2.33,,,,NaN
1.5240,653,199.5,21.0,0.0055,,,,,,
1.5905,660,207.3,21.0,0.0090,,,,,,
1.6835,668,215.5,21.0,0.0110,,,,,,
1.8035,676,223.1,21.0,0.0155,,,,,,
1.9785,683,231.3,21.0,0.0245,,,,,,
Scope 1/1, Sample 2/2 (CRM1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,39.9,20.8,NaN,,,,,,
0.0200,28,-35.7,20.8,0.0005,,,,,,
0.0400,46,-44.0,20.8,0.0010,,,,,,
0.0900,49,-44.4,20.8,0.0165,,,,,,
0.2150,79,-17.4,20.8,0.0040,,,,,,
0.2425,109,-3.1,20.8,0.0010,,,,,,
0.2625,117,-0.8,20.8,0.0025,,,,,,
0.3125,130,3.2,20.8,0.0040,,,,,,
0.4375,160,15.4,20.8,0.0040,,,,,,
0.5765,190,28.1,20.8,0.0045,,,,,,
0.7615,221,42.9,20.8,0.0060,91.02,1.96,,,,NaN
0.9615,251,63.9,20.8,0.0065,150.79,2.18,,,,NaN
1.0785,281,84.8,20.8,0.0040,208.48,2.32,,,,NaN
1.1310,311,99.2,20.9,0.0015,244.95,2.39,,,,NaN
1.1695,330,107.2,20.9,0.0020,278.78,2.45,,,,NaN
1.2205,477,121.0,20.9,0.0005,328.86,2.52,,,,NaN
1.2430,496,128.0,20.9,0.0010,346.41,2.54,,,,NaN
1.2655,516,136.8,20.9,0.0010,369.79,2.57,,,,NaN
1.2855,534,145.7,20.9,0.0010,419.98,2.62,,,,NaN
1.3055,550,155.0,20.9,0.0015,422.70,2.63,,,,NaN
1.3255,563,163.6,20.9,0.0015,378.21,2.58,,,,NaN
1.3455,575,171.3,20.9,0.0015,330.49,2.52,,,,NaN
1.3685,585,178.5,20.9,0.0025,291.40,2.46,,,,NaN
1.4000,595,186.4,20.9,0.0030,244.82,2.39,,,,NaN
1.4395,604,193.9,20.9,0.0045,196.66,2.29,,,,NaN
1.4945,612,202.0,20.9,0.0070,,,,,,
1.5665,620,209.7,20.9,0.0090,,,,,,
1.6670,628,217.7,20.9,0.0130,,,,,,
1.8040,635,225.6,20.9,0.0200,,,,,,
1.9955,642,233.7,20.9,0.0275,,,,,,
