Task,T1354
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,177.5,21.3
2,177.6,21.3
3,177.5,21.3
4,177.5,21.3
5,177.5,21.3
6,177.5,21.3
7,177.5,21.3
8,177.5,21.3
9,177.5,21.3
10,177.5,21.3
11,177.5,21.3
12,177.5,21.3
13,177.6,21.3
14,177.5,21.3
15,177.6,21.3
16,177.5,21.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.9,21.3
2,3.9,21.3
3,3.9,21.3
4,3.9,21.3
5,3.9,21.3
6,3.9,21.3
7,3.9,21.3
8,3.9,21.3
9,3.9,21.3
10,3.9,21.3
11,3.9,21.3
12,3.9,21.3
13,3.9,21.3
14,3.9,21.3
15,3.9,21.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-169.7,21.2
2,-169.7,21.2
3,-169.7,21.2
4,-169.8,21.2
5,-169.8,21.2
6,-169.8,21.2
7,-169.8,21.2
8,-169.8,21.2
9,-169.8,21.2
10,-169.8,21.2
11,-169.8,21.2
12,-169.8,21.2
13,-169.8,21.2
14,-169.8,21.2
15,-169.8,21.2
