Task,T1356
Scope 1/1, Sample 1/8 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-33.8,21.4,NaN,,,,,,
0.0200,24,-70.5,21.4,0.0010,,,,,,
0.0400,27,-70.9,21.4,0.0075,,,,,,
0.0900,44,-65.7,21.4,0.0030,,,,,,
0.2050,74,-42.2,21.4,0.0040,,,,,,
0.2455,104,-22.9,21.4,0.0015,,,,,,
0.2655,132,-12.1,21.4,0.0005,,,,,,
0.2915,151,-6.3,21.4,0.0015,,,,,,
0.3565,177,3.0,21.4,0.0025,,,,,,
0.5190,207,16.7,21.3,0.0055,,,,,,
0.7190,238,34.1,21.3,0.0065,,,,,,
0.8980,268,57.3,21.3,0.0060,204.60,2.31,,,,NaN
0.9810,298,79.7,21.3,0.0030,266.68,2.43,,,,NaN
1.0095,328,93.0,21.3,0.0010,290.90,2.46,,,,NaN
1.0295,344,97.9,21.3,0.0015,313.61,2.50,,,,NaN
1.0795,368,111.4,21.3,0.0020,369.20,2.57,,,,NaN
1.1065,510,120.3,21.3,0.0000,376.62,2.58,,,,NaN
1.1265,530,127.9,21.3,0.0010,404.02,2.61,,,,NaN
1.1465,550,137.7,21.3,0.0010,487.01,2.69,,,,NaN
1.1665,567,148.8,21.3,0.0010,502.65,2.70,,,,NaN
1.1865,582,159.8,21.3,0.0015,476.01,2.68,,,,NaN
1.2065,594,169.4,21.3,0.0015,403.10,2.61,,,,NaN
1.2265,605,177.2,21.3,0.0020,349.88,2.54,,,,NaN
1.2515,615,184.8,21.3,0.0025,301.60,2.48,,,,NaN
1.2855,624,192.8,21.3,0.0040,242.60,2.38,,,,NaN
1.3290,632,200.4,21.3,0.0055,,,,,,
1.3915,640,208.6,21.3,0.0080,,,,,,
1.4720,647,216.4,21.3,0.0120,,,,,,
1.5855,654,224.4,21.3,0.0165,,,,,,
1.7380,660,232.2,21.3,0.0235,,,,,,
