Task,T1381
Scope 1/1, Sample 1/8 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-11.3,22.0,NaN,,,,,,
0.0200,28,-73.2,22.1,0.0005,,,,,,
0.0400,31,-74.0,22.1,0.0075,,,,,,
0.0900,47,-69.7,22.1,0.0030,,,,,,
0.2150,77,-47.9,22.1,0.0040,,,,,,
0.2590,107,-29.6,22.1,0.0015,,,,,,
0.2790,137,-17.7,22.1,0.0005,,,,,,
0.2990,159,-11.6,22.1,0.0010,,,,,,
0.3490,188,-1.4,22.1,0.0015,,,,,,
0.4675,218,9.9,22.1,0.0040,,,,,,
0.6675,249,26.1,22.1,0.0065,,,,,,
0.8675,279,47.7,22.0,0.0065,187.85,2.27,,,,NaN
0.9775,309,72.7,22.0,0.0035,296.70,2.47,,,,NaN
1.0110,339,89.9,22.0,0.0010,336.55,2.53,,,,NaN
1.0310,364,98.9,22.0,0.0010,360.88,2.56,,,,NaN
1.0720,388,110.6,22.0,0.0015,415.57,2.62,,,,NaN
1.1160,538,128.6,22.0,0.0005,453.04,2.66,,,,NaN
1.1360,559,138.4,22.0,0.0010,452.15,2.66,,,,NaN
1.1560,578,150.4,22.0,0.0010,500.05,2.70,,,,NaN
1.1760,593,161.1,22.0,0.0015,471.93,2.67,,,,NaN
1.1960,606,170.5,22.0,0.0015,396.39,2.60,,,,NaN
1.2160,617,177.8,22.0,0.0020,344.19,2.54,,,,NaN
1.2445,627,186.1,22.0,0.0030,289.24,2.46,,,,NaN
1.2785,636,193.6,22.0,0.0035,231.32,2.36,,,,NaN
1.3270,645,201.6,22.0,0.0055,,,,,,
1.3925,653,209.5,22.0,0.0085,,,,,,
1.4815,660,217.5,22.0,0.0120,,,,,,
1.6030,667,225.4,22.0,0.0170,,,,,,
1.7730,674,233.5,22.0,0.0240,,,,,,
Scope 1/1, Sample 2/8 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,44.3,22.7,NaN,,,,,,
0.0200,27,-34.2,22.7,0.0005,,,,,,
0.0400,46,-43.5,22.7,0.0010,,,,,,
0.0900,49,-44.0,22.7,0.0160,,,,,,
0.2150,79,-14.8,22.7,0.0040,,,,,,
0.2385,109,-0.3,22.7,0.0010,,,,,,
0.2585,120,3.4,22.7,0.0020,,,,,,
0.3085,150,13.5,22.7,0.0015,,,,,,
0.3815,181,24.3,22.7,0.0025,108.66,2.04,,,,NaN
0.5290,211,39.1,22.7,0.0050,60.61,1.78,,,,NaN
0.7290,241,64.3,22.6,0.0065,254.40,2.41,,,,NaN
0.8300,271,94.7,22.6,0.0035,443.81,2.65,,,,NaN
0.8525,301,112.4,22.6,0.0005,475.49,2.68,,,,NaN
0.8725,445,123.8,22.6,0.0000,489.06,2.69,,,,NaN
0.8925,469,133.5,22.6,0.0010,505.25,2.70,,,,NaN
0.9125,489,144.5,22.6,0.0010,563.86,2.75,,,,NaN
0.9325,508,156.2,22.6,0.0010,482.55,2.68,,,,NaN
0.9525,522,166.1,22.6,0.0015,420.19,2.62,,,,NaN
0.9725,534,174.2,22.6,0.0015,360.37,2.56,,,,NaN
0.9970,545,182.1,22.6,0.0025,310.71,2.49,,,,NaN
1.0280,554,189.5,22.6,0.0035,254.95,2.41,,,,NaN
1.0725,563,197.7,22.6,0.0045,,,,,,
1.1295,571,205.4,22.6,0.0070,,,,,,
1.2110,579,213.6,22.6,0.0100,,,,,,
1.3160,587,221.4,22.6,0.0130,,,,,,
1.4645,594,229.4,22.6,0.0205,,,,,,
Scope 1/1, Sample 3/8 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,45.5,22.6,NaN,,,,,,
0.0200,28,-33.1,22.6,0.0005,,,,,,
0.0400,46,-43.4,22.6,0.0010,,,,,,
0.0900,50,-43.9,22.6,0.0135,,,,,,
0.2150,80,-15.1,22.6,0.0040,,,,,,
0.2390,110,-0.3,22.6,0.0010,,,,,,
0.2590,121,3.3,22.6,0.0020,,,,,,
0.3090,151,13.3,22.6,0.0015,,,,,,
0.3800,181,23.9,22.6,0.0025,111.24,2.05,,,,NaN
0.5220,212,38.2,22.6,0.0045,61.15,1.79,,,,NaN
0.7220,242,62.8,22.6,0.0065,234.74,2.37,,,,NaN
0.8280,272,91.7,22.6,0.0035,421.99,2.63,,,,NaN
0.8545,302,110.0,22.6,0.0010,464.19,2.67,,,,NaN
0.8745,445,122.1,22.5,0.0000,479.75,2.68,,,,NaN
0.8945,469,131.3,22.5,0.0010,493.54,2.69,,,,NaN
0.9175,491,144.1,22.5,0.0010,558.80,2.75,,,,NaN
0.9375,508,155.4,22.5,0.0010,483.16,2.68,,,,NaN
0.9575,523,165.9,22.5,0.0015,420.69,2.62,,,,NaN
0.9775,535,173.8,22.5,0.0015,360.84,2.56,,,,NaN
1.0045,546,182.4,22.5,0.0025,306.50,2.49,,,,NaN
1.0350,555,189.7,22.5,0.0035,253.38,2.40,,,,NaN
1.0805,563,198.0,22.5,0.0055,,,,,,
1.1370,572,205.5,22.5,0.0065,,,,,,
1.2195,579,213.7,22.5,0.0120,,,,,,
1.3270,586,221.6,22.5,0.0150,,,,,,
1.4755,594,229.5,22.5,0.0185,,,,,,
Scope 1/1, Sample 4/8 (BT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,44.5,22.6,NaN,,,,,,
0.0200,28,-33.9,22.6,0.0005,,,,,,
0.0400,46,-43.5,22.6,0.0010,,,,,,
0.0900,49,-43.9,22.6,0.0165,,,,,,
0.2150,79,-14.7,22.6,0.0040,,,,,,
0.2385,109,-0.2,22.6,0.0010,,,,,,
0.2585,119,3.3,22.6,0.0020,,,,,,
0.3085,149,13.5,22.6,0.0015,,,,,,
0.3750,179,24.0,22.6,0.0020,112.65,2.05,,,,NaN
0.5055,210,37.8,22.6,0.0045,56.55,1.75,,,,NaN
0.7055,240,60.4,22.6,0.0065,214.51,2.33,,,,NaN
0.8380,270,95.8,22.6,0.0045,459.52,2.66,,,,NaN
0.8635,300,117.1,22.5,0.0010,491.71,2.69,,,,NaN
0.8835,444,130.2,22.5,0.0000,492.73,2.69,,,,NaN
0.9035,466,140.9,22.5,0.0010,487.70,2.69,,,,NaN
0.9235,486,152.2,22.5,0.0010,565.20,2.75,,,,NaN
0.9435,501,162.7,22.5,0.0015,444.28,2.65,,,,NaN
0.9635,514,171.5,22.5,0.0015,380.12,2.58,,,,NaN
0.9855,525,179.1,22.5,0.0020,327.57,2.52,,,,NaN
1.0145,535,186.8,22.5,0.0030,273.79,2.44,,,,NaN
1.0540,545,194.9,22.5,0.0040,213.08,2.33,,,,NaN
1.1045,554,202.5,22.5,0.0055,,,,,,
1.1760,562,210.6,22.5,0.0090,,,,,,
1.2715,570,218.5,22.5,0.0120,,,,,,
1.4035,578,226.5,22.5,0.0155,,,,,,
1.5810,586,234.3,22.5,0.0215,,,,,,
Scope 1/1, Sample 5/8 (BT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,44.6,22.3,NaN,,,,,,
0.0200,28,-33.7,22.4,0.0005,,,,,,
0.0400,47,-43.7,22.4,0.0010,,,,,,
0.0900,50,-44.1,22.4,0.0145,,,,,,
0.2150,81,-15.0,22.4,0.0040,,,,,,
0.2385,111,-0.3,22.4,0.0010,,,,,,
0.2585,122,3.4,22.4,0.0020,,,,,,
0.3085,152,13.4,22.4,0.0015,,,,,,
0.3830,183,24.1,22.4,0.0025,104.00,2.02,,,,NaN
0.5360,213,39.1,22.4,0.0050,54.98,1.74,,,,NaN
0.7360,243,63.8,22.4,0.0065,260.42,2.42,,,,NaN
0.8395,273,95.7,22.4,0.0035,461.66,2.66,,,,NaN
0.8605,303,113.9,22.4,0.0005,487.96,2.69,,,,NaN
0.8805,447,125.9,22.3,0.0000,497.48,2.70,,,,NaN
0.9005,471,136.2,22.3,0.0010,510.37,2.71,,,,NaN
0.9205,490,147.2,22.3,0.0010,569.45,2.76,,,,NaN
0.9405,506,158.6,22.3,0.0010,467.74,2.67,,,,NaN
0.9605,521,168.3,22.3,0.0015,403.99,2.61,,,,NaN
0.9805,532,175.8,22.3,0.0020,349.62,2.54,,,,NaN
