Task,T1424
Scope 1/1, Sample 1/8 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,232.1,21.6,NaN,,,,,,
0.0200,4,231.9,21.6,0.0055,,,,,,
0.0400,7,232.5,21.6,0.0060,,,,,,
0.0900,12,234.2,21.6,0.0095,,,,,,
0.2150,18,238.4,21.6,0.0210,,,,,,
0.4150,24,243.9,21.6,0.0335,,,,,,
0.6150,30,248.4,21.6,0.0345,,,,,,
0.8150,36,252.3,21.6,0.0355,,,,,,
1.0150,41,255.6,21.6,0.0400,,,,,,
1.2150,47,258.5,21.6,0.0345,,,,,,
1.4150,52,261.1,21.6,0.0400,,,,,,
1.6150,57,263.4,21.6,0.0410,,,,,,
1.8150,62,265.6,21.6,0.0415,,,,,,
2.0150,67,267.5,21.6,0.0435,,,,,,
2.2150,71,269.3,21.6,0.0475,,,,,,
2.4150,76,271.0,21.6,0.0435,,,,,,
2.6150,80,272.6,21.6,0.0455,,,,,,
2.8150,85,274.1,21.6,0.0415,,,,,,
3.0150,89,275.5,21.6,0.0475,,,,,,
3.2150,94,276.8,21.6,0.0435,,,,,,
3.4150,98,278.1,21.6,0.0500,,,,,,
3.5600,102,278.9,21.6,0.0360,,,,,,
Scope 1/1, Sample 2/8 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,39.8,22.9,NaN,,,,,,
0.0200,28,-40.0,22.9,0.0005,,,,,,
0.0400,45,-47.4,22.9,0.0010,,,,,,
0.0900,73,-39.8,22.9,0.0020,,,,,,
0.2150,103,-12.9,22.9,0.0040,,,,,,
0.2670,131,3.4,22.9,0.0020,,,,,,
0.3020,161,13.0,22.8,0.0010,,,,,,
0.3680,192,23.9,22.8,0.0020,116.66,2.07,,,,NaN
0.5300,222,39.6,22.8,0.0055,110.49,2.04,,,,NaN
0.7300,252,67.1,22.8,0.0065,273.44,2.44,,,,NaN
0.8120,282,95.2,22.8,0.0025,427.49,2.63,,,,NaN
0.8320,312,110.4,22.8,0.0005,453.17,2.66,,,,NaN
0.8520,454,120.1,22.7,0.0000,470.64,2.67,,,,NaN
0.8780,479,132.1,22.6,0.0010,506.37,2.70,,,,NaN
0.8980,503,143.3,22.6,0.0010,537.72,2.73,,,,NaN
0.9180,521,154.7,22.6,0.0010,484.83,2.69,,,,NaN
0.9380,536,164.8,22.6,0.0015,427.91,2.63,,,,NaN
0.9580,549,173.3,22.6,0.0015,364.68,2.56,,,,NaN
0.9805,560,180.7,22.6,0.0020,319.86,2.50,,,,NaN
1.0115,569,188.5,22.6,0.0035,262.07,2.42,,,,NaN
1.0540,578,196.6,22.6,0.0045,,,,,,
1.1090,586,204.4,22.6,0.0065,,,,,,
1.1845,594,212.3,22.6,0.0090,,,,,,
1.2890,602,220.3,22.6,0.0140,,,,,,
1.4300,609,228.2,22.6,0.0200,,,,,,
Scope 1/1, Sample 3/8 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,38.6,22.5,NaN,,,,,,
0.0200,27,-39.2,22.5,0.0005,,,,,,
0.0400,45,-47.5,22.5,0.0010,,,,,,
0.0900,49,-47.7,22.5,0.0140,,,,,,
0.2150,79,-16.3,22.5,0.0040,,,,,,
0.2355,109,-0.8,22.5,0.0005,,,,,,
0.2555,122,3.2,22.5,0.0015,,,,,,
0.3055,152,13.2,22.4,0.0015,,,,,,
0.3875,182,24.3,22.4,0.0025,100.79,2.00,,,,NaN
0.5615,213,41.1,22.4,0.0055,70.65,1.85,,,,NaN
0.7615,243,72.3,22.4,0.0065,340.73,2.53,,,,NaN
0.8245,273,99.6,22.4,0.0020,465.19,2.67,,,,NaN
0.8445,303,114.9,22.4,0.0005,486.02,2.69,,,,NaN
0.8645,447,125.5,22.3,0.0000,494.08,2.69,,,,NaN
0.8865,471,136.8,22.3,0.0010,540.50,2.73,,,,NaN
0.9065,491,148.3,22.3,0.0010,542.37,2.73,,,,NaN
0.9265,509,159.6,22.3,0.0010,464.66,2.67,,,,NaN
0.9465,523,168.9,22.3,0.0015,399.30,2.60,,,,NaN
0.9675,535,176.8,22.3,0.0015,344.37,2.54,,,,NaN
0.9935,547,184.4,22.3,0.0020,294.68,2.47,,,,NaN
1.0290,557,192.2,22.3,0.0035,233.50,2.37,,,,NaN
1.0785,566,200.5,22.3,0.0055,,,,,,
1.1405,574,208.0,22.3,0.0075,,,,,,
1.2320,582,216.2,22.3,0.0120,,,,,,
1.3520,589,224.1,22.3,0.0165,,,,,,
1.5180,597,232.1,22.3,0.0215,,,,,,
Scope 1/1, Sample 4/8 (QT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,8.0,21.9,NaN,,,,,,
0.0200,28,-56.9,21.9,0.0005,,,,,,
0.0400,31,-57.8,21.9,0.0075,,,,,,
0.0900,47,-54.0,21.9,0.0030,,,,,,
