Task,T1423
Scope 1/1, Sample 1/2 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-22.0,22.1,NaN,,,,,,
0.0200,26,-78.3,22.1,0.0010,,,,,,
0.0400,29,-78.9,22.1,0.0075,,,,,,
0.0900,42,-75.3,22.1,0.0040,,,,,,
0.2150,72,-55.7,22.1,0.0040,,,,,,
0.2665,102,-39.2,22.1,0.0015,,,,,,
0.2910,132,-26.6,22.1,0.0010,,,,,,
0.3110,158,-18.7,22.1,0.0010,,,,,,
0.3610,188,-7.2,22.1,0.0015,,,,,,
0.4830,210,3.3,22.1,0.0055,,,,,,
0.6830,240,22.6,22.1,0.0065,,,,,,
0.8305,270,39.9,22.1,0.0050,,,,,,
0.9425,300,58.8,22.1,0.0035,201.23,2.30,,,,NaN
1.0090,331,75.6,22.1,0.0020,246.17,2.39,,,,NaN
1.0510,360,88.6,22.1,0.0015,276.28,2.44,,,,NaN
1.0930,383,98.1,22.1,0.0020,309.75,2.49,,,,NaN
1.1890,413,129.1,22.1,0.0030,394.06,2.60,,,,NaN
1.2090,552,138.6,22.0,0.0000,392.42,2.59,,,,NaN
1.2290,571,148.9,22.0,0.0010,412.19,2.62,,,,NaN
1.2490,586,159.1,22.0,0.0015,434.06,2.64,,,,NaN
1.2690,599,168.1,22.0,0.0015,387.05,2.59,,,,NaN
1.2890,610,175.2,22.0,0.0020,330.79,2.52,,,,NaN
1.3180,621,183.5,22.0,0.0025,278.88,2.45,,,,NaN
1.3520,631,191.0,22.0,0.0035,227.24,2.36,,,,NaN
1.3990,640,198.8,22.0,0.0055,,,,,,
1.4630,648,206.8,22.0,0.0080,,,,,,
1.5490,656,214.7,22.0,0.0100,,,,,,
1.6655,664,222.6,22.0,0.0145,,,,,,
1.8275,671,230.6,22.0,0.0230,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,36.2,22.0,NaN,,,,,,
0.0200,28,-39.3,22.0,0.0005,,,,,,
0.0400,40,-44.8,22.0,0.0015,,,,,,
0.0900,43,-44.8,22.0,0.0145,,,,,,
0.2150,74,-16.9,22.0,0.0040,,,,,,
0.2405,104,-2.7,22.0,0.0010,,,,,,
0.2605,111,-0.5,22.0,0.0025,,,,,,
0.3105,120,3.3,22.0,0.0055,,,,,,
0.4355,151,17.1,22.0,0.0040,,,,,,
0.5400,181,28.5,22.0,0.0035,,,,,,
0.6890,186,37.0,22.0,0.0305,82.14,1.91,,,,NaN
0.8890,216,56.7,22.0,0.0065,121.82,2.09,,,,NaN
1.0205,246,76.3,22.0,0.0045,168.29,2.23,,,,NaN
1.0915,277,91.8,22.0,0.0025,204.33,2.31,,,,NaN
1.1410,298,101.0,22.0,0.0025,236.27,2.37,,,,NaN
1.1915,442,112.3,22.0,0.0005,276.00,2.44,,,,NaN
1.2210,465,119.7,22.0,0.0015,302.68,2.48,,,,NaN
1.2500,488,128.8,22.0,0.0015,330.58,2.52,,,,NaN
1.2705,507,136.6,22.0,0.0010,373.52,2.57,,,,NaN
1.2905,525,145.0,22.0,0.0010,410.68,2.61,,,,NaN
1.3105,542,154.3,22.0,0.0010,421.50,2.62,,,,NaN
1.3305,556,162.9,22.0,0.0015,379.54,2.58,,,,NaN
1.3510,569,171.0,22.0,0.0015,330.64,2.52,,,,NaN
1.3730,580,177.8,22.0,0.0020,293.45,2.47,,,,NaN
1.4055,591,186.1,22.0,0.0030,246.02,2.39,,,,NaN
1.4440,599,193.5,22.0,0.0045,198.85,2.30,,,,NaN
1.4985,608,201.6,22.0,0.0060,,,,,,
1.5700,616,209.4,22.0,0.0085,,,,,,
1.6680,624,217.3,22.0,0.0130,,,,,,
1.8030,631,225.2,22.0,0.0190,,,,,,
1.9890,639,233.3,22.0,0.0230,,,,,,
