Task,T1447
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,178.2,22.3
2,178.2,22.3
3,178.2,22.3
4,178.2,22.3
5,178.2,22.3
6,178.2,22.3
7,178.2,22.3
8,178.2,22.3
9,178.2,22.3
10,178.2,22.3
11,178.2,22.3
12,178.2,22.3
13,178.3,22.3
14,178.2,22.3
15,178.2,22.3
16,178.2,22.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,4.0,22.3
2,3.9,22.3
3,3.9,22.3
4,3.8,22.3
5,3.9,22.3
6,3.9,22.3
7,3.9,22.3
8,3.8,22.3
9,3.9,22.3
10,3.9,22.3
11,3.9,22.3
12,3.8,22.3
13,3.8,22.3
14,3.8,22.3
15,3.9,22.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.8,22.3
2,-170.7,22.3
3,-170.8,22.3
4,-170.7,22.3
5,-170.7,22.3
6,-170.7,22.3
7,-170.8,22.3
8,-170.8,22.3
9,-170.8,22.3
10,-170.9,22.3
11,-170.8,22.3
12,-170.8,22.3
13,-170.8,22.3
14,-170.9,22.3
15,-170.8,22.3
16,-170.9,22.3
