Task,T1492
Scope 1/1, Sample 1/2 (JUNK3)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,31.1,21.0,NaN,,,,,,
0.0200,28,-51.2,21.1,0.0005,,,,,,
0.0400,39,-55.8,21.1,0.0020,,,,,,
0.0900,42,-56.1,21.1,0.0160,,,,,,
0.2150,72,-31.2,21.0,0.0040,,,,,,
0.2475,103,-13.3,21.0,0.0010,,,,,,
0.2675,128,-5.3,21.0,0.0010,,,,,,
0.3175,144,-0.3,21.0,0.0030,,,,,,
0.4425,174,11.3,21.0,0.0040,,,,,,
0.6295,204,25.0,21.0,0.0060,,,,,,
0.8295,235,42.7,21.0,0.0065,105.64,2.02,,,,NaN
0.9930,265,62.7,21.0,0.0055,179.68,2.25,,,,NaN
1.0875,295,83.5,21.0,0.0030,235.66,2.37,,,,NaN
1.1280,325,97.1,21.0,0.0015,266.92,2.43,,,,NaN
1.1595,341,104.2,21.0,0.0020,295.97,2.47,,,,NaN
1.2125,491,118.8,20.9,0.0005,349.49,2.54,,,,NaN
1.2360,517,126.7,20.9,0.0010,363.35,2.56,,,,NaN
1.2560,539,134.5,20.9,0.0010,387.66,2.59,,,,NaN
1.2760,560,144.1,20.9,0.0010,443.48,2.65,,,,NaN
1.2960,579,153.8,20.9,0.0010,444.06,2.65,,,,NaN
1.3160,595,163.2,20.9,0.0015,397.01,2.60,,,,NaN
1.3360,608,170.9,20.9,0.0015,345.19,2.54,,,,NaN
1.3615,620,179.3,20.9,0.0020,297.91,2.47,,,,NaN
1.3900,631,186.6,20.9,0.0025,253.57,2.40,,,,NaN
1.4310,642,194.5,20.9,0.0035,200.55,2.30,,,,NaN
1.4850,651,202.4,20.9,0.0055,,,,,,
1.5570,660,210.1,20.9,0.0080,,,,,,
1.6590,668,218.2,20.9,0.0125,,,,,,
1.7960,676,226.2,20.9,0.0175,,,,,,
1.9830,684,234.1,20.9,0.0245,,,,,,
Scope 1/1, Sample 2/2 (BT2-REDO)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,57.9,20.8,NaN,,,,,,
0.0200,28,-22.3,20.8,0.0005,,,,,,
0.0400,58,-40.5,20.8,0.0005,,,,,,
0.0900,61,-40.9,20.8,0.0165,,,,,,
0.2150,91,-12.3,20.8,0.0040,,,,,,
0.2395,121,1.0,20.8,0.0010,,,,,,
0.2595,127,3.3,20.8,0.0035,,,,,,
0.3095,157,14.4,20.8,0.0015,,,,,,
0.3470,188,23.6,20.8,0.0010,133.57,2.13,,,,NaN
0.4050,218,33.8,20.8,0.0020,93.63,1.97,,,,NaN
0.5340,248,46.4,20.8,0.0045,67.99,1.83,,,,NaN
0.7340,278,72.5,20.8,0.0065,319.64,2.50,,,,NaN
0.8260,308,112.7,20.8,0.0030,493.58,2.69,,,,NaN
0.8460,451,135.9,20.8,0.0000,467.27,2.67,,,,NaN
0.8660,474,147.7,20.8,0.0010,445.56,2.65,,,,NaN
0.8930,493,162.7,20.8,0.0015,508.51,2.71,,,,NaN
0.9130,508,171.3,20.8,0.0015,415.79,2.62,,,,NaN
0.9365,519,179.0,20.8,0.0020,346.98,2.54,,,,NaN
0.9685,530,187.5,20.8,0.0030,268.60,2.43,,,,NaN
1.0060,539,194.8,20.8,0.0040,212.28,2.33,,,,NaN
1.0620,548,202.9,20.8,0.0060,,,,,,
1.1360,556,210.9,20.8,0.0090,,,,,,
1.2360,564,218.7,20.8,0.0125,,,,,,
1.3775,572,226.8,20.8,0.0185,,,,,,
1.5660,579,234.7,20.8,0.0260,,,,,,
