Task,T1573
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-16.9,16.0,NaN,,,,,,
0.0200,26,-55.8,15.9,0.0010,,,,,,
0.0400,29,-56.3,15.9,0.0075,,,,,,
0.0900,45,-52.1,15.9,0.0030,,,,,,
0.2150,75,-30.2,15.9,0.0040,,,,,,
0.2595,106,-12.1,15.9,0.0015,,,,,,
0.2795,133,-3.0,15.9,0.0005,,,,,,
0.3105,143,-0.7,15.9,0.0030,,,,,,
0.3880,155,3.1,15.9,0.0065,,,,,,
0.5820,185,16.8,15.9,0.0065,,,,,,
0.7820,215,30.6,15.9,0.0065,64.28,1.81,,,,NaN
0.9820,245,49.0,15.9,0.0065,144.52,2.16,,,,NaN
1.1320,276,72.5,15.9,0.0050,236.94,2.37,,,,NaN
1.1925,306,90.5,15.9,0.0020,287.25,2.46,,,,NaN
1.2210,336,102.3,15.9,0.0010,316.76,2.50,,,,NaN
1.2410,473,109.1,15.8,0.0000,339.50,2.53,,,,NaN
1.2700,503,116.9,15.8,0.0010,375.81,2.57,,,,NaN
1.3070,532,129.7,15.8,0.0015,390.46,2.59,,,,NaN
1.3270,553,138.8,15.8,0.0010,420.47,2.62,,,,NaN
1.3470,574,148.8,15.8,0.0010,452.07,2.66,,,,NaN
1.3670,591,158.7,15.8,0.0010,421.83,2.63,,,,NaN
1.3870,606,167.2,15.8,0.0015,360.63,2.56,,,,NaN
1.4090,620,174.8,15.8,0.0015,316.10,2.50,,,,NaN
1.4370,632,182.4,15.8,0.0025,269.98,2.43,,,,NaN
1.4745,643,190.3,15.8,0.0035,215.54,2.33,,,,NaN
1.5240,653,198.0,15.8,0.0050,,,,,,
1.5935,663,206.0,15.8,0.0070,,,,,,
1.6880,672,213.9,15.8,0.0110,,,,,,
1.8190,681,221.8,15.8,0.0150,,,,,,
2.0010,689,229.9,15.8,0.0215,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,60.8,15.6,NaN,,,,,,
0.0200,28,-27.6,15.5,0.0005,,,,,,
0.0400,58,-45.7,15.5,0.0005,,,,,,
0.0900,61,-46.2,15.5,0.0165,,,,,,
0.2150,91,-23.4,15.5,0.0040,,,,,,
0.2535,121,-7.8,15.5,0.0015,,,,,,
0.2735,141,-1.2,15.5,0.0010,,,,,,
0.3235,149,0.4,15.5,0.0065,,,,,,
0.4485,179,11.3,15.5,0.0040,,,,,,
0.6145,209,22.6,15.5,0.0055,37.88,1.58,,,,NaN
0.8145,239,36.7,15.5,0.0065,77.29,1.89,,,,NaN
1.0145,270,57.1,15.6,0.0065,189.41,2.28,,,,NaN
1.1380,300,81.6,15.6,0.0040,296.31,2.47,,,,NaN
1.1795,330,100.6,15.6,0.0015,341.22,2.53,,,,NaN
1.1995,467,111.8,15.6,0.0000,360.21,2.56,,,,NaN
1.2195,490,117.1,15.6,0.0010,385.25,2.59,,,,NaN
1.2695,520,135.3,15.6,0.0015,426.30,2.63,,,,NaN
1.2895,541,144.7,15.6,0.0010,400.49,2.60,,,,NaN
1.3095,560,154.3,15.6,0.0010,413.43,2.62,,,,NaN
1.3295,577,163.3,15.6,0.0010,377.90,2.58,,,,NaN
1.3495,592,170.8,15.6,0.0015,324.92,2.51,,,,NaN
1.3750,604,178.6,15.6,0.0020,287.42,2.46,,,,NaN
1.4075,616,186.3,15.6,0.0030,238.46,2.38,,,,NaN
1.4515,626,194.2,15.6,0.0045,185.76,2.27,,,,NaN
1.5100,636,202.0,15.6,0.0055,,,,,,
1.5910,645,209.8,15.6,0.0085,,,,,,
1.7030,654,217.8,15.6,0.0120,,,,,,
1.8580,663,225.8,15.6,0.0165,,,,,,
2.0580,671,233.3,15.6,0.0245,,,,,,
