Task,T1583
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,15.8,22.5,NaN,,,,,,
0.0200,26,-50.6,22.4,0.0010,,,,,,
0.0400,31,-52.6,22.5,0.0040,,,,,,
0.0900,34,-52.9,22.4,0.0150,,,,,,
0.2150,65,-24.5,22.4,0.0040,,,,,,
0.2395,95,-8.5,22.4,0.0010,,,,,,
0.2595,117,-1.6,22.4,0.0010,,,,,,
0.3095,134,3.1,22.4,0.0030,,,,,,
0.4345,164,14.4,22.4,0.0040,,,,,,
0.6205,194,28.1,22.4,0.0060,49.17,1.69,,,,NaN
0.8205,224,45.2,22.4,0.0065,109.46,2.04,,,,NaN
0.9965,255,67.8,22.4,0.0055,199.94,2.30,,,,NaN
1.0785,285,89.2,22.4,0.0025,252.17,2.40,,,,NaN
1.1090,315,101.5,22.4,0.0010,275.41,2.44,,,,NaN
1.1290,450,106.9,22.4,0.0000,295.77,2.47,,,,NaN
1.1740,479,117.2,22.4,0.0015,338.08,2.53,,,,NaN
1.2145,507,130.4,22.4,0.0015,353.53,2.55,,,,NaN
1.2345,526,138.2,22.4,0.0010,378.77,2.58,,,,NaN
1.2545,543,147.3,22.4,0.0010,436.50,2.64,,,,NaN
1.2745,560,157.6,22.4,0.0010,435.72,2.64,,,,NaN
1.2945,574,166.2,22.4,0.0015,391.02,2.59,,,,NaN
1.3170,585,174.8,22.4,0.0020,335.00,2.53,,,,NaN
1.3405,594,182.2,22.4,0.0025,292.71,2.47,,,,NaN
1.3710,604,189.9,22.4,0.0030,246.33,2.39,,,,NaN
1.4110,612,197.4,22.4,0.0050,,,,,,
1.4680,621,205.7,22.4,0.0065,,,,,,
1.5380,628,212.8,22.4,0.0105,,,,,,
1.6540,635,222.2,22.4,0.0160,,,,,,
1.7750,642,229.0,22.4,0.0180,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,47.0,22.4,NaN,,,,,,
0.0200,28,-31.1,22.4,0.0005,,,,,,
0.0400,44,-39.1,22.4,0.0015,,,,,,
0.0900,47,-39.5,22.4,0.0155,,,,,,
0.2150,78,-13.8,22.4,0.0040,,,,,,
0.2455,100,-0.8,22.4,0.0015,,,,,,
0.2655,104,-0.3,22.4,0.0055,,,,,,
0.3155,112,3.2,22.4,0.0060,,,,,,
0.4405,142,17.7,22.4,0.0040,,,,,,
0.5355,165,28.0,22.4,0.0040,,,,,,
0.6920,187,38.3,22.4,0.0070,83.06,1.92,,,,NaN
0.8920,218,58.5,22.4,0.0065,127.53,2.11,,,,NaN
1.0185,248,79.2,22.4,0.0040,182.64,2.26,,,,NaN
1.0780,261,88.5,22.4,0.0045,220.30,2.34,,,,NaN
1.1860,290,115.9,22.4,0.0035,304.04,2.48,,,,NaN
1.2060,418,122.8,22.4,0.0000,327.35,2.52,,,,NaN
1.2260,437,130.3,22.4,0.0010,340.94,2.53,,,,NaN
1.2460,455,136.6,22.4,0.0010,378.71,2.58,,,,NaN
1.2765,475,149.8,22.4,0.0015,400.09,2.60,,,,NaN
1.2965,486,156.8,22.4,0.0020,397.82,2.60,,,,NaN
1.3245,502,170.1,22.4,0.0020,358.26,2.55,,,,NaN
1.3445,510,176.5,22.4,0.0025,316.04,2.50,,,,NaN
1.3815,522,188.1,22.4,0.0030,260.81,2.42,,,,NaN
1.4075,529,193.7,22.4,0.0035,232.33,2.37,,,,NaN
1.4610,539,203.2,22.4,0.0055,,,,,,
1.5160,548,210.5,22.4,0.0060,,,,,,
1.5955,555,218.0,22.4,0.0115,,,,,,
1.7170,561,226.5,22.4,0.0195,,,,,,
1.8680,568,234.3,22.4,0.0215,,,,,,
