Task,T1595
Scope 1/1, Sample 1/8 (JUNK2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,35.1,22.8,NaN,,,,,,
0.0200,28,-43.6,22.8,0.0005,,,,,,
0.0400,33,-46.7,22.8,0.0040,,,,,,
0.0900,36,-47.1,22.8,0.0160,,,,,,
0.2150,62,-22.4,22.8,0.0045,,,,,,
0.2475,93,-4.2,22.8,0.0010,,,,,,
0.2675,106,-0.1,22.8,0.0015,,,,,,
0.3175,109,0.4,22.8,0.0180,,,,,,
0.4425,139,15.5,22.8,0.0040,,,,,,
0.5300,148,18.8,22.8,0.0100,,,,,,
0.7300,171,33.4,22.8,0.0085,,,,,,
0.9300,201,57.3,22.8,0.0065,179.08,2.25,,,,NaN
1.0195,231,79.8,22.8,0.0030,233.77,2.37,,,,NaN
1.0495,246,88.8,22.8,0.0020,262.14,2.42,,,,NaN
1.0940,262,98.2,22.8,0.0025,296.04,2.47,,,,NaN
1.2025,286,132.6,22.8,0.0045,389.73,2.59,,,,NaN
1.2225,421,142.8,22.7,0.0000,388.99,2.59,,,,NaN
1.2425,434,151.4,22.7,0.0015,420.53,2.62,,,,NaN
1.2645,450,163.4,22.7,0.0015,434.23,2.64,,,,NaN
1.2845,464,172.1,22.7,0.0015,399.53,2.60,,,,NaN
1.3075,477,181.1,22.7,0.0015,332.84,2.52,,,,NaN
1.3305,486,187.2,22.7,0.0025,292.96,2.47,,,,NaN
1.3735,494,197.6,22.7,0.0055,229.99,2.36,,,,NaN
1.4100,501,204.3,22.7,0.0050,,,,,,
1.4670,510,212.2,22.7,0.0065,,,,,,
1.5455,519,220.2,22.7,0.0085,,,,,,
1.6495,526,227.4,22.7,0.0160,,,,,,
1.8220,533,236.8,22.7,0.0250,,,,,,
Scope 1/1, Sample 2/8 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,3.2,23.1,NaN,,,,,,
0.0200,27,-55.5,23.1,0.0005,,,,,,
0.0400,30,-55.7,23.1,0.0055,,,,,,
0.0900,34,-55.7,23.1,0.0130,,,,,,
0.2150,64,-33.1,23.1,0.0040,,,,,,
0.2540,70,-29.9,23.1,0.0060,,,,,,
0.3515,100,-4.0,23.1,0.0030,,,,,,
0.3715,105,-1.9,23.1,0.0045,,,,,,
0.4215,112,0.7,23.1,0.0070,,,,,,
0.5465,117,0.9,23.1,0.0270,,,,,,
0.7465,139,19.9,23.1,0.0095,,,,,,
0.8890,150,27.2,23.1,0.0125,,,,,,
1.0890,155,29.6,23.1,0.0415,,,,,,
1.2890,185,59.9,23.1,0.0065,152.97,2.18,,,,NaN
1.3445,215,79.8,23.1,0.0020,164.31,2.22,,,,NaN
1.3645,232,86.7,23.1,0.0010,185.37,2.27,,,,NaN
1.4125,235,87.9,23.1,0.0145,208.02,2.32,,,,NaN
1.5325,265,108.9,23.1,0.0040,199.21,2.30,,,,NaN
1.5525,398,116.1,23.0,0.0000,176.70,2.25,,,,NaN
1.5725,404,117.7,23.0,0.0030,222.18,2.35,,,,NaN
1.6225,421,128.4,23.0,0.0030,285.12,2.46,,,,NaN
1.6425,440,135.3,23.0,0.0010,298.04,2.47,,,,NaN
1.6625,458,141.6,23.0,0.0010,354.54,2.55,,,,NaN
1.6900,477,152.2,23.0,0.0015,403.89,2.61,,,,NaN
1.7100,490,160.7,23.0,0.0015,401.64,2.60,,,,NaN
1.7300,505,169.5,23.0,0.0015,361.19,2.56,,,,NaN
1.7500,518,176.9,23.0,0.0015,316.54,2.50,,,,NaN
1.7760,526,184.9,23.0,0.0030,276.87,2.44,,,,NaN
1.8070,536,192.9,23.0,0.0030,239.41,2.38,,,,NaN
1.8440,544,199.4,23.0,0.0045,,,,,,
1.9105,551,208.6,23.0,0.0090,,,,,,
1.9850,559,217.1,23.0,0.0095,,,,,,
2.0685,566,224.6,23.0,0.0125,,,,,,
2.1830,572,231.0,23.0,0.0185,,,,,,
Scope 1/1, Sample 3/8 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,3.5,22.8,NaN,,,,,,
0.0200,27,-56.3,22.9,0.0005,,,,,,
0.0400,31,-57.1,22.9,0.0055,,,,,,
0.0900,36,-56.2,22.9,0.0105,,,,,,
0.2150,66,-34.6,22.9,0.0040,,,,,,
0.2580,96,-18.6,22.9,0.0015,,,,,,
0.2780,109,-14.1,22.9,0.0015,,,,,,
0.3280,129,-4.3,22.8,0.0025,,,,,,
0.4220,142,2.0,22.8,0.0070,,,,,,
0.6220,158,11.8,22.8,0.0120,,,,,,
0.8220,189,28.0,22.8,0.0065,,,,,,
1.0170,202,40.4,22.8,0.0150,79.33,1.90,,,,NaN
1.2170,232,62.1,22.8,0.0065,115.62,2.06,,,,NaN
1.3250,250,73.4,22.8,0.0060,141.53,2.15,,,,NaN
1.4845,273,94.6,22.8,0.0070,201.47,2.30,,,,NaN
1.5795,299,117.6,22.8,0.0035,265.79,2.42,,,,NaN
1.5995,434,125.9,22.8,0.0000,287.13,2.46,,,,NaN
1.6195,437,126.3,22.8,0.0060,304.24,2.48,,,,NaN
1.6695,463,145.5,22.8,0.0020,347.86,2.54,,,,NaN
1.6895,479,153.1,22.8,0.0010,362.56,2.56,,,,NaN
1.7105,502,162.0,22.8,0.0010,392.80,2.59,,,,NaN
1.7305,514,169.7,22.8,0.0015,365.01,2.56,,,,NaN
1.7540,526,178.3,22.8,0.0020,313.30,2.50,,,,NaN
1.7765,537,185.7,22.8,0.0020,278.09,2.44,,,,NaN
1.8035,546,192.3,22.8,0.0030,244.63,2.39,,,,NaN
1.8475,554,200.6,22.8,0.0055,,,,,,
1.9025,561,208.8,22.8,0.0075,,,,,,
1.9700,569,217.0,22.8,0.0085,,,,,,
2.0530,576,223.9,22.8,0.0115,,,,,,
2.1915,583,232.5,22.8,0.0185,,,,,,
Scope 1/1, Sample 4/8 (BT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,2.4,22.7,NaN,,,,,,
0.0200,21,-54.8,22.7,0.0010,,,,,,
0.0400,27,-55.1,22.7,0.0035,,,,,,
0.0900,40,-52.3,22.7,0.0040,,,,,,
0.2150,48,-47.0,22.7,0.0155,,,,,,
0.4150,78,-5.5,22.7,0.0065,,,,,,
0.4445,94,3.5,22.7,0.0020,,,,,,
0.4805,106,8.1,22.7,0.0030,,,,,,
0.5705,125,16.7,22.7,0.0045,,,,,,
0.7705,155,32.1,22.7,0.0065,71.02,1.85,,,,NaN
0.9705,183,46.7,22.7,0.0070,68.97,1.84,,,,NaN
1.1705,214,63.9,22.7,0.0065,93.45,1.97,,,,NaN
1.3420,244,81.2,22.7,0.0060,126.87,2.10,,,,NaN
1.4780,274,100.1,22.7,0.0045,166.50,2.22,,,,NaN
1.5200,407,109.4,22.7,0.0005,181.47,2.26,,,,NaN
1.5425,425,113.1,22.7,0.0010,200.73,2.30,,,,NaN
1.5985,449,123.3,22.7,0.0025,235.23,2.37,,,,NaN
1.6380,468,131.5,22.7,0.0020,260.08,2.42,,,,NaN
1.6715,486,141.4,22.7,0.0020,306.89,2.49,,,,NaN
1.6915,492,145.6,22.7,0.0035,366.63,2.56,,,,NaN
1.7415,510,169.4,22.6,0.0030,371.12,2.57,,,,NaN
1.7615,519,176.6,22.6,0.0020,336.19,2.53,,,,NaN
1.7910,531,186.8,22.6,0.0025,276.01,2.44,,,,NaN
1.8150,540,192.4,22.6,0.0030,248.62,2.40,,,,NaN
1.8665,548,202.6,22.6,0.0060,197.64,2.30,,,,NaN
1.9140,558,209.6,22.6,0.0050,,,,,,
1.9870,565,217.4,22.6,0.0100,,,,,,
2.0905,572,225.1,22.6,0.0140,,,,,,
2.2435,578,234.4,22.6,0.0235,,,,,,
2.4065,586,241.7,22.6,0.0205,,,,,,
Scope 1/1, Sample 5/8 (BT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,5.0,22.4,NaN,,,,,,
0.0200,28,-55.0,22.5,0.0005,,,,,,
0.0400,31,-55.6,22.5,0.0075,,,,,,
0.0900,42,-53.1,22.5,0.0050,,,,,,
0.2150,72,-32.7,22.5,0.0040,,,,,,
0.2635,89,-22.2,22.5,0.0030,,,,,,
0.3190,119,-4.2,22.5,0.0020,,,,,,
0.3520,123,-2.9,22.5,0.0080,,,,,,
0.4345,149,8.5,22.5,0.0030,,,,,,
0.5010,159,12.2,22.5,0.0070,,,,,,
0.6670,178,22.4,22.5,0.0090,,,,,,
0.8670,188,28.6,22.5,0.0195,34.74,1.54,,,,NaN
1.0670,212,44.8,22.5,0.0085,64.44,1.81,,,,NaN
1.2620,224,54.9,22.5,0.0155,126.91,2.10,,,,NaN
1.4620,255,88.6,22.5,0.0065,216.20,2.33,,,,NaN
1.5070,285,107.2,22.5,0.0015,240.92,2.38,,,,NaN
1.5270,410,113.1,22.5,0.0000,252.81,2.40,,,,NaN
1.5655,419,117.1,22.5,0.0040,287.78,2.46,,,,NaN
1.6615,442,145.6,22.5,0.0040,328.20,2.52,,,,NaN
1.6815,461,154.8,22.5,0.0010,317.57,2.50,,,,NaN
1.7015,472,161.8,22.5,0.0020,370.15,2.57,,,,NaN
1.7305,484,173.7,22.5,0.0025,350.84,2.55,,,,NaN
1.7505,496,181.1,22.5,0.0015,291.82,2.47,,,,NaN
1.7740,506,187.8,22.5,0.0025,267.42,2.43,,,,NaN
1.8105,513,194.7,22.5,0.0055,222.26,2.35,,,,NaN
1.8755,520,206.6,22.5,0.0085,,,,,,
1.9200,529,212.0,22.5,0.0050,,,,,,
2.0205,536,221.1,22.5,0.0145,,,,,,
2.1375,543,228.9,22.5,0.0160,,,,,,
2.3010,550,236.7,22.5,0.0250,,,,,,
Scope 1/1, Sample 6/8 (BT3)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,3.6,22.3,NaN,,,,,,
0.0200,24,-54.6,22.3,0.0010,,,,,,
0.0400,29,-57.1,22.3,0.0035,,,,,,
0.0900,37,-55.5,22.3,0.0065,,,,,,
0.2150,56,-40.6,22.3,0.0065,,,,,,
0.3050,86,-13.7,22.3,0.0030,,,,,,
0.3265,110,-3.2,22.3,0.0010,,,,,,
0.3465,121,-0.3,22.3,0.0020,,,,,,
0.3965,127,1.0,22.3,0.0085,,,,,,
0.5215,131,3.3,22.3,0.0290,,,,,,
0.7215,162,22.4,22.3,0.0065,,,,,,
0.8615,174,29.2,22.3,0.0115,47.14,1.67,,,,NaN
1.0615,198,45.3,22.3,0.0080,73.44,1.87,,,,NaN
1.2580,208,52.1,22.3,0.0205,123.54,2.09,,,,NaN
1.4580,238,85.0,22.3,0.0065,205.93,2.31,,,,NaN
