Task,T1647
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-11.8,21.8,NaN,,,,,,
0.0200,25,-52.7,21.8,0.0010,,,,,,
0.0400,29,-53.3,21.8,0.0055,,,,,,
0.0900,51,-46.9,21.8,0.0025,,,,,,
0.1690,81,-29.1,21.8,0.0025,,,,,,
0.2090,112,-14.3,21.8,0.0015,,,,,,
0.2350,135,-6.7,21.8,0.0010,,,,,,
0.3000,152,-0.3,21.8,0.0040,,,,,,
0.4625,182,12.9,21.8,0.0055,,,,,,
0.6625,213,27.8,21.8,0.0065,,,,,,
0.8625,243,46.8,21.8,0.0065,137.00,2.14,,,,NaN
1.0040,273,68.3,21.8,0.0045,215.10,2.33,,,,NaN
1.0700,303,87.8,21.8,0.0020,259.72,2.41,,,,NaN
1.0980,333,99.4,21.8,0.0010,284.38,2.45,,,,NaN
1.1255,352,105.4,21.8,0.0015,311.86,2.49,,,,NaN
1.1945,503,124.5,21.8,0.0005,373.90,2.57,,,,NaN
1.2175,526,133.7,21.8,0.0010,374.27,2.57,,,,NaN
1.2375,546,142.6,21.8,0.0010,416.61,2.62,,,,NaN
1.2575,567,153.4,21.8,0.0010,458.81,2.66,,,,NaN
1.2775,583,162.9,21.8,0.0010,429.97,2.63,,,,NaN
1.2975,597,171.6,21.8,0.0015,361.88,2.56,,,,NaN
1.3175,608,178.2,21.8,0.0020,321.15,2.51,,,,NaN
1.3495,618,187.1,21.8,0.0030,266.53,2.43,,,,NaN
1.3835,627,194.2,21.8,0.0040,217.07,2.34,,,,NaN
1.4345,636,202.3,21.8,0.0060,,,,,,
1.5010,644,210.2,21.8,0.0090,,,,,,
1.5925,651,218.1,21.9,0.0125,,,,,,
1.7170,659,226.0,21.9,0.0165,,,,,,
1.8915,666,234.1,21.9,0.0270,,,,,,
Scope 1/1, Sample 2/2 (CRM1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,44.3,21.7,NaN,,,,,,
0.0200,28,-37.4,21.7,0.0005,,,,,,
0.0400,42,-43.9,21.7,0.0015,,,,,,
0.0900,45,-44.3,21.7,0.0150,,,,,,
0.2150,76,-18.6,21.7,0.0040,,,,,,
0.2455,106,-3.2,21.7,0.0010,,,,,,
0.2655,115,-0.6,21.7,0.0020,,,,,,
0.3155,126,3.3,21.7,0.0045,,,,,,
0.4405,156,15.6,21.7,0.0040,,,,,,
0.5730,187,27.2,21.7,0.0045,59.19,1.77,,,,NaN
0.7730,217,41.7,21.7,0.0065,80.32,1.90,,,,NaN
0.9730,247,61.3,21.7,0.0065,152.69,2.18,,,,NaN
1.1050,277,84.6,21.7,0.0045,226.44,2.35,,,,NaN
1.1560,308,100.9,21.7,0.0015,262.87,2.42,,,,NaN
1.1760,444,108.4,21.7,0.0000,281.18,2.45,,,,NaN
1.1960,465,112.2,21.7,0.0010,302.95,2.48,,,,NaN
1.2460,495,125.4,21.7,0.0015,343.31,2.54,,,,NaN
1.2680,517,133.2,21.7,0.0010,344.19,2.54,,,,NaN
1.2880,538,141.4,21.8,0.0010,407.55,2.61,,,,NaN
1.3080,559,150.8,21.8,0.0010,438.44,2.64,,,,NaN
1.3280,576,159.8,21.8,0.0010,416.73,2.62,,,,NaN
1.3480,591,168.5,21.8,0.0015,362.97,2.56,,,,NaN
1.3680,603,175.5,21.8,0.0015,319.73,2.50,,,,NaN
1.3960,614,183.7,21.8,0.0025,274.20,2.44,,,,NaN
1.4280,624,191.0,21.8,0.0030,229.20,2.36,,,,NaN
1.4740,633,199.1,21.8,0.0050,,,,,,
1.5330,641,206.7,21.8,0.0070,,,,,,
1.6175,650,214.8,21.8,0.0095,,,,,,
1.7290,658,222.7,21.8,0.0145,,,,,,
1.8810,665,230.6,21.8,0.0225,,,,,,
