Task,T1841
Scope 1/1, Sample 1/4 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-62.1,22.9,NaN,,,,,,
0.0200,3,-65.7,23.0,0.0060,,,,,,
0.0400,12,-63.3,23.0,0.0020,,,,,,
0.0900,40,-49.6,22.9,0.0020,,,,,,
0.1150,63,-40.4,22.9,0.0010,,,,,,
0.1475,87,-28.2,22.8,0.0015,,,,,,
0.1890,111,-15.3,22.8,0.0015,,,,,,
0.2515,134,-2.3,22.8,0.0025,,,,,,
0.3665,164,13.3,22.7,0.0040,,,,,,
0.5480,194,33.8,22.7,0.0060,85.45,1.93,,,,NaN
0.7185,225,51.9,22.6,0.0055,96.75,1.99,,,,NaN
0.8780,255,69.6,22.6,0.0055,162.56,2.21,,,,NaN
1.0160,281,92.8,22.5,0.0055,274.90,2.44,,,,NaN
1.0795,301,113.2,22.5,0.0030,359.61,2.56,,,,NaN
1.0995,434,121.2,22.3,0.0000,383.52,2.58,,,,NaN
1.1195,447,130.4,22.3,0.0015,382.75,2.58,,,,NaN
1.1395,459,140.8,22.3,0.0015,428.54,2.63,,,,NaN
1.1595,470,150.7,22.3,0.0020,429.18,2.63,,,,NaN
1.1795,480,159.2,22.2,0.0020,362.24,2.56,,,,NaN
1.2020,489,166.9,22.2,0.0025,316.35,2.50,,,,NaN
1.2305,497,174.5,22.2,0.0035,268.81,2.43,,,,NaN
1.2690,505,182.6,22.2,0.0050,213.36,2.33,,,,NaN
1.3175,513,190.1,22.2,0.0065,163.92,2.21,,,,NaN
1.3875,520,198.2,22.2,0.0095,,,,,,
1.4815,527,206.1,22.2,0.0135,,,,,,
1.6100,534,214.1,22.2,0.0180,,,,,,
1.7885,541,222.1,22.2,0.0250,,,,,,
1.9885,549,228.9,22.1,0.0265,,,,,,
Scope 1/1, Sample 2/4 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-48.3,21.9,NaN,,,,,,
0.0200,10,-65.6,22.0,0.0020,,,,,,
0.0400,17,-64.6,22.0,0.0030,,,,,,
0.0900,46,-50.7,21.9,0.0015,,,,,,
0.1100,67,-42.7,21.9,0.0010,,,,,,
0.1380,92,-31.7,21.9,0.0010,,,,,,
0.1800,117,-17.9,21.9,0.0015,,,,,,
0.2385,146,-4.8,21.8,0.0020,,,,,,
0.3425,176,9.1,21.8,0.0035,,,,,,
0.5425,206,31.6,21.8,0.0065,84.85,1.93,,,,NaN
0.7115,237,49.8,21.8,0.0055,94.88,1.98,,,,NaN
0.8660,267,66.7,21.7,0.0050,155.98,2.19,,,,NaN
1.0100,296,90.5,21.7,0.0050,267.87,2.43,,,,NaN
1.0745,315,109.8,21.7,0.0035,352.28,2.55,,,,NaN
1.0945,446,118.2,21.6,0.0000,381.97,2.58,,,,NaN
1.1145,460,127.1,21.6,0.0015,387.18,2.59,,,,NaN
1.1345,472,137.1,21.5,0.0015,425.98,2.63,,,,NaN
1.1545,482,147.3,21.5,0.0020,444.59,2.65,,,,NaN
1.1745,492,156.0,21.5,0.0020,377.64,2.58,,,,NaN
1.1960,500,164.0,21.5,0.0025,327.58,2.52,,,,NaN
1.2210,509,171.3,21.5,0.0030,285.02,2.45,,,,NaN
1.2560,516,179.2,21.5,0.0045,231.13,2.36,,,,NaN
1.3010,523,186.9,21.5,0.0060,178.72,2.25,,,,NaN
1.3640,530,194.9,21.5,0.0090,133.52,2.13,,,,NaN
1.4480,538,202.8,21.5,0.0110,,,,,,
1.5645,545,210.7,21.5,0.0160,,,,,,
1.7260,552,218.7,21.5,0.0230,,,,,,
1.9260,559,226.1,21.5,0.0300,,,,,,
2.1260,565,231.8,21.5,0.0315,,,,,,
Scope 1/1, Sample 3/4 (BT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-46.0,21.1,NaN,,,,,,
0.0200,12,-66.1,21.2,0.0015,,,,,,
0.0400,19,-64.9,21.2,0.0025,,,,,,
0.0900,48,-51.3,21.2,0.0015,,,,,,
0.1100,68,-43.3,21.2,0.0010,,,,,,
0.1375,94,-32.0,21.1,0.0010,,,,,,
0.1750,120,-19.3,21.1,0.0015,,,,,,
0.2330,146,-7.1,21.1,0.0020,,,,,,
0.3550,176,9.4,21.1,0.0040,,,,,,
0.5395,206,31.5,21.1,0.0060,86.71,1.94,,,,NaN
0.6900,236,47.9,21.1,0.0050,94.22,1.97,,,,NaN
0.8510,267,64.8,21.1,0.0050,154.48,2.19,,,,NaN
1.0085,297,91.2,21.0,0.0055,279.01,2.45,,,,NaN
1.0685,317,110.7,21.0,0.0030,362.45,2.56,,,,NaN
1.0885,450,119.5,21.0,0.0000,385.61,2.59,,,,NaN
1.1085,464,128.4,21.0,0.0015,384.66,2.59,,,,NaN
1.1285,476,138.5,20.9,0.0015,429.23,2.63,,,,NaN
1.1485,488,148.5,20.9,0.0015,430.47,2.63,,,,NaN
1.1685,498,157.0,20.9,0.0020,364.99,2.56,,,,NaN
1.1910,506,164.9,20.9,0.0025,317.67,2.50,,,,NaN
1.2190,515,172.5,20.9,0.0030,271.58,2.43,,,,NaN
1.2565,522,180.5,20.9,0.0050,217.23,2.34,,,,NaN
1.3050,529,188.2,20.9,0.0065,166.70,2.22,,,,NaN
1.3730,537,196.2,20.9,0.0085,124.04,2.09,,,,NaN
1.4640,544,204.0,20.9,0.0130,,,,,,
1.5920,550,212.1,20.9,0.0200,,,,,,
1.7650,558,220.1,20.9,0.0220,,,,,,
1.9650,565,226.9,20.9,0.0290,,,,,,
2.1650,572,232.4,20.9,0.0280,,,,,,
Scope 1/1, Sample 4/4 (BT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-46.7,20.6,NaN,,,,,,
0.0200,12,-66.2,20.7,0.0015,,,,,,
0.0400,18,-65.1,20.7,0.0030,,,,,,
0.0900,47,-51.8,20.6,0.0015,,,,,,
0.1100,69,-43.7,20.6,0.0010,,,,,,
0.1360,92,-33.5,20.6,0.0010,,,,,,
0.1775,117,-19.5,20.6,0.0015,,,,,,
0.2335,143,-7.4,20.6,0.0020,,,,,,
0.3475,171,8.7,20.6,0.0040,141.63,2.15,,,,NaN
0.5210,202,28.3,20.6,0.0055,76.26,1.88,,,,NaN
0.6995,232,47.5,20.6,0.0060,82.78,1.92,,,,NaN
0.8545,237,57.1,20.6,0.0290,153.28,2.19,,,,NaN
1.0545,268,100.8,20.6,0.0065,344.05,2.54,,,,NaN
1.0745,403,112.4,20.6,0.0000,371.26,2.57,,,,NaN
1.0945,415,119.7,20.6,0.0015,375.22,2.57,,,,NaN
1.1295,429,136.1,20.6,0.0025,385.84,2.59,,,,NaN
1.1495,440,146.1,20.6,0.0015,433.24,2.64,,,,NaN
1.1695,451,154.9,20.6,0.0020,369.53,2.57,,,,NaN
1.1905,460,162.5,20.6,0.0025,319.53,2.50,,,,NaN
1.2170,469,170.2,20.6,0.0030,277.75,2.44,,,,NaN
1.2515,476,178.0,20.6,0.0045,229.51,2.36,,,,NaN
1.2970,484,185.8,20.6,0.0060,177.71,2.25,,,,NaN
1.3585,491,193.6,20.6,0.0090,133.76,2.13,,,,NaN
1.4435,498,201.5,20.6,0.0120,,,,,,
1.5600,506,209.5,20.6,0.0155,,,,,,
1.7180,513,217.4,20.6,0.0230,,,,,,
1.9180,520,224.9,20.6,0.0285,,,,,,
2.1180,527,230.6,20.6,0.0280,,,,,,
