Task,T1839
Scope 1/1, Sample 1/2 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-46.0,24.2,NaN,,,,,,
0.0200,5,-59.7,24.3,0.0040,,,,,,
0.0400,12,-59.0,24.3,0.0030,,,,,,
0.0900,38,-46.0,24.2,0.0020,,,,,,
0.1100,57,-38.9,24.2,0.0010,,,,,,
0.1430,82,-26.4,24.1,0.0015,,,,,,
0.1830,107,-13.5,24.1,0.0015,,,,,,
0.2410,128,-1.2,24.0,0.0025,,,,,,
0.3550,159,15.1,23.9,0.0035,,,,,,
0.5225,189,35.1,23.9,0.0055,91.55,1.96,,,,NaN
0.6825,219,52.5,23.8,0.0055,90.72,1.96,,,,NaN
0.8430,247,68.8,23.7,0.0055,140.04,2.15,,,,NaN
1.0120,277,95.0,23.6,0.0055,259.80,2.41,,,,NaN
1.0800,295,115.4,23.6,0.0035,346.19,2.54,,,,NaN
1.1000,428,123.2,23.3,0.0000,371.64,2.57,,,,NaN
1.1200,440,131.8,23.3,0.0015,371.62,2.57,,,,NaN
1.1400,451,141.8,23.3,0.0020,406.27,2.61,,,,NaN
1.1600,461,151.5,23.3,0.0020,423.56,2.63,,,,NaN
1.1800,470,159.9,23.2,0.0020,361.06,2.56,,,,NaN
1.2020,479,167.5,23.2,0.0025,315.66,2.50,,,,NaN
1.2300,486,175.3,23.2,0.0040,270.32,2.43,,,,NaN
1.2665,493,183.1,23.2,0.0050,218.32,2.34,,,,NaN
1.3140,501,190.8,23.2,0.0060,168.93,2.23,,,,NaN
1.3795,508,198.7,23.2,0.0100,,,,,,
1.4695,515,206.7,23.2,0.0130,,,,,,
1.5910,521,214.6,23.1,0.0190,,,,,,
1.7590,528,222.6,23.1,0.0240,,,,,,
1.9590,535,229.7,23.1,0.0305,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-39.0,21.0,NaN,,,,,,
0.0200,12,-61.3,20.9,0.0015,,,,,,
0.0400,20,-60.1,20.9,0.0025,,,,,,
0.0900,50,-46.1,20.9,0.0015,,,,,,
0.1100,73,-37.8,20.9,0.0010,,,,,,
0.1360,95,-28.7,20.9,0.0010,,,,,,
0.1910,122,-13.2,20.9,0.0020,,,,,,
0.2615,145,-1.2,20.9,0.0030,,,,,,
0.4160,175,16.9,20.9,0.0050,,,,,,
0.6160,206,35.3,20.9,0.0065,76.40,1.88,,,,NaN
0.8160,236,53.9,20.9,0.0065,88.04,1.94,,,,NaN
0.9850,262,71.1,20.9,0.0065,135.52,2.13,,,,NaN
1.1295,284,91.8,20.9,0.0065,208.60,2.32,,,,NaN
1.2090,302,109.4,20.9,0.0045,282.39,2.45,,,,NaN
1.2325,435,116.1,20.9,0.0000,322.16,2.51,,,,NaN
1.2545,448,123.9,20.9,0.0015,341.31,2.53,,,,NaN
1.2745,462,132.3,20.9,0.0015,360.68,2.56,,,,NaN
1.2945,473,141.0,20.9,0.0020,411.70,2.61,,,,NaN
1.3145,483,150.0,20.9,0.0020,386.62,2.59,,,,NaN
1.3345,492,157.8,20.9,0.0020,339.20,2.53,,,,NaN
1.3585,502,165.9,20.9,0.0025,296.15,2.47,,,,NaN
1.3855,510,173.0,20.9,0.0035,257.04,2.41,,,,NaN
1.4250,517,181.0,20.9,0.0055,207.24,2.32,,,,NaN
1.4750,525,188.9,20.9,0.0065,160.71,2.21,,,,NaN
1.5415,532,196.5,20.9,0.0100,,,,,,
1.6370,538,204.6,20.9,0.0150,,,,,,
1.7635,546,212.6,20.9,0.0165,,,,,,
1.9365,553,220.5,20.9,0.0255,,,,,,
2.1365,560,227.4,20.9,0.0285,,,,,,
