Task,T1844
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,9.1,22.9,NaN,,,,,,
0.0200,26,-50.7,23.0,0.0010,,,,,,
0.0400,29,-51.3,23.0,0.0075,,,,,,
0.0900,59,-36.0,22.9,0.0015,,,,,,
0.1100,81,-27.4,22.9,0.0010,,,,,,
0.1365,104,-19.4,22.9,0.0010,,,,,,
0.2025,128,-7.2,22.9,0.0025,,,,,,
0.3430,158,11.1,22.9,0.0045,,,,,,
0.5185,189,32.4,22.9,0.0055,83.16,1.92,,,,NaN
0.6595,219,47.4,22.9,0.0045,88.74,1.95,,,,NaN
0.8320,249,64.4,22.9,0.0055,151.79,2.18,,,,NaN
1.0065,279,91.9,22.9,0.0055,294.85,2.47,,,,NaN
1.0705,306,115.5,22.9,0.0025,382.43,2.58,,,,NaN
1.0905,443,126.9,22.8,0.0000,387.49,2.59,,,,NaN
1.1105,458,136.4,22.8,0.0015,371.53,2.57,,,,NaN
1.1310,473,146.7,22.8,0.0015,430.45,2.63,,,,NaN
1.1510,486,155.4,22.8,0.0015,383.49,2.58,,,,NaN
1.1720,496,163.0,22.8,0.0020,327.98,2.52,,,,NaN
1.1990,505,170.8,22.8,0.0030,278.24,2.44,,,,NaN
1.2335,514,178.4,22.8,0.0035,227.71,2.36,,,,NaN
1.2800,522,186.3,22.8,0.0055,175.31,2.24,,,,NaN
1.3425,530,194.0,22.8,0.0075,131.82,2.12,,,,NaN
1.4295,538,202.1,22.8,0.0110,,,,,,
1.5460,546,210.0,22.8,0.0155,,,,,,
1.7075,553,217.9,22.8,0.0235,,,,,,
1.9075,560,225.3,22.8,0.0280,,,,,,
2.1075,567,230.9,22.8,0.0290,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-0.3,22.5,NaN,,,,,,
0.0200,28,-62.0,22.5,0.0005,,,,,,
0.0400,31,-62.4,22.5,0.0075,,,,,,
0.0900,61,-49.4,22.5,0.0015,,,,,,
0.1100,86,-40.7,22.5,0.0010,,,,,,
0.1320,110,-32.7,22.5,0.0010,,,,,,
0.1840,140,-19.0,22.5,0.0015,,,,,,
0.2685,166,-4.0,22.5,0.0030,,,,,,
0.4025,197,9.3,22.5,0.0045,,,,,,
0.6025,227,27.3,22.5,0.0065,,,,,,
0.7970,257,46.1,22.5,0.0065,91.22,1.96,,,,NaN
0.9515,287,63.3,22.5,0.0050,135.99,2.13,,,,NaN
1.0775,316,80.4,22.5,0.0045,197.00,2.29,,,,NaN
1.1730,340,98.7,22.5,0.0040,269.83,2.43,,,,NaN
1.2325,361,116.0,22.5,0.0030,339.73,2.53,,,,NaN
1.2525,498,124.9,22.5,0.0000,349.47,2.54,,,,NaN
1.2725,514,133.5,22.5,0.0015,356.88,2.55,,,,NaN
1.2925,528,142.5,22.5,0.0015,399.21,2.60,,,,NaN
1.3125,540,151.1,22.5,0.0015,373.99,2.57,,,,NaN
1.3325,551,158.3,22.5,0.0020,322.77,2.51,,,,NaN
1.3590,561,166.4,22.5,0.0025,278.35,2.44,,,,NaN
1.3900,570,173.7,22.5,0.0035,235.85,2.37,,,,NaN
1.4330,579,181.6,22.5,0.0050,187.20,2.27,,,,NaN
1.4900,586,189.4,22.5,0.0075,143.22,2.16,,,,NaN
1.5670,594,197.3,22.5,0.0095,,,,,,
1.6720,602,205.3,22.5,0.0140,,,,,,
1.8160,609,213.2,22.5,0.0195,,,,,,
2.0140,616,221.2,22.5,0.0265,,,,,,
2.2140,623,227.4,22.5,0.0275,,,,,,
