Task,T1859
Scope 1/1, Sample 1/2 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,6.4,24.1,NaN,,,,,,
0.0200,25,-57.4,24.2,0.0010,,,,,,
0.0400,29,-58.2,24.2,0.0055,,,,,,
0.0900,59,-47.8,24.1,0.0015,,,,,,
0.1195,89,-37.2,24.0,0.0010,,,,,,
0.1450,118,-27.7,24.0,0.0010,,,,,,
0.1860,148,-15.6,23.9,0.0015,,,,,,
0.2550,178,-2.3,23.8,0.0025,,,,,,
0.3815,208,12.0,23.7,0.0040,,,,,,
0.5815,239,33.1,23.7,0.0065,94.35,1.97,,,,NaN
0.7435,269,52.9,23.6,0.0055,129.21,2.11,,,,NaN
0.8555,299,70.0,23.5,0.0035,182.93,2.26,,,,NaN
0.9395,329,84.7,23.5,0.0030,242.68,2.39,,,,NaN
1.0195,359,104.0,23.4,0.0025,327.68,2.52,,,,NaN
1.0435,502,114.0,23.1,0.0000,363.50,2.56,,,,NaN
1.0635,524,121.4,23.1,0.0010,381.62,2.58,,,,NaN
1.0875,545,132.1,23.1,0.0010,420.04,2.62,,,,NaN
1.1075,564,142.2,23.0,0.0010,458.12,2.66,,,,NaN
1.1275,578,151.8,23.0,0.0015,421.04,2.62,,,,NaN
1.1475,592,160.6,23.0,0.0015,364.09,2.56,,,,NaN
1.1675,604,167.7,23.0,0.0015,320.89,2.51,,,,NaN
1.1955,614,175.4,22.9,0.0030,274.91,2.44,,,,NaN
1.2330,623,183.5,22.9,0.0040,219.86,2.34,,,,NaN
1.2805,632,191.3,22.9,0.0055,169.75,2.23,,,,NaN
1.3445,640,199.0,22.9,0.0085,,,,,,
1.4350,648,207.1,22.9,0.0120,,,,,,
1.5560,655,215.1,22.9,0.0170,,,,,,
1.7210,662,223.0,22.9,0.0225,,,,,,
1.9210,670,230.2,22.8,0.0255,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,22.9,20.5,NaN,,,,,,
0.0200,28,-52.8,20.5,0.0005,,,,,,
0.0400,36,-56.3,20.5,0.0025,,,,,,
0.0900,66,-48.7,20.5,0.0015,,,,,,
0.2090,96,-24.2,20.5,0.0040,,,,,,
0.2660,127,-9.2,20.5,0.0020,,,,,,
0.3140,150,-0.7,20.5,0.0020,,,,,,
0.4340,160,3.4,20.5,0.0120,,,,,,
0.6340,190,21.4,20.5,0.0065,,,,,,
0.7920,221,39.1,20.5,0.0050,108.20,2.03,,,,NaN
0.9065,251,55.6,20.5,0.0040,139.33,2.14,,,,NaN
0.9920,281,67.8,20.5,0.0030,162.40,2.21,,,,NaN
1.1075,311,83.5,20.5,0.0040,200.03,2.30,,,,NaN
1.2300,340,109.3,20.5,0.0040,297.10,2.47,,,,NaN
1.2545,482,117.5,20.5,0.0000,332.30,2.52,,,,NaN
1.2745,501,124.8,20.5,0.0010,343.67,2.54,,,,NaN
1.2950,520,133.5,20.5,0.0010,357.53,2.55,,,,NaN
1.3150,536,142.2,20.5,0.0015,407.87,2.61,,,,NaN
1.3350,550,151.3,20.5,0.0015,376.33,2.58,,,,NaN
1.3550,563,158.9,20.5,0.0015,329.99,2.52,,,,NaN
1.3795,575,166.5,20.5,0.0020,289.20,2.46,,,,NaN
1.4110,585,174.4,20.5,0.0030,246.31,2.39,,,,NaN
1.4505,595,182.2,20.5,0.0040,198.86,2.30,,,,NaN
1.5030,604,189.8,20.5,0.0060,150.87,2.18,,,,NaN
1.5765,612,197.9,20.5,0.0090,105.07,2.02,,,,NaN
1.6735,620,205.7,20.5,0.0120,66.97,1.83,,,,NaN
1.8095,628,210.5,20.5,0.0180,,,,,,
2.0095,634,213.2,20.5,0.0310,,,,,,
2.2095,639,213.7,20.5,0.0400,,,,,,
2.4095,647,222.2,20.5,0.0255,,,,,,
2.5870,654,227.9,20.5,0.0265,,,,,,
