Task,T1860
Scope 1/1, Sample 1/4 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,14.4,20.1,NaN,,,,,,
0.0200,28,-60.9,20.1,0.0005,,,,,,
0.0400,31,-62.3,20.1,0.0070,,,,,,
0.0900,34,-62.6,20.1,0.0155,,,,,,
0.2150,64,-30.5,20.1,0.0040,,,,,,
0.2350,95,-14.0,20.1,0.0005,,,,,,
0.2550,114,-7.9,20.1,0.0010,,,,,,
0.3050,132,-1.4,20.1,0.0030,,,,,,
0.4300,162,12.4,20.1,0.0040,,,,,,
0.6000,192,29.7,20.1,0.0055,83.06,1.92,,,,NaN
0.7705,222,49.4,20.1,0.0055,133.29,2.12,,,,NaN
0.8935,253,67.7,20.1,0.0040,204.09,2.31,,,,NaN
0.9760,283,84.7,20.1,0.0030,278.48,2.44,,,,NaN
1.0325,311,101.3,20.1,0.0020,352.24,2.55,,,,NaN
1.0525,450,109.9,20.2,0.0000,378.93,2.58,,,,NaN
1.0725,470,117.4,20.2,0.0010,399.55,2.60,,,,NaN
1.0970,490,128.9,20.2,0.0010,446.13,2.65,,,,NaN
1.1170,508,139.3,20.2,0.0010,468.77,2.67,,,,NaN
1.1370,522,149.1,20.2,0.0015,424.57,2.63,,,,NaN
1.1570,535,157.6,20.2,0.0015,365.30,2.56,,,,NaN
1.1785,545,165.2,20.2,0.0020,318.98,2.50,,,,NaN
1.2060,555,172.8,20.2,0.0025,273.33,2.44,,,,NaN
1.2425,565,180.6,20.2,0.0040,218.98,2.34,,,,NaN
1.2910,573,188.3,20.2,0.0060,167.56,2.22,,,,NaN
1.3585,581,196.3,20.2,0.0085,,,,,,
1.4500,588,204.2,20.2,0.0130,,,,,,
1.5760,595,212.2,20.2,0.0175,,,,,,
1.7480,602,220.1,20.2,0.0230,,,,,,
1.9480,610,227.1,20.2,0.0260,,,,,,
Scope 1/1, Sample 2/4 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,17.4,20.1,NaN,,,,,,
0.0200,28,-59.7,20.1,0.0005,,,,,,
0.0400,32,-61.8,20.1,0.0045,,,,,,
0.0900,36,-62.1,20.1,0.0130,,,,,,
0.2150,66,-30.6,20.2,0.0040,,,,,,
0.2350,96,-14.2,20.2,0.0005,,,,,,
0.2550,120,-7.2,20.2,0.0010,,,,,,
0.3050,136,-1.3,20.2,0.0030,,,,,,
0.4300,167,12.0,20.2,0.0040,,,,,,
0.5945,197,28.8,20.2,0.0055,80.19,1.90,,,,NaN
0.7585,227,47.2,20.2,0.0055,128.16,2.11,,,,NaN
