Task,T1906
Scope 1/1, Sample 1/5 (JUNK2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,66.9,22.2,NaN,,,,,,
0.0200,28,-7.7,22.2,0.0005,,,,,,
0.0400,58,-31.3,22.2,0.0005,,,,,,
0.0830,61,-32.2,22.2,0.0145,,,,,,
0.1905,91,-12.7,22.1,0.0035,,,,,,
0.2295,119,-0.6,22.1,0.0015,,,,,,
0.2595,130,3.2,22.1,0.0030,,,,,,
0.3345,160,15.6,22.1,0.0025,,,,,,
0.4080,190,28.5,22.0,0.0025,128.15,2.11,,,,NaN
0.4945,220,41.8,22.0,0.0030,120.03,2.08,,,,NaN
0.6115,250,58.3,21.9,0.0040,249.69,2.40,,,,NaN
0.7365,281,95.9,21.9,0.0040,479.84,2.68,,,,NaN
0.7615,311,121.6,21.9,0.0010,480.54,2.68,,,,NaN
0.7815,454,136.0,21.7,0.0000,462.76,2.67,,,,NaN
0.8015,474,147.4,21.7,0.0010,495.50,2.70,,,,NaN
0.8215,489,156.5,21.7,0.0015,476.96,2.68,,,,NaN
0.8435,503,165.0,21.6,0.0015,372.34,2.57,,,,NaN
0.8680,514,172.2,21.6,0.0025,303.24,2.48,,,,NaN
0.9035,524,180.0,21.6,0.0035,234.81,2.37,,,,NaN
0.9520,534,188.1,21.6,0.0050,175.50,2.24,,,,NaN
1.0155,542,195.8,21.6,0.0080,,,,,,
1.1060,550,204.0,21.6,0.0105,,,,,,
1.2245,558,211.7,21.6,0.0140,,,,,,
1.3935,566,219.9,21.6,0.0220,,,,,,
1.5935,573,227.0,21.6,0.0280,,,,,,
Scope 1/1, Sample 2/5 (BT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,73.1,21.1,NaN,,,,,,
0.0200,28,1.8,21.1,0.0005,,,,,,
0.0400,58,-26.0,21.1,0.0005,,,,,,
0.0695,62,-27.6,21.1,0.0085,,,,,,
0.1435,92,-14.8,21.0,0.0025,,,,,,
0.1865,122,-4.4,21.0,0.0015,,,,,,
0.2335,135,-0.4,21.0,0.0035,,,,,,
0.3510,165,14.4,21.0,0.0040,,,,,,
0.4365,196,27.3,20.9,0.0030,121.39,2.08,,,,NaN
0.5240,226,40.9,20.9,0.0030,161.44,2.21,,,,NaN
0.6245,256,58.1,20.9,0.0035,301.64,2.48,,,,NaN
0.7095,286,83.2,20.8,0.0030,473.51,2.68,,,,NaN
0.7410,316,106.0,20.8,0.0010,516.07,2.71,,,,NaN
0.7610,465,123.5,20.6,0.0000,518.48,2.71,,,,NaN
0.7810,490,136.1,20.6,0.0010,562.42,2.75,,,,NaN
0.8010,509,147.4,20.6,0.0010,566.66,2.75,,,,NaN
0.8210,525,156.9,20.6,0.0015,424.23,2.63,,,,NaN
0.8410,537,164.3,20.5,0.0015,365.83,2.56,,,,NaN
0.8690,550,172.6,20.5,0.0020,294.81,2.47,,,,NaN
0.9025,562,179.9,20.5,0.0030,234.17,2.37,,,,NaN
0.9520,572,188.0,20.5,0.0050,173.46,2.24,,,,NaN
1.0180,581,195.8,20.5,0.0070,127.56,2.11,,,,NaN
1.1110,590,204.0,20.5,0.0110,,,,,,
1.2330,598,211.7,20.5,0.0165,,,,,,
1.4095,605,219.9,20.5,0.0250,,,,,,
1.6095,612,226.8,20.4,0.0270,,,,,,
1.8095,620,232.2,20.4,0.0265,,,,,,
