Task,T1905
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-18.8,23.2,NaN,,,,,,
0.0200,26,-45.6,23.2,0.0010,,,,,,
0.0400,29,-46.2,23.2,0.0075,,,,,,
0.0900,59,-31.1,23.2,0.0015,,,,,,
0.1100,88,-20.3,23.2,0.0005,,,,,,
0.1300,109,-14.3,23.2,0.0010,,,,,,
0.1800,135,-5.7,23.2,0.0020,,,,,,
0.3050,165,9.3,23.1,0.0040,72.61,1.86,,,,NaN
0.4975,196,30.3,23.1,0.0065,115.83,2.06,,,,NaN
0.6590,226,59.0,23.1,0.0055,386.20,2.59,,,,NaN
0.7140,256,84.0,23.1,0.0020,506.99,2.70,,,,NaN
0.7340,286,101.0,23.1,0.0005,529.01,2.72,,,,NaN
0.7540,433,114.3,23.0,0.0000,530.56,2.72,,,,NaN
0.7740,464,126.1,23.0,0.0005,603.85,2.78,,,,NaN
0.7940,488,138.3,23.0,0.0010,585.66,2.77,,,,NaN
0.8140,508,150.1,23.0,0.0010,476.50,2.68,,,,NaN
0.8340,523,159.1,23.0,0.0015,403.76,2.61,,,,NaN
0.8570,536,167.4,23.0,0.0020,342.91,2.54,,,,NaN
0.8845,548,175.2,23.0,0.0025,287.33,2.46,,,,NaN
0.9215,558,182.8,23.0,0.0040,224.08,2.35,,,,NaN
0.9745,567,191.0,23.0,0.0060,164.72,2.22,,,,NaN
1.0425,576,198.8,23.0,0.0075,,,,,,
1.1365,585,206.8,23.0,0.0105,,,,,,
1.2650,593,214.7,23.0,0.0165,,,,,,
1.4420,601,222.7,23.0,0.0225,,,,,,
1.6420,608,229.5,23.0,0.0295,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,52.7,21.5,NaN,,,,,,
0.0200,28,-39.8,21.5,0.0005,,,,,,
0.0400,54,-55.7,21.5,0.0010,,,,,,
0.0900,57,-55.9,21.5,0.0165,,,,,,
0.2150,87,-28.0,21.5,0.0040,,,,,,
0.2405,118,-14.1,21.5,0.0010,,,,,,
0.2605,138,-8.1,21.5,0.0010,,,,,,
0.3105,157,-2.6,21.5,0.0025,,,,,,
0.4355,173,3.3,21.6,0.0075,,,,,,
0.6355,203,17.7,21.6,0.0065,,,,,,
0.8355,234,35.3,21.6,0.0065,,,,,,
1.0015,264,56.8,21.6,0.0055,181.80,2.26,,,,NaN
1.0850,294,74.1,21.6,0.0030,231.94,2.37,,,,NaN
1.1340,324,87.4,21.7,0.0015,266.60,2.43,,,,NaN
1.1785,350,98.1,21.7,0.0015,301.96,2.48,,,,NaN
1.2540,380,122.4,21.7,0.0025,364.31,2.56,,,,NaN
1.2740,523,131.6,21.8,0.0000,367.82,2.57,,,,NaN
1.2940,543,140.3,21.8,0.0010,385.31,2.59,,,,NaN
1.3140,560,149.3,21.8,0.0010,391.95,2.59,,,,NaN
1.3340,575,157.1,21.8,0.0015,345.51,2.54,,,,NaN
1.3575,589,165.0,21.8,0.0015,298.57,2.48,,,,NaN
1.3850,600,172.3,21.8,0.0025,257.13,2.41,,,,NaN
1.4230,611,180.1,21.8,0.0035,208.96,2.32,,,,NaN
1.4730,621,188.0,21.8,0.0050,161.78,2.21,,,,NaN
1.5400,630,195.7,21.8,0.0075,122.27,2.09,,,,NaN
1.6340,638,203.8,21.8,0.0115,,,,,,
1.7600,646,211.7,21.8,0.0165,,,,,,
1.9330,653,219.7,21.8,0.0245,,,,,,
2.1330,661,226.6,21.8,0.0265,,,,,,
2.3330,668,231.9,21.8,0.0300,,,,,,
