"Task","T2089"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","88.7","21.7","NaN","","","","","",""
"0.0200","28","21.9","21.8","0.0005","","","","","",""
"0.0400","58","-14.5","21.8","0.0005","","","","","",""
"0.0600","88","-28.7","21.7","0.0005","","","","","",""
"0.1100","91","-29.4","21.7","0.0155","","","","","",""
"0.2350","122","-13.9","21.7","0.0040","","","","","",""
"0.3180","152","-1.2","21.6","0.0030","","","","","",""
"0.4030","165","3.3","21.6","0.0065","-3.15","0.50","","","","NaN"
"0.6030","195","19.1","21.6","0.0065","144.95","2.16","","","","NaN"
"0.8030","225","51.3","21.5","0.0065","552.72","2.74","","","","NaN"
"0.8525","256","96.4","21.5","0.0015","592.70","2.77","","","","NaN"
"0.8725","286","132.8","21.4","0.0005","524.02","2.72","","","","NaN"
"0.8925","430","151.7","21.3","0.0000","508.84","2.71","","","","NaN"
"0.9125","450","161.2","21.2","0.0010","632.40","2.80","","","","NaN"
"0.9460","467","172.8","21.2","0.0020","423.49","2.63","","","","NaN"
"0.9775","481","180.8","21.2","0.0020","335.48","2.53","","","","NaN"
"1.0205","493","188.9","21.2","0.0035","218.28","2.34","","","","NaN"
"1.0785","502","196.9","21.2","0.0065","152.35","2.18","","","","NaN"
"1.1560","511","204.9","21.2","0.0085","110.78","2.04","","","","NaN"
"1.2615","520","212.9","21.2","0.0120","78.50","1.89","","","","NaN"
"1.4035","529","220.7","21.1","0.0165","54.97","1.74","","","","NaN"
"1.6035","536","228.7","21.1","0.0280","36.79","1.57","","","","NaN"
"1.8035","544","234.8","21.1","0.0255","27.21","1.43","","","","NaN"
"2.0035","551","239.6","21.1","0.0280","21.72","1.34","","","","NaN"
"2.2035","558","243.7","21.1","0.0300","18.34","1.26","","","","NaN"
"2.4035","564","247.2","21.1","0.0335","15.93","1.20","","","","NaN"
"2.6035","570","250.2","21.1","0.0310","14.10","1.15","","","","NaN"
"2.8035","577","252.9","21.1","0.0305","","","","","",""
"3.0035","583","255.4","21.0","0.0310","","","","","",""
"3.2035","590","257.5","21.0","0.0305","","","","","",""
"3.4035","595","259.5","21.0","0.0370","","","","","",""
"3.5600","602","261.0","21.0","0.0225","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","95.9","21.1","NaN","","","","","",""
"0.0200","28","32.4","21.1","0.0005","","","","","",""
"0.0400","58","-4.5","21.1","0.0005","","","","","",""
"0.0600","88","-21.4","21.1","0.0005","","","","","",""
"0.1015","91","-22.4","21.1","0.0125","","","","","",""
"0.2055","122","-11.2","21.0","0.0035","","","","","",""
"0.3155","149","-0.6","21.0","0.0040","-2.65","0.42","","","","NaN"
"0.5015","180","12.3","21.0","0.0060","60.46","1.78","","","","NaN"
"0.7015","210","30.8","21.0","0.0065","308.35","2.49","","","","NaN"
"0.8510","240","79.7","20.9","0.0050","542.84","2.73","","","","NaN"
"0.8710","270","123.6","20.9","0.0005","471.99","2.67","","","","NaN"
"0.8910","416","149.5","20.8","0.0000","445.14","2.65","","","","NaN"
"0.9110","436","159.3","20.8","0.0010","547.20","2.74","","","","NaN"
"0.9540","453","174.0","20.7","0.0025","387.76","2.59","","","","NaN"
"0.9880","466","182.1","20.7","0.0025","346.49","2.54","","","","NaN"
"1.0355","477","190.4","20.7","0.0045","215.72","2.33","","","","NaN"
"1.0980","488","198.6","20.7","0.0060","144.47","2.16","","","","NaN"
"1.1800","497","206.3","20.7","0.0095","104.13","2.02","","","","NaN"
"1.2990","505","214.5","20.7","0.0150","71.16","1.85","","","","NaN"
"1.4555","513","222.4","20.7","0.0190","49.11","1.69","","","","NaN"
"1.6555","521","229.8","20.7","0.0250","33.72","1.53","","","","NaN"
"1.8555","528","235.5","20.7","0.0290","25.52","1.41","","","","NaN"
"2.0555","535","240.1","20.7","0.0290","20.64","1.31","","","","NaN"
"2.2555","542","244.0","20.7","0.0300","17.58","1.24","","","","NaN"
"2.4555","548","247.3","20.6","0.0345","15.40","1.19","","","","NaN"
"2.6555","554","250.3","20.6","0.0310","13.69","1.14","","","","NaN"
"2.8555","561","252.9","20.6","0.0285","","","","","",""
"3.0555","567","255.3","20.6","0.0340","","","","","",""
"3.2555","573","257.4","20.6","0.0340","","","","","",""
"3.4555","579","259.4","20.6","0.0325","","","","","",""
"3.5600","584","260.3","20.6","0.0205","","","","","",""
"Scope 1/1, Sample 3/5 (BT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","95.5","20.5","NaN","","","","","",""
"0.0200","28","31.8","20.5","0.0005","","","","","",""
"0.0400","58","-5.8","20.5","0.0005","","","","","",""
"0.0600","88","-21.5","20.5","0.0005","","","","","",""
"0.1085","91","-22.5","20.5","0.0150","","","","","",""
"0.2295","122","-9.6","20.4","0.0040","","","","","",""
"0.3420","142","-0.1","20.4","0.0055","1.09","0.04","","","","NaN"
"0.5420","172","16.1","20.4","0.0065","102.47","2.01","","","","NaN"
"0.7420","203","39.3","20.4","0.0065","422.46","2.63","","","","NaN"
"0.8370","233","84.8","20.4","0.0030","569.80","2.76","","","","NaN"
"0.8570","263","124.0","20.4","0.0005","499.64","2.70","","","","NaN"
"0.8770","410","148.5","20.3","0.0000","477.26","2.68","","","","NaN"
"0.8970","431","158.5","20.3","0.0010","610.95","2.79","","","","NaN"
"0.9360","448","172.4","20.2","0.0025","400.33","2.60","","","","NaN"
"0.9680","461","180.5","20.2","0.0025","350.17","2.54","","","","NaN"
"1.0125","472","188.7","20.2","0.0040","225.85","2.35","","","","NaN"
"1.0710","483","196.9","20.2","0.0055","153.20","2.19","","","","NaN"
"1.1475","492","204.6","20.2","0.0080","111.25","2.05","","","","NaN"
"1.2585","501","212.8","20.2","0.0120","76.84","1.89","","","","NaN"
"1.4045","510","220.6","20.2","0.0170","53.39","1.73","","","","NaN"
"1.6045","518","228.5","20.2","0.0260","35.90","1.56","","","","NaN"
"1.8045","525","234.5","20.2","0.0285","26.72","1.43","","","","NaN"
"2.0045","532","239.2","20.2","0.0300","21.45","1.33","","","","NaN"
"2.2045","538","243.2","20.2","0.0325","18.06","1.26","","","","NaN"
"2.4045","545","246.7","20.2","0.0300","15.73","1.20","","","","NaN"
"2.6045","551","249.7","20.2","0.0355","13.98","1.15","","","","NaN"
"2.8045","557","252.4","20.2","0.0340","","","","","",""
"3.0045","563","254.7","20.2","0.0340","","","","","",""
"3.2045","568","257.0","20.2","0.0370","","","","","",""
"3.4045","574","258.9","20.2","0.0340","","","","","",""
"3.5600","580","260.4","20.2","0.0270","","","","","",""
"Scope 1/1, Sample 4/5 (HT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","96.0","20.1","NaN","","","","","",""
"0.0200","28","32.9","20.2","0.0005","","","","","",""
"0.0400","58","-3.8","20.2","0.0005","","","","","",""
"0.0600","88","-20.7","20.2","0.0005","","","","","",""
"0.1010","91","-21.7","20.2","0.0130","","","","","",""
"0.2035","121","-10.6","20.1","0.0035","","","","","",""
"0.3130","147","-0.4","20.1","0.0040","-7.62","0.88","","","","NaN"
"0.5115","177","13.2","20.1","0.0065","68.63","1.84","","","","NaN"
"0.7115","207","32.6","20.1","0.0065","332.34","2.52","","","","NaN"
"0.8480","238","81.0","20.1","0.0045","554.66","2.74","","","","NaN"
"0.8680","268","123.7","20.1","0.0005","481.69","2.68","","","","NaN"
"0.8880","410","148.8","20.0","0.0000","449.65","2.65","","","","NaN"
"0.9080","429","158.7","20.0","0.0010","562.32","2.75","","","","NaN"
"0.9490","447","173.0","20.0","0.0025","392.78","2.59","","","","NaN"
"0.9810","460","180.9","20.0","0.0025","352.87","2.55","","","","NaN"
"1.0280","471","189.2","20.0","0.0045","219.91","2.34","","","","NaN"
"1.0895","481","197.5","20.0","0.0060","147.67","2.17","","","","NaN"
"1.1690","490","205.2","20.0","0.0090","106.84","2.03","","","","NaN"
"1.2820","498","213.3","20.0","0.0140","73.97","1.87","","","","NaN"
"1.4340","507","221.2","20.0","0.0175","51.19","1.71","","","","NaN"
"1.6340","515","228.8","20.0","0.0260","34.86","1.54","","","","NaN"
"1.8340","522","234.6","20.0","0.0275","26.15","1.42","","","","NaN"
"2.0340","530","239.4","20.0","0.0255","21.03","1.32","","","","NaN"
"2.2340","536","243.3","20.0","0.0310","17.83","1.25","","","","NaN"
"2.4340","543","246.7","20.0","0.0280","15.57","1.19","","","","NaN"
"2.6340","549","249.6","20.0","0.0310","13.72","1.14","","","","NaN"
"2.8340","556","252.3","20.0","0.0290","","","","","",""
"3.0340","562","254.7","19.9","0.0335","","","","","",""
"3.2340","568","256.8","19.9","0.0345","","","","","",""
"3.4340","573","258.7","19.9","0.0385","","","","","",""
"3.5600","579","260.0","19.9","0.0215","","","","","",""
"Scope 1/1, Sample 5/5 (HT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","95.5","19.8","NaN","","","","","",""
"0.0200","28","32.7","19.9","0.0005","","","","","",""
"0.0400","58","-3.6","19.9","0.0005","","","","","",""
"0.0600","88","-20.4","19.9","0.0005","","","","","",""
"0.1010","91","-21.2","19.9","0.0130","","","","","",""
"0.2035","121","-10.4","19.9","0.0035","","","","","",""
"0.3185","146","-0.5","19.8","0.0045","-7.57","0.88","","","","NaN"
"0.5185","176","13.3","19.8","0.0065","70.87","1.85","","","","NaN"
"0.7185","206","32.9","19.8","0.0065","339.42","2.53","","","","NaN"
"0.8520","237","80.9","19.8","0.0045","555.92","2.75","","","","NaN"
"0.8720","267","123.4","19.8","0.0005","485.56","2.69","","","","NaN"
"0.8920","409","148.4","19.8","0.0000","451.63","2.65","","","","NaN"
"0.9120","431","158.6","19.8","0.0010","566.03","2.75","","","","NaN"
"0.9510","447","172.0","19.8","0.0025","398.11","2.60","","","","NaN"
"0.9850","460","180.5","19.7","0.0025","350.94","2.55","","","","NaN"
"1.0295","471","188.5","19.7","0.0040","222.42","2.35","","","","NaN"
"1.0900","482","196.7","19.7","0.0060","149.43","2.17","","","","NaN"
"1.1700","491","204.6","19.7","0.0085","107.68","2.03","","","","NaN"
"1.2790","501","212.5","19.7","0.0115","75.46","1.88","","","","NaN"
"1.4320","509","220.5","19.7","0.0190","51.77","1.71","","","","NaN"
"1.6320","517","228.2","19.7","0.0240","35.06","1.54","","","","NaN"
"1.8320","525","234.1","19.7","0.0260","26.30","1.42","","","","NaN"
"2.0320","532","238.8","19.7","0.0285","21.19","1.33","","","","NaN"
"2.2320","539","242.7","19.7","0.0305","17.91","1.25","","","","NaN"
"2.4320","545","246.2","19.7","0.0310","15.61","1.19","","","","NaN"
"2.6320","552","249.2","19.7","0.0285","13.89","1.14","","","","NaN"
"2.8320","559","251.8","19.7","0.0305","","","","","",""
"3.0320","565","254.2","19.7","0.0330","","","","","",""
"3.2320","572","256.4","19.7","0.0310","","","","","",""
"3.4320","578","258.4","19.7","0.0350","","","","","",""
"3.5600","583","259.5","19.7","0.0265","","","","","",""
