"Task","T2088"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","58.3","19.6","NaN","","","","","",""
"0.0200","26","-26.3","19.6","0.0010","","","","","",""
"0.0400","56","-53.1","19.6","0.0005","","","","","",""
"0.0780","59","-53.9","19.6","0.0130","","","","","",""
"0.1730","89","-38.4","19.6","0.0030","","","","","",""
"0.2215","119","-22.8","19.5","0.0015","","","","","",""
"0.2465","147","-14.1","19.5","0.0010","","","","","",""
"0.2890","166","-8.7","19.5","0.0025","","","","","",""
"0.3950","188","-1.2","19.5","0.0045","","","","","",""
"0.5950","219","10.0","19.5","0.0065","12.59","1.10","","","","NaN"
"0.7950","249","26.0","19.5","0.0065","51.48","1.71","","","","NaN"
"0.9950","279","43.1","19.5","0.0065","228.36","2.36","","","","NaN"
"1.1685","309","79.9","19.5","0.0055","477.21","2.68","","","","NaN"
"1.1990","340","114.7","19.5","0.0010","482.23","2.68","","","","NaN"
"1.2190","488","139.6","19.4","0.0000","435.48","2.64","","","","NaN"
"1.2390","513","150.0","19.4","0.0010","469.43","2.67","","","","NaN"
"1.2760","537","166.4","19.4","0.0015","494.74","2.69","","","","NaN"
"1.2970","553","173.2","19.4","0.0015","369.84","2.57","","","","NaN"
"1.3315","568","181.8","19.4","0.0025","279.87","2.45","","","","NaN"
"1.3725","581","189.7","19.4","0.0035","206.11","2.31","","","","NaN"
"1.4275","591","197.4","19.4","0.0055","","","","","",""
"1.5055","600","205.6","19.4","0.0080","","","","","",""
"1.6060","610","213.3","19.4","0.0100","","","","","",""
"1.7480","619","221.3","19.4","0.0160","","","","","",""
"1.9450","627","229.3","19.4","0.0255","","","","","",""
"Scope 1/1, Sample 2/2 (CRM)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","87.7","19.4","NaN","","","","","",""
"0.0200","28","12.7","19.4","0.0005","","","","","",""
"0.0400","58","-26.6","19.4","0.0005","","","","","",""
"0.0600","88","-40.6","19.4","0.0005","","","","","",""
"0.1100","91","-41.2","19.4","0.0155","","","","","",""
"0.2350","121","-23.2","19.4","0.0040","","","","","",""
"0.2970","152","-11.1","19.4","0.0020","","","","","",""
"0.3565","182","-1.7","19.3","0.0020","","","","","",""
"0.4840","190","0.1","19.3","0.0155","","","","","",""
"0.6840","220","12.3","19.3","0.0065","27.69","1.44","","","","NaN"
"0.8840","251","27.2","19.3","0.0065","80.98","1.91","","","","NaN"
"1.0840","281","47.2","19.3","0.0065","271.42","2.43","","","","NaN"
"1.2120","311","79.1","19.3","0.0045","451.14","2.65","","","","NaN"
"1.2380","341","105.4","19.3","0.0010","473.97","2.68","","","","NaN"
"1.2580","485","128.0","19.3","0.0000","455.27","2.66","","","","NaN"
"1.2780","515","137.3","19.3","0.0005","499.82","2.70","","","","NaN"
"1.3200","543","156.6","19.3","0.0015","512.60","2.71","","","","NaN"
"1.3400","562","164.3","19.3","0.0010","351.40","2.55","","","","NaN"
"1.3645","578","172.1","19.3","0.0015","303.31","2.48","","","","NaN"
"1.3955","591","179.7","19.3","0.0025","246.61","2.39","","","","NaN"
"1.4370","604","187.5","19.3","0.0035","199.98","2.30","","","","NaN"
"1.4930","615","195.5","19.2","0.0050","","","","","",""
"1.5665","626","203.3","19.2","0.0070","","","","","",""
"1.6700","635","211.3","19.2","0.0115","","","","","",""
"1.8110","644","219.2","19.2","0.0165","","","","","",""
"2.0050","652","227.1","19.2","0.0235","","","","","",""
