"Task","T2123"
"Scope 1/1, Sample 1/9 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","97.6","18.9","NaN","","","","","",""
"0.0200","28","39.2","18.9","0.0005","","","","","",""
"0.0400","58","2.9","18.9","0.0005","","","","","",""
"0.0600","88","-14.9","18.9","0.0005","","","","","",""
"0.0970","92","-16.5","18.9","0.0085","","","","","",""
"0.1895","96","-16.8","18.9","0.0250","","","","","",""
"0.3895","126","-1.5","18.9","0.0065","-5.03","0.70","","","","NaN"
"0.5895","156","11.8","18.9","0.0065","161.38","2.21","","","","NaN"
"0.7895","186","40.4","18.9","0.0065","512.80","2.71","","","","NaN"
"0.8520","216","97.4","18.9","0.0020","511.16","2.71","","","","NaN"
"0.8720","247","144.2","18.9","0.0005","435.74","2.64","","","","NaN"
"0.8920","388","161.3","18.9","0.0000","524.97","2.72","","","","NaN"
"0.9175","407","170.5","19.0","0.0015","478.84","2.68","","","","NaN"
"0.9695","423","183.3","18.9","0.0035","381.94","2.58","","","","NaN"
"1.0180","435","191.3","19.0","0.0040","253.32","2.40","","","","NaN"
"1.0890","446","200.1","18.9","0.0065","","","","","",""
"1.1770","455","207.9","18.9","0.0095","","","","","",""
"1.3030","464","216.0","19.0","0.0135","","","","","",""
"1.4730","472","224.0","19.0","0.0200","","","","","",""
"1.6730","480","230.9","19.0","0.0235","","","","","",""
"Scope 1/1, Sample 2/9 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.7","19.0","NaN","","","","","",""
"0.0200","27","49.2","19.0","0.0005","","","","","",""
"0.0400","152","-44.1","19.0","0.0000","","","","","",""
"0.0600","172","-41.9","19.0","0.0010","","","","","",""
"0.0860","203","-35.0","19.0","0.0010","","","","","",""
"0.1060","233","-27.7","19.0","0.0005","-367.00","2.56","","","","NaN"
"0.1260","263","-21.2","19.0","0.0005","-65.05","1.81","","","","NaN"
"0.1545","293","-15.3","19.0","0.0010","180.21","2.26","","","","NaN"
"0.2140","324","-8.8","19.0","0.0020","117.45","2.07","","","","NaN"
"0.3500","354","-0.2","19.0","0.0045","-24.77","1.39","","","","NaN"
"0.5500","384","10.3","19.0","0.0065","37.94","1.58","","","","NaN"
"0.7355","414","29.8","19.0","0.0060","582.75","2.77","","","","NaN"
"0.7730","444","50.5","19.0","0.0010","742.70","2.87","","","","NaN"
"0.7930","474","73.4","19.0","0.0005","770.31","2.89","","","","NaN"
"0.8130","505","99.6","19.0","0.0005","702.27","2.85","","","","NaN"
"0.8330","535","126.9","19.0","0.0005","967.81","2.99","","","","NaN"
"0.8530","565","147.5","19.0","0.0005","793.88","2.90","","","","NaN"
"0.8730","590","159.9","19.0","0.0010","609.26","2.78","","","","NaN"
"0.8945","607","167.7","19.0","0.0015","507.88","2.71","","","","NaN"
"0.9320","623","178.3","19.0","0.0025","349.32","2.54","","","","NaN"
"0.9680","636","185.7","19.0","0.0030","246.33","2.39","","","","NaN"
"1.0215","647","193.8","19.0","0.0050","168.07","2.23","","","","NaN"
"1.0940","657","201.9","19.0","0.0075","","","","","",""
"1.1915","666","209.8","19.0","0.0115","","","","","",""
"1.3250","674","217.7","19.0","0.0170","","","","","",""
"1.5110","682","225.7","19.0","0.0240","","","","","",""
"1.7110","689","232.2","19.0","0.0280","","","","","",""
"Scope 1/1, Sample 3/9 (HT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.4","19.0","NaN","","","","","",""
"0.0200","28","49.7","19.1","0.0005","","","","","",""
"0.0400","152","-44.4","19.1","0.0000","","","","","",""
"0.0600","155","-44.5","19.0","0.0070","","","","","",""
"0.1100","185","-33.5","19.1","0.0015","","","","","",""
"0.1300","215","-24.1","19.1","0.0005","-244.57","2.39","","","","NaN"
"0.1500","246","-17.5","19.0","0.0005","-30.68","1.49","","","","NaN"
"0.1835","276","-11.7","19.0","0.0010","150.72","2.18","","","","NaN"
"0.2675","306","-4.4","19.0","0.0030","67.01","1.83","","","","NaN"
"0.4465","336","4.3","19.1","0.0060","-29.16","1.46","","","","NaN"
"0.6465","366","17.3","19.1","0.0065","244.46","2.39","","","","NaN"
"0.7385","396","34.1","19.1","0.0030","575.95","2.76","","","","NaN"
"0.7585","427","49.9","19.1","0.0005","673.14","2.83","","","","NaN"
"0.7785","457","67.0","19.1","0.0005","732.20","2.86","","","","NaN"
"0.7985","487","86.3","19.1","0.0005","760.47","2.88","","","","NaN"
"0.8185","517","108.4","19.1","0.0005","1008.72","3.00","","","","NaN"
"0.8385","547","131.3","19.1","0.0005","868.72","2.94","","","","NaN"
"0.8585","578","149.5","19.1","0.0005","675.86","2.83","","","","NaN"
"0.8785","602","160.5","19.1","0.0010","546.53","2.74","","","","NaN"
"0.9030","620","169.4","19.1","0.0015","445.84","2.65","","","","NaN"
"0.9360","635","178.4","19.1","0.0020","330.27","2.52","","","","NaN"
"0.9750","647","186.0","19.1","0.0030","233.30","2.37","","","","NaN"
"1.0320","659","194.5","19.1","0.0050","160.44","2.21","","","","NaN"
"1.1025","669","202.1","19.1","0.0070","","","","","",""
"1.2035","678","210.1","19.1","0.0110","","","","","",""
"1.3425","686","218.2","19.1","0.0170","","","","","",""
"1.5315","694","226.1","19.1","0.0235","","","","","",""
"1.7315","702","232.4","19.1","0.0265","","","","","",""
"Scope 1/1, Sample 4/9 (HT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.0","19.0","NaN","","","","","",""
"0.0200","28","50.2","19.1","0.0005","","","","","",""
"0.0400","152","-43.9","19.1","0.0000","","","","","",""
"0.0600","156","-44.0","19.1","0.0055","","","","","",""
"0.1100","186","-33.5","19.1","0.0015","","","","","",""
"0.1300","216","-24.4","19.0","0.0005","-251.84","2.40","","","","NaN"
"0.1500","246","-17.8","19.1","0.0005","-36.43","1.56","","","","NaN"
"0.1840","277","-12.1","19.0","0.0010","145.96","2.16","","","","NaN"
"0.2690","307","-4.9","19.0","0.0030","63.32","1.80","","","","NaN"
"0.4570","337","3.9","19.0","0.0065","-28.12","1.45","","","","NaN"
