"Task","T2104"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","-25.4","19.8","NaN","","","","","",""
"0.0200","25","-86.6","19.7","0.0010","","","","","",""
"0.0400","29","-87.9","19.7","0.0050","","","","","",""
"0.0900","32","-88.2","19.7","0.0150","","","","","",""
"0.2150","62","-67.9","19.7","0.0040","","","","","",""
"0.2635","93","-52.0","19.7","0.0015","","","","","",""
"0.2875","123","-38.7","19.7","0.0010","","","","","",""
"0.3075","153","-28.6","19.7","0.0005","","","","","",""
"0.3420","178","-21.1","19.7","0.0015","","","","","",""
"0.4280","208","-11.6","19.7","0.0030","15.85","1.20","","","","NaN"
"0.6280","236","-0.1","19.7","0.0070","-11.56","1.06","","","","NaN"
"0.8280","267","26.5","19.6","0.0065","520.93","2.72","","","","NaN"
"0.9005","297","88.5","19.6","0.0025","582.41","2.77","","","","NaN"
"0.9205","327","138.3","19.6","0.0005","517.03","2.71","","","","NaN"
"0.9405","468","160.2","19.6","0.0000","552.06","2.74","","","","NaN"
"0.9605","485","167.6","19.6","0.0010","558.90","2.75","","","","NaN"
"1.0105","502","180.9","19.6","0.0030","400.98","2.60","","","","NaN"
"1.0520","514","188.4","19.6","0.0035","293.21","2.47","","","","NaN"
"1.1160","525","197.1","19.6","0.0055","160.71","2.21","","","","NaN"
"1.1955","535","204.8","19.6","0.0080","107.71","2.03","","","","NaN"
"1.3110","544","213.1","19.6","0.0120","74.89","1.87","","","","NaN"
"1.4615","553","220.9","19.6","0.0165","51.15","1.71","","","","NaN"
"1.6615","561","228.5","19.5","0.0240","34.78","1.54","","","","NaN"
"1.8615","568","234.3","19.5","0.0270","26.12","1.42","","","","NaN"
"2.0615","576","239.0","19.5","0.0265","21.02","1.32","","","","NaN"
"2.2615","582","243.0","19.5","0.0310","17.87","1.25","","","","NaN"
"2.4615","589","246.4","19.5","0.0275","15.59","1.19","","","","NaN"
"2.6615","596","249.3","19.5","0.0295","13.79","1.14","","","","NaN"
"2.8615","602","252.0","19.5","0.0335","","","","","",""
"3.0615","609","254.4","19.5","0.0295","","","","","",""
"3.2615","615","256.5","19.5","0.0335","","","","","",""
"3.4615","621","258.5","19.5","0.0330","","","","","",""
"3.5600","626","259.4","19.5","0.0185","","","","","",""
"Scope 1/1, Sample 2/2 (CRM1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","101.1","19.6","NaN","","","","","",""
"0.0200","28","37.1","19.6","0.0005","","","","","",""
"0.0400","152","-55.5","19.6","0.0000","","","","","",""
"0.0600","182","-51.4","19.6","0.0005","","","","","",""
"0.0800","212","-46.1","19.6","0.0005","","","","","",""
"0.1030","242","-39.9","19.6","0.0010","-242.49","2.38","","","","NaN"
"0.1325","272","-32.6","19.6","0.0010","-15.47","1.19","","","","NaN"
"0.1680","303","-24.9","19.6","0.0010","180.05","2.26","","","","NaN"
"0.2100","333","-18.0","19.6","0.0015","149.18","2.17","","","","NaN"
"0.2730","363","-11.3","19.5","0.0020","106.95","2.03","","","","NaN"
"0.3910","393","-3.6","19.5","0.0040","47.92","1.68","","","","NaN"
"0.5910","419","3.1","19.5","0.0075","15.61","1.19","","","","NaN"
"0.7910","449","12.8","19.5","0.0065","81.15","1.91","","","","NaN"
"0.9290","479","24.0","19.5","0.0045","191.57","2.28","","","","NaN"
"0.9870","510","34.9","19.5","0.0020","234.47","2.37","","","","NaN"
"1.0070","540","44.4","19.5","0.0005","216.24","2.33","","","","NaN"
"1.0270","570","52.8","19.5","0.0005","239.00","2.38","","","","NaN"
"1.0485","600","60.5","19.5","0.0005","287.94","2.46","","","","NaN"
"1.0755","630","67.7","19.5","0.0010","230.33","2.36","","","","NaN"
"1.1155","661","75.3","19.5","0.0015","176.45","2.25","","","","NaN"
"1.1740","691","85.9","19.5","0.0020","254.01","2.40","","","","NaN"
"1.2205","721","99.9","19.5","0.0015","384.58","2.58","","","","NaN"
"1.2405","751","112.3","19.4","0.0005","447.20","2.65","","","","NaN"
"1.2605","781","123.9","19.4","0.0005","503.31","2.70","","","","NaN"
"1.2805","812","135.7","19.4","0.0005","540.18","2.73","","","","NaN"
"1.3005","840","146.3","19.4","0.0005","501.29","2.70","","","","NaN"
"1.3205","863","155.4","19.4","0.0010","408.31","2.61","","","","NaN"
"1.3405","883","163.1","19.4","0.0010","352.46","2.55","","","","NaN"
"1.3650","900","170.9","19.4","0.0015","301.40","2.48","","","","NaN"
"1.3960","915","178.3","19.4","0.0020","246.84","2.39","","","","NaN"
"1.4395","927","186.3","19.4","0.0035","191.12","2.28","","","","NaN"
"1.4970","939","194.3","19.4","0.0050","144.18","2.16","","","","NaN"
"1.5715","949","201.8","19.4","0.0075","","","","","",""
"1.6815","959","210.1","19.4","0.0110","","","","","",""
"1.8235","968","217.9","19.4","0.0160","","","","","",""
"2.0235","975","225.8","19.4","0.0270","","","","","",""
"2.2235","983","231.9","19.4","0.0245","","","","","",""
