"Task","T2103"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","168.2","19.9"
"2","168.2","19.9"
"3","168.2","19.9"
"4","168.3","19.9"
"5","168.3","19.9"
"6","168.3","19.9"
"7","168.3","19.9"
"8","168.3","19.9"
"9","168.3","19.9"
"10","168.3","19.9"
"11","168.3","19.9"
"12","168.3","19.9"
"13","168.3","19.9"
"14","168.3","19.9"
"15","168.4","19.9"
"16","168.3","19.9"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-5.0","20.0"
"2","-4.9","20.0"
"3","-4.9","20.0"
"4","-5.0","20.0"
"5","-4.9","20.0"
"6","-5.0","20.0"
"7","-5.0","20.0"
"8","-4.9","20.0"
"9","-4.9","20.0"
"10","-4.9","20.0"
"11","-4.9","20.0"
"12","-4.9","20.0"
"13","-5.0","20.0"
"14","-5.0","20.0"
"15","-4.9","20.0"
"16","-5.0","20.0"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-180.3","20.0"
"2","-180.4","20.0"
"3","-180.4","20.0"
"4","-180.4","20.0"
"5","-180.4","20.0"
"6","-180.3","20.0"
"7","-180.3","20.0"
"8","-180.3","20.0"
"9","-180.3","20.0"
"10","-180.4","20.0"
"11","-180.3","20.0"
"12","-180.3","20.0"
"13","-180.3","20.0"
"14","-180.4","20.0"
"15","-180.3","20.0"
