"Task","T2129"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","94.3","19.5","NaN","","","","","",""
"0.0200","28","14.9","19.6","0.0005","","","","","",""
"0.0400","58","-34.9","19.5","0.0005","","","","","",""
"0.0600","88","-53.7","19.5","0.0005","","","","","",""
"0.1050","91","-54.7","19.5","0.0135","","","","","",""
"0.2175","122","-38.5","19.5","0.0035","","","","","",""
"0.2790","152","-23.7","19.5","0.0020","","","","","",""
"0.3190","182","-13.8","19.5","0.0015","26.30","1.42","","","","NaN"
"0.3810","212","-4.9","19.5","0.0020","18.30","1.26","","","","NaN"
"0.5360","235","3.0","19.5","0.0065","108.72","2.04","","","","NaN"
"0.7360","265","20.4","19.5","0.0065","359.45","2.56","","","","NaN"
"0.9050","296","129.8","19.5","0.0055","439.34","2.64","","","","NaN"
"0.9250","435","172.9","19.5","0.0000","450.43","2.65","","","","NaN"
"0.9450","451","178.0","19.5","0.0015","447.72","2.65","","","","NaN"
"0.9950","466","187.9","19.5","0.0035","311.67","2.49","","","","NaN"
"1.0475","478","195.3","19.5","0.0045","244.07","2.39","","","","NaN"
"1.1260","489","203.5","19.5","0.0075","143.58","2.16","","","","NaN"
"1.2295","499","211.5","19.5","0.0110","79.84","1.90","","","","NaN"
"1.3715","507","219.4","19.5","0.0170","55.91","1.75","","","","NaN"
"1.5670","516","227.3","19.5","0.0225","37.52","1.57","","","","NaN"
"1.7670","523","233.5","19.5","0.0275","27.59","1.44","","","","NaN"
"1.9670","530","238.4","19.5","0.0265","22.03","1.34","","","","NaN"
"2.1670","538","242.5","19.5","0.0260","18.51","1.27","","","","NaN"
"2.3670","544","246.0","19.5","0.0310","16.12","1.21","","","","NaN"
"2.5670","551","249.1","19.5","0.0285","14.19","1.15","","","","NaN"
"2.7670","557","251.8","19.5","0.0325","","","","","",""
"2.9670","564","254.2","19.5","0.0305","","","","","",""
"3.1670","570","256.4","19.5","0.0355","","","","","",""
"3.3670","576","258.1","19.5","0.0350","","","","","",""
"3.5600","581","259.9","19.5","0.0355","","","","","",""
"Scope 1/1, Sample 2/5 (HT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","100.5","21.4","NaN","","","","","",""
"0.0200","28","24.3","21.5","0.0005","","","","","",""
"0.0400","152","-63.3","21.3","0.0000","","","","","",""
"0.0600","178","-59.5","21.3","0.0010","","","","","",""
"0.0800","207","-55.0","21.2","0.0005","","","","","",""
"0.1100","238","-48.8","21.2","0.0010","184.60","2.27","","","","NaN"
"0.1525","268","-39.9","21.1","0.0015","326.71","2.51","","","","NaN"
"0.1900","298","-30.4","21.1","0.0010","207.16","2.32","","","","NaN"
"0.2155","328","-22.6","21.1","0.0010","177.20","2.25","","","","NaN"
"0.2380","358","-16.8","21.0","0.0005","166.19","2.22","","","","NaN"
"0.2735","389","-11.4","21.0","0.0010","145.08","2.16","","","","NaN"
"0.3625","419","-4.8","20.9","0.0030","83.08","1.92","","","","NaN"
"0.5625","449","3.3","20.9","0.0065","10.12","1.00","","","","NaN"
"0.7625","479","12.7","20.8","0.0065","65.15","1.81","","","","NaN"
"0.9055","510","23.8","20.8","0.0045","186.59","2.27","","","","NaN"
"0.9690","540","34.7","20.8","0.0020","250.92","2.40","","","","NaN"
"0.9900","570","44.3","20.7","0.0005","244.71","2.39","","","","NaN"
"1.0100","600","52.8","20.7","0.0005","253.03","2.40","","","","NaN"
"1.0300","630","60.5","20.7","0.0005","316.15","2.50","","","","NaN"
"1.0530","661","67.7","20.6","0.0005","282.64","2.45","","","","NaN"
"1.0845","691","75.3","20.6","0.0010","220.94","2.34","","","","NaN"
