"Task","T2131"
"Scope 1/1, Sample 1/3 (JUNK3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","20.5","19.4","NaN","","","","","",""
"0.0200","29","-32.1","19.4","0.0005","","","","","",""
"0.0400","59","-59.3","19.4","0.0005","","","","","",""
"0.0630","63","-60.7","19.4","0.0055","","","","","",""
"0.1205","66","-61.1","19.4","0.0170","","","","","",""
"0.2645","97","-37.7","19.4","0.0045","","","","","",""
"0.3130","127","-23.0","19.4","0.0015","","","","","",""
"0.3410","157","-13.0","19.4","0.0010","52.84","1.72","","","","NaN"
"0.3795","187","-4.6","19.4","0.0015","34.72","1.54","","","","NaN"
"0.4755","200","-0.8","19.4","0.0075","83.85","1.92","","","","NaN"
"0.6755","230","12.1","19.4","0.0065","314.37","2.50","","","","NaN"
"0.8755","260","101.6","19.4","0.0065","464.00","2.67","","","","NaN"
"0.8955","399","164.8","19.4","0.0000","473.97","2.68","","","","NaN"
"0.9155","416","171.5","19.3","0.0010","471.66","2.67","","","","NaN"
"0.9655","434","183.5","19.3","0.0025","360.07","2.56","","","","NaN"
"1.0130","447","191.2","19.3","0.0035","247.32","2.39","","","","NaN"
"1.0850","458","199.9","19.3","0.0065","184.08","2.26","","","","NaN"
"1.1745","468","207.7","19.3","0.0090","94.50","1.98","","","","NaN"
"1.3015","477","215.8","19.3","0.0145","65.59","1.82","","","","NaN"
"1.4735","485","223.8","19.3","0.0210","44.17","1.65","","","","NaN"
"1.6735","493","230.6","19.3","0.0260","31.15","1.49","","","","NaN"
"1.8735","500","236.0","19.3","0.0280","24.07","1.38","","","","NaN"
"2.0735","507","240.4","19.3","0.0300","19.77","1.30","","","","NaN"
"2.2735","513","244.2","19.3","0.0340","16.96","1.23","","","","NaN"
"2.4735","520","247.4","19.3","0.0290","14.96","1.17","","","","NaN"
"2.6735","526","250.2","19.3","0.0325","13.26","1.12","","","","NaN"
"2.8735","532","252.8","19.3","0.0310","","","","","",""
"3.0735","538","255.1","19.3","0.0310","","","","","",""
"3.2735","545","257.2","19.3","0.0295","","","","","",""
"3.4735","551","259.1","19.3","0.0350","","","","","",""
"3.5600","556","259.9","19.3","0.0190","","","","","",""
"Scope 1/1, Sample 2/3 (HT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","102.5","19.7","NaN","","","","","",""
"0.0200","28","28.9","19.7","0.0005","","","","","",""
"0.0400","152","-64.1","19.6","0.0000","","","","","",""
"0.0600","174","-61.2","19.6","0.0010","","","","","",""
"0.0800","204","-56.7","19.6","0.0005","","","","","",""
"0.1025","234","-51.8","19.6","0.0005","2.64","0.42","","","","NaN"
"0.1405","264","-44.4","19.6","0.0010","251.44","2.40","","","","NaN"
"0.1880","295","-34.5","19.6","0.0015","216.91","2.34","","","","NaN"
"0.2230","325","-25.4","19.5","0.0010","171.92","2.24","","","","NaN"
"0.2480","355","-18.7","19.5","0.0010","157.77","2.20","","","","NaN"
"0.2770","385","-13.4","19.5","0.0010","142.94","2.16","","","","NaN"
"0.3400","415","-7.8","19.5","0.0020","105.87","2.02","","","","NaN"
"0.4975","446","-0.6","19.5","0.0050","28.44","1.45","","","","NaN"
"0.6975","476","7.2","19.5","0.0065","13.18","1.12","","","","NaN"
"0.8975","506","17.2","19.5","0.0065","115.59","2.06","","","","NaN"
"1.0240","536","29.6","19.5","0.0040","260.29","2.42","","","","NaN"
"1.0660","566","41.5","19.5","0.0015","334.24","2.52","","","","NaN"
"1.0860","596","52.5","19.5","0.0005","378.25","2.58","","","","NaN"
"1.1060","627","62.8","19.5","0.0005","405.36","2.61","","","","NaN"
"1.1260","657","72.5","19.5","0.0005","485.64","2.69","","","","NaN"
"1.1460","687","81.8","19.5","0.0005","489.55","2.69","","","","NaN"
"1.1660","717","90.9","19.4","0.0005","454.70","2.66","","","","NaN"
"1.1860","747","99.9","19.4","0.0005","477.67","2.68","","","","NaN"
"1.2060","778","109.4","19.4","0.0005","516.76","2.71","","","","NaN"
"1.2260","808","119.7","19.4","0.0005","550.76","2.74","","","","NaN"
"1.2460","838","131.4","19.4","0.0005","553.53","2.74","","","","NaN"
"1.2660","868","143.4","19.4","0.0005","509.43","2.71","","","","NaN"
"1.2860","894","153.8","19.4","0.0010","436.84","2.64","","","","NaN"
