"Task","T2325"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","66.5","19.0","NaN","","","","","",""
"0.0200","28","5.6","19.0","0.0005","","","","","",""
"0.0400","58","-29.3","19.0","0.0005","","","","","",""
"0.0600","88","-44.1","19.0","0.0005","","","","","",""
"0.1100","91","-44.8","19.0","0.0155","","","","","",""
"0.2350","122","-32.5","19.0","0.0040","","","","","",""
"0.3675","152","-20.7","19.0","0.0045","-19.77","1.30","","","","NaN"
"0.5660","182","-7.1","19.0","0.0065","118.38","2.07","","","","NaN"
"0.7660","212","20.6","19.0","0.0065","550.47","2.74","","","","NaN"
"0.8325","242","62.1","19.0","0.0020","629.80","2.80","","","","NaN"
"0.8525","272","106.8","19.0","0.0005","544.32","2.74","","","","NaN"
"0.8725","420","146.8","18.9","0.0000","574.31","2.76","","","","NaN"
"0.8925","442","157.0","18.9","0.0010","691.36","2.84","","","","NaN"
"0.9425","460","174.2","18.9","0.0025","442.95","2.65","","","","NaN"
"0.9770","473","181.9","18.9","0.0025","374.99","2.57","","","","NaN"
"1.0310","484","190.9","18.9","0.0050","222.20","2.35","","","","NaN"
"1.0960","494","198.9","18.9","0.0065","138.74","2.14","","","","NaN"
"1.1860","502","206.8","18.9","0.0110","97.78","1.99","","","","NaN"
"1.3110","511","214.9","18.9","0.0140","66.06","1.82","","","","NaN"
"1.4810","519","222.8","18.9","0.0220","44.86","1.65","","","","NaN"
"1.6810","525","229.8","18.9","0.0355","31.49","1.50","","","","NaN"
"1.8810","532","235.2","18.9","0.0305","24.25","1.38","","","","NaN"
"2.0810","538","239.6","18.9","0.0325","19.88","1.30","","","","NaN"
"2.2810","545","243.4","18.9","0.0290","17.01","1.23","","","","NaN"
"2.4810","552","246.6","18.9","0.0305","14.93","1.17","","","","NaN"
"2.6810","558","249.5","18.9","0.0355","13.27","1.12","","","","NaN"
"2.8810","562","252.0","18.9","0.0445","","","","","",""
"3.0810","568","254.3","18.9","0.0340","","","","","",""
"3.2810","573","256.4","18.9","0.0370","","","","","",""
"3.4810","578","258.3","18.9","0.0375","","","","","",""
"3.5600","583","259.0","18.9","0.0160","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","107.3","19.0","NaN","","","","","",""
"0.0200","28","50.9","19.1","0.0005","","","","","",""
"0.0400","155","-38.8","19.0","0.0000","","","","","",""
"0.0600","158","-39.0","19.0","0.0060","","","","","",""
"0.1100","188","-30.5","19.0","0.0015","","","","","",""
"0.1300","219","-22.5","19.0","0.0005","-256.42","2.41","","","","NaN"
"0.1500","249","-16.3","19.0","0.0005","-43.88","1.64","","","","NaN"
"0.1835","279","-10.8","19.0","0.0010","128.72","2.11","","","","NaN"
"0.2675","309","-3.7","19.0","0.0030","53.95","1.73","","","","NaN"
"0.4510","340","4.8","19.0","0.0060","-14.62","1.16","","","","NaN"
"0.6510","370","19.8","19.0","0.0065","285.82","2.46","","","","NaN"
"0.7175","400","36.9","19.0","0.0020","491.19","2.69","","","","NaN"
"0.7375","430","51.4","19.0","0.0005","564.09","2.75","","","","NaN"
"0.7575","460","66.2","19.0","0.0005","626.00","2.80","","","","NaN"
"0.7775","491","80.6","19.0","0.0005","692.18","2.84","","","","NaN"
"0.7975","521","96.1","19.0","0.0005","836.15","2.92","","","","NaN"
"0.8175","551","112.7","19.0","0.0005","817.41","2.91","","","","NaN"
"0.8375","581","130.2","18.9","0.0005","748.01","2.87","","","","NaN"
"0.8575","612","145.9","18.9","0.0005","621.87","2.79","","","","NaN"
"0.8775","639","157.5","18.9","0.0005","501.98","2.70","","","","NaN"
"0.8975","660","165.5","18.9","0.0010","425.32","2.63","","","","NaN"
"0.9265","679","174.6","18.9","0.0015","338.79","2.53","","","","NaN"
"0.9595","694","182.3","18.9","0.0025","260.08","2.42","","","","NaN"
"1.0055","706","190.4","18.9","0.0035","189.06","2.28","","","","NaN"
"1.0660","718","198.2","18.9","0.0050","","","","","",""
"1.1495","728","206.1","18.9","0.0085","","","","","",""
"1.2650","737","214.1","18.9","0.0125","","","","","",""
"1.4220","746","222.0","18.9","0.0175","","","","","",""
"1.6220","754","229.5","18.9","0.0250","","","","","",""
"Scope 1/1, Sample 3/5 (BT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
