"Task","T2329"
"Scope 1/1, Sample 1/2 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","42.4","19.3","NaN","","","","","",""
"0.0200","28","-85.9","19.3","0.0005","","","","","",""
"0.0400","52","-102.9","19.3","0.0010","","","","","",""
"0.0900","55","-103.3","19.3","0.0150","","","","","",""
"0.2150","82","-91.1","19.3","0.0045","","","","","",""
"0.3505","112","-74.1","19.3","0.0045","","","","","",""
"0.4485","142","-56.1","19.2","0.0030","","","","","",""
"0.5090","173","-38.8","19.2","0.0020","","","","","",""
"0.5445","203","-26.7","19.2","0.0010","","","","","",""
"0.5845","233","-18.1","19.2","0.0015","46.71","1.67","","","","NaN"
"0.6845","263","-9.5","19.2","0.0035","7.00","0.85","","","","NaN"
"0.8845","290","-0.4","19.2","0.0075","76.87","1.89","","","","NaN"
"1.0845","320","17.7","19.2","0.0065","370.51","2.57","","","","NaN"
"1.2410","351","123.0","19.2","0.0050","445.13","2.65","","","","NaN"
"1.2610","488","169.7","19.1","0.0000","432.77","2.64","","","","NaN"
"1.2810","504","176.0","19.1","0.0015","464.83","2.67","","","","NaN"
"1.3310","519","187.1","19.1","0.0035","345.09","2.54","","","","NaN"
"1.3825","531","195.2","19.1","0.0045","259.22","2.41","","","","NaN"
"1.4545","542","203.5","19.1","0.0065","160.94","2.21","","","","NaN"
"1.5485","552","211.4","19.1","0.0095","89.67","1.95","","","","NaN"
"1.6800","561","219.4","19.1","0.0155","62.42","1.80","","","","NaN"
"1.8590","569","227.4","19.1","0.0220","41.91","1.62","","","","NaN"
"2.0590","577","234.0","19.1","0.0255","29.87","1.48","","","","NaN"
"2.2590","584","239.2","19.1","0.0275","23.27","1.37","","","","NaN"
"2.4590","591","243.5","19.1","0.0285","19.23","1.28","","","","NaN"
"2.6590","598","247.1","19.1","0.0295","16.38","1.21","","","","NaN"
"2.8590","605","250.3","19.1","0.0305","","","","","",""
"3.0590","611","253.1","19.1","0.0355","","","","","",""
"3.2590","617","255.6","19.1","0.0335","","","","","",""
"3.4590","623","257.9","19.1","0.0330","","","","","",""
"3.5600","628","258.9","19.1","0.0190","","","","","",""
"Scope 1/1, Sample 2/2 (CRM2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","100.2","19.0","NaN","","","","","",""
"0.0200","28","38.4","19.0","0.0005","","","","","",""
"0.0400","152","-50.9","18.9","0.0000","","","","","",""
"0.0600","155","-51.0","18.9","0.0070","","","","","",""
"0.1100","185","-42.7","18.9","0.0015","","","","","",""
"0.1300","215","-34.5","18.9","0.0005","-225.41","2.35","","","","NaN"
"0.1500","246","-27.8","18.9","0.0005","-31.71","1.50","","","","NaN"
"0.1790","276","-21.9","18.9","0.0010","152.84","2.18","","","","NaN"
"0.2435","306","-15.3","18.9","0.0020","121.06","2.08","","","","NaN"
"0.4000","336","-7.2","18.9","0.0050","45.52","1.66","","","","NaN"
"0.6000","366","1.3","18.9","0.0065","17.10","1.23","","","","NaN"
"0.8000","397","10.8","18.9","0.0065","74.23","1.87","","","","NaN"
"0.9505","427","21.7","18.9","0.0050","185.39","2.27","","","","NaN"
"1.0225","457","33.5","18.9","0.0025","270.19","2.43","","","","NaN"
"1.0445","487","43.4","18.9","0.0005","300.12","2.48","","","","NaN"
"1.0645","518","52.6","18.9","0.0005","293.85","2.47","","","","NaN"
"1.0845","548","61.2","18.9","0.0005","353.35","2.55","","","","NaN"
"1.1045","578","69.1","18.9","0.0005","365.43","2.56","","","","NaN"
"1.1270","608","76.9","18.9","0.0005","283.58","2.45","","","","NaN"
"1.1530","638","84.0","18.9","0.0010","250.51","2.40","","","","NaN"
"1.1905","669","92.5","18.9","0.0010","264.45","2.42","","","","NaN"
"1.2330","699","103.7","18.9","0.0015","341.51","2.53","","","","NaN"
"1.2590","729","115.3","18.9","0.0010","410.75","2.61","","","","NaN"
"1.2790","759","125.7","18.9","0.0005","467.02","2.67","","","","NaN"
"1.2990","790","136.3","18.9","0.0005","494.96","2.69","","","","NaN"
"1.3190","820","146.3","18.9","0.0005","471.58","2.67","","","","NaN"
"1.3390","845","155.6","18.8","0.0010","403.05","2.61","","","","NaN"
"1.3590","864","163.1","18.8","0.0010","348.42","2.54","","","","NaN"
"1.3860","882","171.8","18.8","0.0015","294.99","2.47","","","","NaN"
"1.4140","896","178.6","18.8","0.0020","250.55","2.40","","","","NaN"
"1.4580","910","187.2","18.8","0.0030","195.09","2.29","","","","NaN"
"1.5090","921","194.4","18.8","0.0045","151.16","2.18","","","","NaN"
"1.5875","932","202.8","18.8","0.0070","","","","","",""
"1.6865","941","210.5","18.8","0.0110","","","","","",""
"1.8275","950","218.5","18.8","0.0150","","","","","",""
"2.0185","958","226.4","18.8","0.0235","","","","","",""
"2.2185","966","232.7","18.8","0.0250","","","","","",""
