"Task","T2390"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","28.9","19.2","NaN","","","","","",""
"0.0200","28","-91.6","19.2","0.0005","","","","","",""
"0.0400","54","-107.7","19.2","0.0010","","","","","",""
"0.0900","59","-107.9","19.2","0.0110","","","","","",""
"0.2150","86","-95.5","19.2","0.0045","","","","","",""
"0.3440","117","-80.2","19.2","0.0040","","","","","",""
"0.4580","147","-62.4","19.2","0.0040","","","","","",""
"0.5355","177","-44.0","19.3","0.0025","","","","","",""
"0.5800","208","-30.8","19.3","0.0015","","","","","",""
"0.6235","238","-21.4","19.3","0.0015","37.06","1.57","","","","NaN"
"0.7235","268","-13.2","19.3","0.0035","12.14","1.08","","","","NaN"
"0.9235","298","-2.1","19.3","0.0065","106.42","2.03","","","","NaN"
"1.1235","328","15.2","19.3","0.0065","384.50","2.58","","","","NaN"
"1.2935","359","147.8","19.3","0.0055","427.23","2.63","","","","NaN"
"1.3135","493","178.9","19.3","0.0000","432.15","2.64","","","","NaN"
"1.3335","506","183.2","19.3","0.0015","441.95","2.65","","","","NaN"
"1.3835","520","192.0","19.3","0.0035","294.22","2.47","","","","NaN"
"1.4400","531","199.2","19.3","0.0050","240.96","2.38","","","","NaN"
"1.5265","541","207.3","19.3","0.0085","118.98","2.08","","","","NaN"
"1.6410","550","215.2","19.3","0.0135","70.66","1.85","","","","NaN"
"1.7980","558","223.3","19.3","0.0200","49.28","1.69","","","","NaN"
"1.9980","566","230.6","19.3","0.0260","33.96","1.53","","","","NaN"
"2.1980","574","236.4","19.3","0.0265","25.69","1.41","","","","NaN"
"2.3980","581","241.0","19.3","0.0280","20.81","1.32","","","","NaN"
"2.5980","588","244.9","19.4","0.0290","17.57","1.24","","","","NaN"
"2.7980","595","248.3","19.4","0.0305","","","","","",""
"2.9980","601","251.3","19.4","0.0325","","","","","",""
"3.1980","607","253.8","19.4","0.0310","","","","","",""
"3.3980","614","256.2","19.4","0.0290","","","","","",""
"3.5600","620","257.9","19.4","0.0290","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","111.2","20.1","NaN","","","","","",""
"0.0200","28","61.7","20.2","0.0005","","","","","",""
"0.0400","179","-29.9","20.1","0.0000","","","","","",""
"0.0600","182","-30.1","20.1","0.0070","","","","","",""
"0.1100","212","-23.4","20.1","0.0015","","","","","",""
"0.1300","242","-17.0","20.1","0.0005","-291.41","2.46","","","","NaN"
"0.1500","273","-12.0","20.1","0.0005","-80.93","1.91","","","","NaN"
"0.1905","303","-7.0","20.1","0.0015","92.80","1.97","","","","NaN"
"0.2915","333","-0.7","20.1","0.0035","-1.93","0.29","","","","NaN"
"0.4915","363","7.4","20.1","0.0065","-37.39","1.57","","","","NaN"
"0.6915","394","23.2","20.1","0.0065","508.56","2.71","","","","NaN"
"0.7435","424","43.6","20.1","0.0020","750.64","2.88","","","","NaN"
"0.7635","454","66.2","20.1","0.0005","792.38","2.90","","","","NaN"
"0.7835","484","92.4","20.1","0.0005","741.11","2.87","","","","NaN"
"0.8035","514","119.9","20.1","0.0005","926.54","2.97","","","","NaN"
"0.8235","545","143.1","20.1","0.0005","896.57","2.95","","","","NaN"
"0.8435","575","157.9","20.1","0.0005","652.07","2.81","","","","NaN"
"0.8635","596","166.3","20.1","0.0010","547.27","2.74","","","","NaN"
"0.8970","616","176.7","20.1","0.0015","392.02","2.59","","","","NaN"
"0.9320","629","184.4","20.1","0.0025","278.01","2.44","","","","NaN"
"0.9835","642","193.2","20.1","0.0040","185.93","2.27","","","","NaN"
"1.0440","653","200.5","20.1","0.0055","","","","","",""
