"Task","T2476"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","41.5","21.9","NaN","","","","","",""
"0.0200","26","-51.5","21.9","0.0010","","","","","",""
"0.0400","50","-64.9","21.9","0.0010","","","","","",""
"0.0900","53","-65.3","21.9","0.0150","","","","","",""
"0.2150","84","-53.5","21.8","0.0040","","","","","",""
"0.3595","114","-34.8","21.7","0.0050","","","","","",""
"0.4500","144","-19.2","21.7","0.0030","","","","","",""
"0.5190","174","-9.1","21.6","0.0025","","","","","",""
"0.6480","200","-1.3","21.5","0.0050","","","","","",""
"0.8480","216","3.2","21.5","0.0130","","","","","",""
"1.0480","246","13.3","21.4","0.0065","","","","","",""
"1.2480","276","23.2","21.4","0.0065","","","","","",""
"1.4480","306","33.9","21.3","0.0065","56.86","1.75","","","","NaN"
"1.6480","336","46.3","21.3","0.0065","102.87","2.01","","","","NaN"
"1.8480","367","63.8","21.2","0.0065","190.40","2.28","","","","NaN"
"2.0150","397","92.5","21.2","0.0055","332.79","2.52","","","","NaN"
"2.0625","427","120.2","21.1","0.0015","380.14","2.58","","","","NaN"
"2.0825","570","137.3","20.9","0.0000","370.44","2.57","","","","NaN"
"2.1025","592","143.5","20.9","0.0010","381.98","2.58","","","","NaN"
"2.1525","619","163.3","20.8","0.0020","421.14","2.62","","","","NaN"
"2.1725","637","170.7","20.8","0.0010","311.96","2.49","","","","NaN"
"2.1955","653","177.6","20.8","0.0015","274.46","2.44","","","","NaN"
"2.2280","668","185.4","20.7","0.0020","229.34","2.36","","","","NaN"
"2.2690","680","193.4","20.7","0.0035","193.44","2.29","","","","NaN"
"2.3210","692","200.9","20.7","0.0045","","","","","",""
"2.3935","701","208.8","20.7","0.0080","","","","","",""
"2.4920","710","216.8","20.7","0.0105","","","","","",""
"2.6235","719","224.6","20.7","0.0140","","","","","",""
"2.8120","728","232.7","20.6","0.0210","","","","","",""
"Scope 1/1, Sample 2/2 (CRM)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","99.8","18.7","NaN","","","","","",""
"0.0200","28","38.5","18.7","0.0005","","","","","",""
"0.0400","58","1.3","18.7","0.0005","","","","","",""
"0.0600","88","-17.9","18.7","0.0005","","","","","",""
"0.0925","99","-21.4","18.7","0.0030","","","","","",""
"0.1735","102","-21.9","18.7","0.0255","","","","","",""
"0.3735","132","-10.1","18.7","0.0065","","","","","",""
"0.5735","161","0.0","18.7","0.0070","","","","","",""
"0.7735","168","3.2","18.7","0.0300","28.94","1.46","","","","NaN"
"0.9735","198","16.8","18.7","0.0065","164.86","2.22","","","","NaN"
"1.1735","228","41.2","18.7","0.0065","425.37","2.63","","","","NaN"
"1.2595","258","81.5","18.7","0.0030","551.22","2.74","","","","NaN"
"1.2795","289","119.6","18.7","0.0005","488.75","2.69","","","","NaN"
"1.2995","434","149.1","18.7","0.0000","487.56","2.69","","","","NaN"
"1.3195","459","158.1","18.7","0.0010","619.62","2.79","","","","NaN"
"1.3695","481","175.7","18.7","0.0025","391.36","2.59","","","","NaN"
"1.3990","496","183.0","18.7","0.0020","339.69","2.53","","","","NaN"
"1.4450","510","191.6","18.7","0.0035","225.46","2.35","","","","NaN"
"1.5010","521","199.4","18.7","0.0050","154.43","2.19","","","","NaN"
"1.5785","532","207.3","18.7","0.0070","112.78","2.05","","","","NaN"
"1.6845","541","215.3","18.7","0.0115","78.16","1.89","","","","NaN"
"1.8295","550","223.2","18.7","0.0155","54.52","1.74","","","","NaN"
"2.0295","559","231.2","18.7","0.0220","36.52","1.56","","","","NaN"
"2.2295","567","237.2","18.7","0.0255","27.03","1.43","","","","NaN"
"2.4295","574","242.1","18.7","0.0270","21.62","1.33","","","","NaN"
"2.6295","582","246.1","18.7","0.0245","18.04","1.26","","","","NaN"
"2.8295","589","249.5","18.7","0.0295","","","","","",""
"3.0295","596","252.6","18.7","0.0280","","","","","",""
"3.2295","603","255.3","18.7","0.0305","","","","","",""
"3.4295","610","257.7","18.7","0.0300","","","","","",""
"3.5600","616","259.1","18.7","0.0235","","","","","",""
