"Task","T2592"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","166.7","21.9"
"2","166.7","21.9"
"3","166.8","21.9"
"4","166.8","21.9"
"5","166.8","21.9"
"6","166.8","21.9"
"7","166.8","21.9"
"8","166.8","21.9"
"9","166.9","21.9"
"10","166.9","21.9"
"11","166.9","21.9"
"12","166.9","21.9"
"13","166.9","21.9"
"14","166.9","21.9"
"15","167.0","21.9"
"16","167.0","21.9"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-6.9","21.8"
"2","-6.9","21.8"
"3","-6.8","21.8"
"4","-6.9","21.8"
"5","-6.9","21.8"
"6","-6.8","21.8"
"7","-6.8","21.8"
"8","-6.8","21.8"
"9","-6.9","21.8"
"10","-6.9","21.8"
"11","-6.9","21.8"
"12","-6.8","21.8"
"13","-6.8","21.8"
"14","-6.8","21.8"
"15","-6.8","21.8"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-181.7","21.7"
"2","-181.7","21.7"
"3","-181.7","21.7"
"4","-181.8","21.7"
"5","-181.7","21.7"
"6","-181.8","21.7"
"7","-181.8","21.7"
"8","-181.8","21.7"
"9","-181.8","21.7"
"10","-181.8","21.7"
"11","-181.7","21.7"
"12","-181.8","21.7"
"13","-181.8","21.7"
"14","-181.8","21.7"
"15","-181.8","21.7"
"16","-181.8","21.7"
