"Task","T2610"
"Scope 1/1, Sample 1/2 (JUNK)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","79.0","21.7","NaN","","","","","",""
"0.0200","26","-20.4","21.7","0.0010","","","","","",""
"0.0400","56","-53.6","21.7","0.0005","","","","","",""
"0.0690","63","-56.2","21.7","0.0045","","","","","",""
"0.1415","66","-56.6","21.7","0.0260","","","","","",""
"0.3225","96","-33.4","21.7","0.0060","","","","","",""
"0.4000","126","-18.6","21.6","0.0025","","","","","",""
"0.4565","156","-9.0","21.6","0.0020","","","","","",""
"0.5630","181","-1.7","21.6","0.0045","","","","","",""
"0.7630","187","-0.4","21.6","0.0345","","","","","",""
"0.9630","197","3.4","21.6","0.0205","","","","","",""
"1.1630","227","17.7","21.6","0.0065","66.78","1.82","","","","NaN"
"1.3630","257","35.7","21.6","0.0065","207.77","2.32","","","","NaN"
"1.5205","288","61.8","21.6","0.0050","384.29","2.58","","","","NaN"
"1.5730","318","90.0","21.6","0.0020","463.29","2.67","","","","NaN"
"1.5930","348","110.5","21.6","0.0005","469.04","2.67","","","","NaN"
"1.6130","498","127.8","21.5","0.0000","472.66","2.67","","","","NaN"
"1.6330","529","135.7","21.5","0.0005","590.96","2.77","","","","NaN"
"1.6775","559","155.6","21.5","0.0015","422.43","2.63","","","","NaN"
"1.6975","581","163.6","21.5","0.0010","338.57","2.53","","","","NaN"
"1.7200","599","170.9","21.5","0.0010","296.92","2.47","","","","NaN"
"1.7510","616","178.8","21.5","0.0020","246.96","2.39","","","","NaN"
"1.7900","630","186.4","21.5","0.0030","205.28","2.31","","","","NaN"
"1.8445","641","194.4","21.5","0.0050","152.79","2.18","","","","NaN"
"1.9170","652","202.2","21.5","0.0065","114.16","2.06","","","","NaN"
"2.0160","661","210.1","21.5","0.0110","83.21","1.92","","","","NaN"
"2.1540","670","218.2","21.5","0.0160","58.33","1.77","","","","NaN"
"2.3400","677","226.1","21.5","0.0250","39.64","1.60","","","","NaN"
"2.5400","685","232.5","21.5","0.0255","28.84","1.46","","","","NaN"
"2.7400","692","237.5","21.5","0.0285","21.84","1.34","","","","NaN"
"2.9400","699","241.8","21.5","0.0295","","","","","",""
"3.1400","706","245.3","21.5","0.0310","","","","","",""
"3.3400","712","248.5","21.5","0.0315","","","","","",""
"3.5400","719","251.2","21.5","0.0305","","","","","",""
"3.5600","722","251.5","21.5","0.0060","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","93.4","21.2","NaN","","","","","",""
"0.0200","28","26.7","21.3","0.0005","","","","","",""
"0.0400","58","-12.0","21.2","0.0005","","","","","",""
"0.0600","88","-28.3","21.2","0.0005","","","","","",""
"0.1065","91","-29.4","21.2","0.0135","","","","","",""
"0.2225","95","-29.5","21.2","0.0305","","","","","",""
"0.4225","125","-13.8","21.2","0.0065","","","","","",""
"0.6225","155","-0.7","21.2","0.0065","","","","","",""
"0.8225","165","3.3","21.2","0.0190","74.15","1.87","","","","NaN"
"1.0225","196","20.7","21.2","0.0065","238.97","2.38","","","","NaN"
"1.1915","226","51.1","21.2","0.0055","499.83","2.70","","","","NaN"
"1.2345","256","86.7","21.2","0.0015","568.08","2.75","","","","NaN"
"1.2545","286","116.0","21.2","0.0005","527.43","2.72","","","","NaN"
"1.2745","437","139.1","21.2","0.0000","531.25","2.73","","","","NaN"
"1.2945","466","148.6","21.2","0.0005","665.55","2.82","","","","NaN"
"1.3355","491","164.8","21.2","0.0015","400.75","2.60","","","","NaN"
"1.3600","508","172.3","21.2","0.0015","342.68","2.53","","","","NaN"
"1.3935","523","180.1","21.2","0.0020","259.09","2.41","","","","NaN"
"1.4395","536","188.1","21.2","0.0035","189.12","2.28","","","","NaN"
"1.5005","546","196.1","21.2","0.0060","141.85","2.15","","","","NaN"
"1.5815","556","204.0","21.2","0.0080","102.07","2.01","","","","NaN"
"1.6930","565","211.8","21.2","0.0125","73.31","1.87","","","","NaN"
"1.8485","573","219.9","21.2","0.0195","50.09","1.70","","","","NaN"
"2.0485","581","227.5","21.2","0.0260","33.73","1.53","","","","NaN"
"2.2485","588","233.3","21.1","0.0300","25.15","1.40","","","","NaN"
"2.4485","594","237.2","21.2","0.0315","20.35","1.31","","","","NaN"
"2.6485","601","241.3","21.2","0.0290","17.12","1.23","","","","NaN"
"2.8485","608","244.8","21.2","0.0300","","","","","",""
"3.0485","614","247.8","21.2","0.0325","","","","","",""
"3.2485","621","250.5","21.2","0.0305","","","","","",""
"3.4485","627","252.9","21.2","0.0350","","","","","",""
"3.5600","632","254.2","21.1","0.0210","","","","","",""
