"Task","T2675"
"Scope 1/1, Sample 1/2 (junk)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","-19.2","21.5","NaN","","","","","",""
"0.0200","26","-63.0","21.6","0.0010","","","","","",""
"0.0400","34","-66.0","21.6","0.0025","","","","","",""
"0.0900","38","-66.5","21.6","0.0135","","","","","",""
"0.2150","68","-48.7","21.6","0.0040","","","","","",""
"0.2785","98","-32.0","21.5","0.0020","","","","","",""
"0.3115","128","-21.9","21.5","0.0010","","","","","",""
"0.3560","148","-16.7","21.5","0.0020","","","","","",""
"0.4670","175","-9.3","21.5","0.0040","","","","","",""
"0.6670","199","-1.2","21.5","0.0085","","","","","",""
"0.8670","213","3.2","21.5","0.0145","-1.10","0.04","","","","NaN"
"1.0670","243","16.8","21.5","0.0065","111.82","2.05","","","","NaN"
"1.2670","273","38.8","21.5","0.0065","347.34","2.54","","","","NaN"
"1.3730","303","74.1","21.4","0.0035","510.92","2.71","","","","NaN"
"1.3930","334","103.9","21.4","0.0005","493.18","2.69","","","","NaN"
"1.4130","483","131.6","21.4","0.0000","465.89","2.67","","","","NaN"
"1.4330","511","140.7","21.4","0.0005","585.06","2.77","","","","NaN"
"1.4830","538","162.0","21.3","0.0020","457.51","2.66","","","","NaN"
"1.5030","554","168.4","21.3","0.0010","348.61","2.54","","","","NaN"
"1.5365","568","176.7","21.3","0.0025","271.47","2.43","","","","NaN"
"1.5785","582","184.7","21.3","0.0030","202.88","2.31","","","","NaN"
"1.6320","592","192.2","21.3","0.0050","157.20","2.20","","","","NaN"
"1.7105","602","200.6","21.3","0.0080","110.11","2.04","","","","NaN"
"1.8090","611","208.2","21.3","0.0110","81.27","1.91","","","","NaN"
"1.9520","620","216.5","21.3","0.0165","56.56","1.75","","","","NaN"
"2.1375","628","224.1","21.3","0.0245","38.88","1.59","","","","NaN"
"2.3375","634","230.4","21.3","0.0315","28.35","1.45","","","","NaN"
"2.5375","641","235.5","21.3","0.0275","22.43","1.35","","","","NaN"
"2.7375","648","239.6","21.3","0.0275","18.25","1.26","","","","NaN"
"2.9375","655","243.2","21.3","0.0280","","","","","",""
"3.1375","661","246.2","21.3","0.0310","","","","","",""
"3.3375","667","249.0","21.3","0.0325","","","","","",""
"3.5375","673","251.5","21.3","0.0315","","","","","",""
"3.5600","676","251.6","21.3","0.0065","","","","","",""
"Scope 1/1, Sample 2/2 (crm1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","98.3","20.9","NaN","","","","","",""
"0.0200","28","34.7","21.0","0.0005","","","","","",""
"0.0400","58","-5.8","20.9","0.0005","","","","","",""
"0.0600","88","-26.9","20.9","0.0005","","","","","",""
"0.0890","99","-30.7","20.9","0.0025","","","","","",""
"0.1615","102","-31.3","20.9","0.0250","","","","","",""
"0.3425","132","-19.4","20.9","0.0060","","","","","",""
"0.5425","162","-8.5","20.9","0.0065","","","","","",""
"0.7425","186","-0.1","20.9","0.0085","29.93","1.48","","","","NaN"
"0.9425","216","12.5","20.9","0.0065","138.96","2.14","","","","NaN"
"1.1425","246","32.8","20.9","0.0065","352.69","2.55","","","","NaN"
"1.2665","276","79.1","20.9","0.0040","515.47","2.71","","","","NaN"
"1.2865","307","118.4","20.9","0.0005","452.33","2.66","","","","NaN"
"1.3065","451","144.0","20.9","0.0000","442.16","2.65","","","","NaN"
"1.3265","473","152.6","20.9","0.0010","549.08","2.74","","","","NaN"
"1.3765","494","169.2","20.9","0.0025","367.35","2.57","","","","NaN"
"1.4075","509","176.3","20.9","0.0020","324.13","2.51","","","","NaN"
"1.4570","521","185.1","20.9","0.0040","208.11","2.32","","","","NaN"
"1.5165","533","192.8","20.9","0.0050","144.21","2.16","","","","NaN"
"1.5995","543","200.8","20.9","0.0085","104.95","2.02","","","","NaN"
"1.7115","552","208.7","20.8","0.0125","73.04","1.86","","","","NaN"
"1.8675","560","216.8","20.8","0.0190","50.45","1.70","","","","NaN"
"2.0675","568","224.4","20.8","0.0240","34.54","1.54","","","","NaN"
"2.2675","576","230.2","20.8","0.0240","26.00","1.42","","","","NaN"
"2.4675","583","234.8","20.8","0.0280","21.01","1.32","","","","NaN"
"2.6675","590","238.8","20.9","0.0275","17.54","1.24","","","","NaN"
"2.8675","597","242.2","20.8","0.0270","15.25","1.18","","","","NaN"
"3.0675","604","245.2","20.9","0.0300","","","","","",""
"3.2675","610","247.8","20.8","0.0325","","","","","",""
"3.4675","616","250.2","20.9","0.0335","","","","","",""
"3.5600","621","251.2","20.9","0.0185","","","","","",""
"3.5600","624","251.3","20.9","0.0000","","","","","",""
