"Task","T2676"
"Scope 1/1, Sample 1/5 (JUNK)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","86.7","21.1","NaN","","","","","",""
"0.0200","27","2.2","21.1","0.0005","","","","","",""
"0.0400","58","-42.5","21.1","0.0005","","","","","",""
"0.0600","88","-58.1","21.1","0.0005","","","","","",""
"0.1100","91","-58.9","21.1","0.0165","","","","","",""
"0.2350","121","-44.9","21.1","0.0040","","","","","",""
"0.3380","151","-29.9","21.1","0.0035","","","","","",""
"0.4225","182","-19.5","21.1","0.0030","","","","","",""
"0.5745","212","-10.1","21.1","0.0050","","","","","",""
"0.7745","236","-1.5","21.1","0.0085","","","","","",""
"0.9745","250","3.3","21.1","0.0145","42.97","1.63","","","","NaN"
"1.1745","280","18.7","21.1","0.0065","206.77","2.32","","","","NaN"
"1.3745","310","53.1","21.1","0.0065","516.97","2.71","","","","NaN"
"1.4175","340","97.5","21.1","0.0015","540.66","2.73","","","","NaN"
"1.4375","370","130.4","21.1","0.0005","470.06","2.67","","","","NaN"
"1.4575","515","148.7","21.1","0.0000","494.41","2.69","","","","NaN"
"1.4775","535","157.0","21.1","0.0010","568.95","2.76","","","","NaN"
"1.5200","554","170.3","21.1","0.0020","386.68","2.59","","","","NaN"
"1.5535","570","178.2","21.0","0.0020","296.94","2.47","","","","NaN"
"1.5995","582","186.0","21.0","0.0040","197.67","2.30","","","","NaN"
"1.6645","592","194.3","21.0","0.0065","138.38","2.14","","","","NaN"
"1.7470","602","202.1","21.0","0.0085","101.67","2.01","","","","NaN"
"1.8605","610","209.9","21.0","0.0140","71.70","1.86","","","","NaN"
"2.0215","618","218.1","21.0","0.0200","49.21","1.69","","","","NaN"
"2.2215","626","225.7","21.0","0.0245","33.88","1.53","","","","NaN"
"2.4215","633","231.3","21.0","0.0270","25.66","1.41","","","","NaN"
"2.6215","640","236.0","21.0","0.0265","20.50","1.31","","","","NaN"
"2.8215","648","239.8","21.0","0.0265","","","","","",""
"3.0215","655","243.2","21.0","0.0305","","","","","",""
"3.2215","661","246.2","21.0","0.0330","","","","","",""
"3.4215","668","248.8","21.0","0.0310","","","","","",""
"3.5600","673","250.5","21.0","0.0255","","","","","",""
"Scope 1/1, Sample 2/5 (BT 1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","93.7","21.9","NaN","","","","","",""
"0.0200","28","20.4","22.0","0.0005","","","","","",""
"0.0400","58","-23.9","22.0","0.0005","","","","","",""
