"Task","T2697"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","-9.8","20.9","NaN","","","","","",""
"0.0200","26","-54.2","20.9","0.0010","","","","","",""
"0.0400","40","-59.4","20.9","0.0015","","","","","",""
"0.0900","44","-59.9","20.9","0.0145","","","","","",""
"0.2150","74","-43.6","20.9","0.0040","","","","","",""
"0.2900","104","-27.6","20.9","0.0025","","","","","",""
"0.3360","134","-17.3","20.9","0.0015","","","","","",""
"0.4040","163","-9.6","20.9","0.0025","","","","","",""
"0.5740","183","-3.2","20.9","0.0085","","","","","",""
"0.7740","202","3.1","20.8","0.0105","-7.87","0.90","","","","NaN"
"0.9740","232","19.1","20.8","0.0065","110.76","2.04","","","","NaN"
"1.1740","262","40.9","20.8","0.0065","383.67","2.58","","","","NaN"
"1.2815","293","88.8","20.8","0.0035","518.60","2.71","","","","NaN"
"1.3015","323","126.0","20.8","0.0005","453.02","2.66","","","","NaN"
"1.3215","471","149.4","20.7","0.0000","448.67","2.65","","","","NaN"
"1.3415","494","158.3","20.7","0.0010","553.99","2.74","","","","NaN"
"1.3895","514","174.0","20.7","0.0025","360.57","2.56","","","","NaN"
"1.4220","529","181.5","20.7","0.0020","316.45","2.50","","","","NaN"
"1.4715","542","190.3","20.7","0.0035","204.84","2.31","","","","NaN"
"1.5295","553","197.7","20.7","0.0050","144.07","2.16","","","","NaN"
"1.6180","564","206.1","20.7","0.0080","102.55","2.01","","","","NaN"
"1.7310","573","214.0","20.7","0.0125","71.56","1.85","","","","NaN"
"1.8860","582","221.8","20.7","0.0180","49.66","1.70","","","","NaN"
"2.0860","589","229.3","20.7","0.0275","34.09","1.53","","","","NaN"
"2.2860","597","235.0","20.7","0.0255","25.67","1.41","","","","NaN"
"2.4860","604","239.7","20.7","0.0300","20.85","1.32","","","","NaN"
"2.6860","611","243.6","20.7","0.0305","17.38","1.24","","","","NaN"
"2.8860","617","246.9","20.7","0.0350","","","","","",""
"3.0860","623","249.9","20.7","0.0325","","","","","",""
"3.2860","630","252.5","20.7","0.0310","","","","","",""
"3.4860","635","254.8","20.7","0.0370","","","","","",""
"3.5600","641","255.7","20.7","0.0130","","","","","",""
"Scope 1/1, Sample 2/2 (CRM1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.1","20.3","NaN","","","","","",""
"0.0200","28","45.0","20.3","0.0005","","","","","",""
"0.0400","161","-52.9","20.3","0.0000","","","","","",""
"0.0600","164","-53.1","20.3","0.0075","","","","","",""
"0.1100","194","-46.7","20.3","0.0015","","","","","",""
"0.1300","224","-38.9","20.3","0.0005","-252.31","2.40","","","","NaN"
"0.1500","254","-32.3","20.3","0.0005","-59.95","1.78","","","","NaN"
"0.1790","285","-26.3","20.3","0.0010","143.56","2.16","","","","NaN"
"0.2410","315","-19.8","20.2","0.0020","118.94","2.08","","","","NaN"
"0.3905","345","-12.3","20.2","0.0050","51.52","1.71","","","","NaN"
"0.5905","375","-3.2","20.2","0.0065","11.37","1.06","","","","NaN"
"0.7850","405","5.1","20.2","0.0065","48.33","1.68","","","","NaN"
"0.9850","436","17.0","20.2","0.0065","192.69","2.28","","","","NaN"
"1.0795","466","31.0","20.2","0.0030","324.72","2.51","","","","NaN"
"1.1015","496","44.0","20.2","0.0005","385.96","2.59","","","","NaN"
"1.1215","526","56.0","20.2","0.0005","418.00","2.62","","","","NaN"
"1.1415","556","67.2","20.2","0.0005","447.87","2.65","","","","NaN"
"1.1615","586","77.5","20.2","0.0005","545.15","2.74","","","","NaN"
"1.1815","617","87.0","20.2","0.0005","454.39","2.66","","","","NaN"
"1.2015","647","95.6","20.2","0.0005","432.19","2.64","","","","NaN"
"1.2220","677","104.0","20.2","0.0005","440.17","2.64","","","","NaN"
"1.2425","707","113.0","20.2","0.0005","468.06","2.67","","","","NaN"
"1.2625","737","122.6","20.2","0.0005","500.32","2.70","","","","NaN"
"1.2825","768","133.1","20.2","0.0005","508.05","2.71","","","","NaN"
"1.3025","798","144.0","20.2","0.0005","471.52","2.67","","","","NaN"
"1.3225","828","153.6","20.2","0.0005","408.35","2.61","","","","NaN"
"1.3425","852","161.6","20.2","0.0010","352.38","2.55","","","","NaN"
"1.3665","873","169.1","20.2","0.0010","305.29","2.48","","","","NaN"
"1.3990","890","177.0","20.2","0.0020","249.87","2.40","","","","NaN"
"1.4415","906","185.0","20.2","0.0025","193.90","2.29","","","","NaN"
"1.4960","919","192.6","20.2","0.0040","147.37","2.17","","","","NaN"
"1.5720","931","200.5","20.2","0.0065","","","","","",""
"1.6765","942","208.5","20.2","0.0095","","","","","",""
"1.8180","952","216.4","20.2","0.0150","","","","","",""
"2.0160","960","224.5","20.2","0.0235","","","","","",""
"2.2160","969","230.6","20.2","0.0235","","","","","",""
