"Task","T2696"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","166.3","20.9"
"2","166.3","20.9"
"3","166.3","20.9"
"4","166.4","20.9"
"5","166.4","20.9"
"6","166.4","20.9"
"7","166.4","20.9"
"8","166.4","20.9"
"9","166.5","20.9"
"10","166.5","20.9"
"11","166.5","20.9"
"12","166.5","20.9"
"13","166.5","20.9"
"14","166.6","20.9"
"15","166.6","20.9"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-6.1","20.8"
"2","-6.1","20.8"
"3","-6.1","20.8"
"4","-6.0","20.8"
"5","-6.0","20.8"
"6","-6.0","20.8"
"7","-6.0","20.8"
"8","-6.0","20.8"
"9","-6.1","20.8"
"10","-6.0","20.8"
"11","-6.0","20.8"
"12","-6.0","20.8"
"13","-6.0","20.8"
"14","-6.0","20.8"
"15","-6.0","20.8"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-177.9","20.7"
"2","-177.9","20.6"
"3","-177.9","20.6"
"4","-177.9","20.6"
"5","-177.9","20.6"
"6","-177.9","20.6"
"7","-177.9","20.6"
"8","-177.9","20.6"
"9","-177.9","20.6"
"10","-177.9","20.6"
"11","-177.9","20.6"
"12","-177.9","20.6"
"13","-177.9","20.6"
"14","-177.9","20.6"
"15","-177.9","20.6"
"16","-177.9","20.6"
