"Task","T2739"
"Scope 1/1, Sample 1/5 (junk)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","81.8","22.5","NaN","","","","","",""
"0.0200","28","-9.5","22.5","0.0005","","","","","",""
"0.0400","58","-51.4","22.5","0.0005","","","","","",""
"0.0600","88","-64.5","22.5","0.0005","","","","","",""
"0.1100","91","-65.1","22.5","0.0165","","","","","",""
"0.2350","121","-51.3","22.5","0.0040","","","","","",""
"0.3400","151","-35.1","22.5","0.0035","","","","","",""
"0.4140","182","-23.7","22.5","0.0025","","","","","",""
"0.5175","212","-14.2","22.5","0.0035","","","","","",""
"0.7175","242","-3.7","22.5","0.0065","15.26","1.18","","","","NaN"
"0.9175","262","3.5","22.5","0.0100","78.61","1.90","","","","NaN"
"1.1175","292","22.0","22.5","0.0065","318.63","2.50","","","","NaN"
"1.2685","323","71.0","22.5","0.0050","549.93","2.74","","","","NaN"
"1.2885","353","116.9","22.5","0.0005","469.24","2.67","","","","NaN"
"1.3085","498","148.8","22.5","0.0000","455.21","2.66","","","","NaN"
"1.3285","520","157.3","22.5","0.0010","557.19","2.75","","","","NaN"
"1.3785","540","173.3","22.5","0.0025","382.82","2.58","","","","NaN"
"1.4120","555","180.7","22.5","0.0025","344.10","2.54","","","","NaN"
"1.4650","567","189.5","22.5","0.0045","205.95","2.31","","","","NaN"
"1.5285","578","197.2","22.5","0.0060","135.79","2.13","","","","NaN"
"1.6190","588","205.4","22.5","0.0090","97.40","1.99","","","","NaN"
"1.7375","597","213.2","22.5","0.0125","67.82","1.83","","","","NaN"
"1.9025","606","221.3","22.5","0.0175","46.65","1.67","","","","NaN"
"2.1025","614","228.4","22.5","0.0240","32.54","1.51","","","","NaN"
"2.3025","622","234.0","22.5","0.0255","24.87","1.40","","","","NaN"
"2.5025","629","238.5","22.5","0.0270","20.30","1.31","","","","NaN"
"2.7025","636","242.3","22.5","0.0280","17.01","1.23","","","","NaN"
"2.9025","643","245.6","22.5","0.0290","","","","","",""
"3.1025","650","248.6","22.5","0.0305","","","","","",""
"3.3025","655","251.1","22.5","0.0370","","","","","",""
"3.5025","661","253.5","22.5","0.0310","","","","","",""
"3.5600","666","254.1","22.5","0.0110","","","","","",""
"Scope 1/1, Sample 2/5 (bt1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","88.4","23.4","NaN","","","","","",""
"0.0200","28","-1.6","23.5","0.0005","","","","","",""
"0.0400","58","-47.2","23.4","0.0005","","","","","",""
"0.0600","88","-61.4","23.4","0.0005","","","","","",""
"0.1100","91","-62.1","23.4","0.0155","","","","","",""
"0.2350","121","-48.9","23.4","0.0040","","","","","",""
"0.3495","152","-32.8","23.4","0.0035","","","","","",""
"0.4355","182","-21.4","23.4","0.0030","","","","","",""
"0.5625","212","-11.8","23.4","0.0040","","","","","",""
