"Task","T2749"
"Scope 1/1, Sample 1/5 (20240603_JUNK3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.5","20.5","NaN","","","","","",""
"0.0200","28","85.4","20.5","0.0005","","","","","",""
"0.0400","179","30.3","20.5","0.0000","","","","","",""
"0.0600","192","28.4","20.5","0.0015","","","","","",""
"0.1100","196","27.9","20.5","0.0135","","","","","",""
"0.2350","200","28.0","20.5","0.0290","-94.62","1.98","","","","NaN"
"0.4350","209","29.5","20.5","0.0220","35.03","1.54","","","","NaN"
"0.6350","239","38.8","20.5","0.0065","139.69","2.15","","","","NaN"
"0.7855","270","55.2","20.5","0.0050","445.54","2.65","","","","NaN"
"0.8165","300","72.5","20.5","0.0010","549.57","2.74","","","","NaN"
"0.8365","330","90.6","20.5","0.0005","605.39","2.78","","","","NaN"
"0.8565","360","108.4","20.5","0.0005","607.51","2.78","","","","NaN"
"0.8765","390","126.2","20.6","0.0005","785.46","2.90","","","","NaN"
"0.8965","420","142.4","20.6","0.0005","684.39","2.84","","","","NaN"
"0.9165","451","154.7","20.6","0.0005","531.40","2.73","","","","NaN"
"0.9365","479","163.9","20.6","0.0005","441.78","2.65","","","","NaN"
"0.9600","500","171.7","20.6","0.0010","368.07","2.57","","","","NaN"
"0.9935","519","180.2","20.6","0.0020","280.03","2.45","","","","NaN"
"1.0350","534","188.0","20.6","0.0030","206.79","2.32","","","","NaN"
"1.0910","547","196.0","20.6","0.0040","","","","","",""
"1.1660","559","203.8","20.6","0.0065","","","","","",""
"1.2700","569","211.9","20.6","0.0105","","","","","",""
"1.4110","578","219.7","20.6","0.0150","","","","","",""
"1.6095","587","227.8","20.6","0.0215","","","","","",""
"Scope 1/1, Sample 2/5 (20240531_NSF4_Test2_P)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","115.4","20.4","NaN","","","","","",""
"0.0200","28","80.1","20.4","0.0005","","","","","",""
"0.0400","179","28.1","20.5","0.0000","","","","","",""
"0.0600","209","23.9","20.5","0.0005","","","","","",""
"0.1100","218","23.1","20.5","0.0060","","","","","",""
"0.2350","221","23.0","20.5","0.0430","-116.75","2.07","","","","NaN"
"0.4350","228","23.9","20.5","0.0280","7.40","0.87","","","","NaN"
"0.6350","258","29.8","20.5","0.0065","14.71","1.17","","","","NaN"
"0.8350","289","37.2","20.5","0.0065","90.54","1.96","","","","NaN"
"1.0350","319","51.1","20.5","0.0065","284.76","2.45","","","","NaN"
"1.1010","349","69.3","20.5","0.0020","425.55","2.63","","","","NaN"
"1.1210","379","86.1","20.5","0.0005","504.56","2.70","","","","NaN"
"1.1410","410","101.5","20.5","0.0005","531.27","2.73","","","","NaN"
"1.1610","440","115.4","20.5","0.0005","590.03","2.77","","","","NaN"
"1.1810","470","127.8","20.5","0.0005","662.10","2.82","","","","NaN"
"1.2010","500","139.2","20.5","0.0005","529.22","2.72","","","","NaN"
"1.2210","530","149.5","20.5","0.0005","456.20","2.66","","","","NaN"
"1.2410","554","158.1","20.5","0.0010","389.73","2.59","","","","NaN"
"1.2635","575","166.2","20.5","0.0010","332.58","2.52","","","","NaN"
"1.2900","593","173.5","20.5","0.0015","280.63","2.45","","","","NaN"
"1.3275","610","181.7","20.5","0.0020","222.17","2.35","","","","NaN"
"1.3745","624","189.4","20.5","0.0035","171.48","2.23","","","","NaN"
"1.4390","636","197.3","20.5","0.0055","","","","","",""
"1.5260","646","205.2","20.5","0.0085","","","","","",""
"1.6455","656","213.2","20.5","0.0125","","","","","",""
"1.8090","664","221.2","20.5","0.0200","","","","","",""
"2.0090","672","228.4","20.6","0.0250","","","","","",""
"Scope 1/1, Sample 3/5 (20240531_NSF4_Test2_S)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.8","20.3","NaN","","","","","",""
"0.0200","27","92.5","20.3","0.0005","","","","","",""
"0.0400","178","52.7","20.3","0.0000","","","","","",""
"0.0600","185","51.9","20.3","0.0030","","","","","",""
"0.1100","188","51.9","20.3","0.0150","","","","","",""
"0.2350","195","53.4","20.4","0.0180","400.24","2.60","","","","NaN"
"0.4350","225","174.4","20.4","0.0065","489.70","2.69","","","","NaN"
"0.4550","241","182.6","20.4","0.0010","336.75","2.53","","","","NaN"
"0.4835","254","187.6","20.4","0.0025","241.51","2.38","","","","NaN"
"0.5545","265","196.4","20.4","0.0065","179.22","2.25","","","","NaN"
"0.6440","275","204.5","20.4","0.0085","138.77","2.14","","","","NaN"
"0.7635","285","212.4","20.4","0.0125","","","","","",""
"0.9315","294","220.5","20.4","0.0195","","","","","",""
"1.1315","302","227.6","20.4","0.0255","","","","","",""
"1.3315","310","233.1","20.4","0.0255","","","","","",""
"1.5315","317","237.6","20.4","0.0280","","","","","",""
"Scope 1/1, Sample 4/5 (20240531_NSF4_Test2_C)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","114.5","20.3","NaN","","","","","",""
"0.0200","28","63.1","20.4","0.0005","","","","","",""
"0.0400","179","-37.8","20.4","0.0000","","","","","",""
"0.0600","184","-38.6","20.4","0.0040","","","","","",""
"0.1100","187","-38.8","20.4","0.0155","","","","","",""
"0.2350","218","-29.3","20.4","0.0040","449.48","2.65","","","","NaN"
"0.2910","248","-21.2","20.4","0.0020","241.23","2.38","","","","NaN"
"0.3195","278","-14.9","20.4","0.0010","91.61","1.96","","","","NaN"
"0.3430","308","-9.6","20.4","0.0010","76.52","1.88","","","","NaN"
"0.3790","338","-4.6","20.4","0.0010","69.45","1.84","","","","NaN"
"0.4685","367","0.0","20.4","0.0030","44.94","1.65","","","","NaN"
"0.6685","379","3.4","20.4","0.0170","-19.76","1.30","","","","NaN"
"0.8685","409","12.7","20.4","0.0065","88.68","1.95","","","","NaN"
"1.0160","439","26.1","20.4","0.0050","338.79","2.53","","","","NaN"
"1.0615","469","40.6","20.4","0.0015","467.01","2.67","","","","NaN"
"1.0815","500","55.4","20.4","0.0005","535.86","2.73","","","","NaN"
"1.1015","530","70.1","20.4","0.0005","584.35","2.77","","","","NaN"
"1.1215","560","84.7","20.4","0.0005","694.06","2.84","","","","NaN"
"1.1415","590","99.1","20.4","0.0005","768.01","2.89","","","","NaN"
"1.1615","620","113.6","20.4","0.0005","715.40","2.85","","","","NaN"
"1.1815","650","127.8","20.4","0.0005","662.29","2.82","","","","NaN"
"1.2015","681","141.4","20.4","0.0005","576.38","2.76","","","","NaN"
"1.2215","711","152.5","20.4","0.0005","476.75","2.68","","","","NaN"
"1.2415","734","160.9","20.4","0.0010","402.27","2.60","","","","NaN"
"1.2670","754","169.5","20.4","0.0015","334.63","2.52","","","","NaN"
"1.2965","774","177.2","20.4","0.0015","271.57","2.43","","","","NaN"
"1.3360","788","184.6","20.4","0.0030","207.78","2.32","","","","NaN"
"1.3955","801","193.2","20.4","0.0045","151.63","2.18","","","","NaN"
"1.4665","812","200.9","20.4","0.0060","","","","","",""
"1.5655","824","208.8","20.4","0.0085","","","","","",""
"1.7025","833","216.8","20.4","0.0150","","","","","",""
"1.8895","842","224.7","20.4","0.0210","","","","","",""
"2.0895","850","231.1","20.4","0.0245","","","","","",""
"Scope 1/1, Sample 5/5 (20240531_NSF4_Test2_PS)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","123.2","20.1","NaN","","","","","",""
"0.0200","28","93.9","20.1","0.0005","","","","","",""
"0.0400","152","58.9","20.1","0.0000","","","","","",""
"0.0600","156","58.5","20.1","0.0055","","","","","",""
"0.1100","159","58.3","20.1","0.0180","","","","","",""
"0.2350","166","59.7","20.1","0.0190","337.55","2.53","","","","NaN"
"0.4350","196","178.1","20.1","0.0065","401.22","2.60","","","","NaN"
"0.4550","208","183.9","20.1","0.0015","266.68","2.43","","","","NaN"
"0.5050","221","191.6","20.1","0.0040","204.10","2.31","","","","NaN"
"0.6030","232","201.9","20.1","0.0090","148.05","2.17","","","","NaN"
"0.7155","241","210.1","20.1","0.0130","101.11","2.00","","","","NaN"
"0.8710","250","218.4","20.1","0.0175","","","","","",""
"1.0710","257","226.1","20.1","0.0270","","","","","",""
"1.2710","265","232.0","20.1","0.0240","","","","","",""
"1.4710","272","236.7","20.1","0.0270","","","","","",""
"1.6710","279","240.6","20.1","0.0270","","","","","",""
