"Task","T2743"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","90.6","22.7","NaN","","","","","",""
"0.0200","25","-14.2","22.8","0.0010","","","","","",""
"0.0400","56","-60.2","22.8","0.0005","","","","","",""
"0.0600","81","-71.5","22.8","0.0010","","","","","",""
"0.1100","85","-72.2","22.8","0.0140","","","","","",""
"0.2350","115","-60.1","22.8","0.0040","","","","","",""
"0.3725","145","-41.1","22.8","0.0045","","","","","",""
"0.4530","175","-27.7","22.8","0.0025","","","","","",""
"0.5325","206","-17.8","22.8","0.0025","","","","","",""
"0.7070","236","-8.2","22.8","0.0060","","","","","",""
"0.9070","260","-0.2","22.8","0.0085","4.08","0.61","","","","NaN"
"1.1070","270","3.6","22.8","0.0205","86.32","1.94","","","","NaN"
"1.3070","300","23.5","22.8","0.0065","360.97","2.56","","","","NaN"
"1.4360","330","67.1","22.9","0.0045","564.21","2.75","","","","NaN"
"1.4560","360","110.5","22.9","0.0005","487.57","2.69","","","","NaN"
"1.4760","508","148.3","22.8","0.0000","479.48","2.68","","","","NaN"
"1.4960","532","156.8","22.8","0.0010","596.46","2.78","","","","NaN"
"1.5460","554","172.8","22.8","0.0025","397.50","2.60","","","","NaN"
"1.5790","568","180.3","22.8","0.0025","355.57","2.55","","","","NaN"
"1.6295","581","188.7","22.8","0.0040","217.25","2.34","","","","NaN"
"1.6935","593","196.9","22.8","0.0050","137.64","2.14","","","","NaN"
"1.7765","603","204.4","22.8","0.0080","100.92","2.00","","","","NaN"
"1.8995","613","212.7","22.8","0.0125","68.88","1.84","","","","NaN"
"2.0585","621","220.6","22.8","0.0195","47.86","1.68","","","","NaN"
"2.2585","629","227.9","22.8","0.0250","33.27","1.52","","","","NaN"
"2.4585","636","233.6","22.8","0.0280","25.33","1.40","","","","NaN"
"2.6585","643","238.1","22.8","0.0270","20.07","1.30","","","","NaN"
"2.8585","650","242.0","22.8","0.0300","","","","","",""
"3.0585","657","245.3","22.8","0.0295","","","","","",""
"3.2585","663","248.2","22.8","0.0335","","","","","",""
"3.4585","669","250.8","22.9","0.0330","","","","","",""
"3.5600","675","252.1","22.9","0.0170","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","104.8","22.9","NaN","","","","","",""
"0.0200","27","47.2","22.9","0.0005","","","","","",""
"0.0400","157","-53.6","22.9","0.0000","","","","","",""
"0.0600","160","-53.8","22.9","0.0070","","","","","",""
"0.1100","190","-47.6","22.9","0.0015","","","","","",""
"0.1305","220","-40.2","22.9","0.0005","-266.22","2.43","","","","NaN"
"0.1505","250","-33.8","22.9","0.0005","-71.77","1.86","","","","NaN"
"0.1795","281","-28.0","22.9","0.0010","137.96","2.14","","","","NaN"
"0.2430","311","-21.6","22.9","0.0020","113.19","2.05","","","","NaN"
"0.3995","341","-14.0","22.9","0.0050","44.81","1.65","","","","NaN"
"0.5995","371","-5.3","22.9","0.0065","13.42","1.13","","","","NaN"
"0.7995","401","3.7","22.9","0.0065","67.04","1.83","","","","NaN"
"0.9700","432","15.3","22.9","0.0055","200.28","2.30","","","","NaN"
"1.0470","462","28.0","22.9","0.0025","305.24","2.48","","","","NaN"
"1.0670","492","39.5","22.9","0.0005","351.94","2.55","","","","NaN"
"1.0870","522","50.2","22.9","0.0005","367.00","2.56","","","","NaN"
"1.1070","552","60.1","22.9","0.0005","408.72","2.61","","","","NaN"
"1.1270","582","69.1","22.9","0.0005","467.87","2.67","","","","NaN"
"1.1470","613","77.5","22.9","0.0005","369.98","2.57","","","","NaN"
"1.1680","643","85.3","22.9","0.0005","339.40","2.53","","","","NaN"
"1.1925","673","93.0","22.9","0.0010","341.40","2.53","","","","NaN"
"1.2220","703","102.3","22.9","0.0010","384.65","2.59","","","","NaN"
"1.2475","733","113.0","22.9","0.0010","444.82","2.65","","","","NaN"
"1.2675","764","123.5","22.9","0.0005","494.74","2.69","","","","NaN"
"1.2875","794","134.5","22.9","0.0005","506.41","2.70","","","","NaN"
"1.3075","824","145.1","22.9","0.0005","463.90","2.67","","","","NaN"
"1.3275","850","154.3","22.8","0.0010","393.77","2.60","","","","NaN"
"1.3475","871","161.5","22.9","0.0010","343.59","2.54","","","","NaN"
"1.3760","890","170.1","22.9","0.0015","288.21","2.46","","","","NaN"
"1.4080","905","177.4","22.9","0.0020","236.51","2.37","","","","NaN"
"1.4540","919","185.5","22.9","0.0035","181.79","2.26","","","","NaN"
"1.5145","930","193.4","22.9","0.0055","136.91","2.14","","","","NaN"
"1.5965","940","201.2","22.9","0.0080","","","","","",""
"1.7115","950","209.4","22.9","0.0110","","","","","",""
"1.8610","959","217.1","22.9","0.0165","","","","","",""
"2.0610","967","224.7","22.9","0.0255","","","","","",""
"2.2610","974","230.6","22.9","0.0285","","","","","",""
