"Task","T2742"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","166.8","22.1"
"2","166.8","22.1"
"3","166.8","22.1"
"4","166.9","22.1"
"5","166.9","22.1"
"6","166.9","22.1"
"7","166.9","22.1"
"8","166.9","22.1"
"9","166.9","22.1"
"10","167.0","22.1"
"11","167.0","22.1"
"12","167.0","22.1"
"13","167.0","22.1"
"14","167.0","22.1"
"15","167.0","22.1"
"16","167.0","22.1"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-6.1","22.2"
"2","-6.1","22.2"
"3","-6.1","22.2"
"4","-6.1","22.2"
"5","-6.1","22.2"
"6","-6.1","22.2"
"7","-6.1","22.2"
"8","-6.1","22.2"
"9","-6.1","22.2"
"10","-6.0","22.2"
"11","-6.0","22.2"
"12","-6.0","22.2"
"13","-6.1","22.3"
"14","-6.1","22.3"
"15","-6.1","22.3"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-177.8","22.3"
"2","-177.8","22.3"
"3","-177.9","22.3"
"4","-177.9","22.3"
"5","-177.9","22.3"
"6","-177.9","22.3"
"7","-177.9","22.3"
"8","-177.9","22.3"
"9","-177.9","22.3"
"10","-177.9","22.3"
"11","-177.9","22.3"
"12","-177.9","22.3"
"13","-177.9","22.3"
"14","-177.9","22.3"
"15","-177.9","22.3"
