"Task","T2835"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","169.2","22.3"
"2","169.2","22.3"
"3","169.3","22.2"
"4","169.3","22.3"
"5","169.3","22.3"
"6","169.3","22.2"
"7","169.3","22.2"
"8","169.3","22.3"
"9","169.4","22.3"
"10","169.4","22.2"
"11","169.4","22.2"
"12","169.4","22.2"
"13","169.4","22.2"
"14","169.5","22.2"
"15","169.4","22.2"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-3.5","22.1"
"2","-3.5","22.1"
"3","-3.5","22.1"
"4","-3.4","22.1"
"5","-3.5","22.1"
"6","-3.5","22.1"
"7","-3.5","22.1"
"8","-3.5","22.1"
"9","-3.5","22.1"
"10","-3.4","22.1"
"11","-3.4","22.1"
"12","-3.4","22.1"
"13","-3.4","22.1"
"14","-3.4","22.1"
"15","-3.4","22.1"
"16","-3.4","22.1"
"17","-3.4","22.1"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-177.0","22.0"
"2","-176.9","22.0"
"3","-177.0","22.0"
"4","-177.0","22.0"
"5","-177.0","22.0"
"6","-177.0","22.0"
"7","-177.0","22.0"
"8","-177.0","22.0"
"9","-177.0","22.0"
"10","-177.0","22.0"
"11","-177.1","22.0"
"12","-177.1","22.0"
"13","-177.1","22.0"
"14","-177.1","22.0"
"15","-177.1","22.0"
