"Task","T2837"
"Scope 1/1, Sample 1/5 (junk)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","104.0","21.3","NaN","","","","","",""
"0.0200","28","38.2","21.3","0.0005","","","","","",""
"0.0400","152","-62.2","21.3","0.0000","","","","","",""
"0.0600","155","-62.4","21.3","0.0065","","","","","",""
"0.1100","185","-57.2","21.3","0.0015","","","","","",""
"0.1390","215","-50.6","21.3","0.0010","171.25","2.23","","","","NaN"
"0.1590","246","-44.5","21.3","0.0005","10.46","1.02","","","","NaN"
"0.1790","276","-39.1","21.3","0.0005","148.32","2.17","","","","NaN"
"0.2110","306","-33.1","21.2","0.0010","145.65","2.16","","","","NaN"
"0.2755","336","-26.0","21.2","0.0020","119.18","2.08","","","","NaN"
"0.3965","366","-18.2","21.2","0.0040","69.83","1.84","","","","NaN"
"0.5965","397","-10.2","21.2","0.0065","30.76","1.49","","","","NaN"
"0.7965","427","-1.3","21.2","0.0065","33.60","1.53","","","","NaN"
"0.9600","457","6.8","21.2","0.0055","74.34","1.87","","","","NaN"
"1.1045","487","16.5","21.2","0.0050","155.74","2.19","","","","NaN"
"1.1925","517","27.0","21.2","0.0030","252.52","2.40","","","","NaN"
"1.2300","548","37.7","21.2","0.0010","334.16","2.52","","","","NaN"
"1.2500","578","47.7","21.2","0.0005","372.43","2.57","","","","NaN"
"1.2700","608","57.5","21.2","0.0005","407.52","2.61","","","","NaN"
"1.2900","638","67.2","21.2","0.0005","487.79","2.69","","","","NaN"
"1.3100","668","76.6","21.2","0.0005","491.12","2.69","","","","NaN"
"1.3300","698","86.0","21.2","0.0005","465.27","2.67","","","","NaN"
"1.3500","729","95.4","21.1","0.0005","470.44","2.67","","","","NaN"
"1.3700","759","104.7","21.1","0.0005","491.67","2.69","","","","NaN"
"1.3900","789","114.4","21.1","0.0005","519.80","2.72","","","","NaN"
"1.4100","819","125.0","21.1","0.0005","541.54","2.73","","","","NaN"
"1.4300","849","136.1","21.1","0.0005","535.45","2.73","","","","NaN"
"1.4500","880","147.6","21.1","0.0005","488.23","2.69","","","","NaN"
"1.4700","906","157.2","21.1","0.0010","417.59","2.62","","","","NaN"
"1.4900","929","165.3","21.1","0.0010","359.16","2.56","","","","NaN"
"1.5135","948","172.7","21.1","0.0010","310.45","2.49","","","","NaN"
"1.5460","965","180.6","21.1","0.0020","252.51","2.40","","","","NaN"
"1.5880","979","188.5","21.1","0.0030","195.52","2.29","","","","NaN"
"1.6435","992","196.4","21.1","0.0045","","","","","",""
"1.7175","1002","204.2","21.1","0.0070","","","","","",""
"1.8190","1012","212.2","21.1","0.0100","","","","","",""
"1.9580","1022","220.2","21.1","0.0145","","","","","",""
"2.1475","1031","228.2","21.1","0.0220","","","","","",""
"Scope 1/1, Sample 2/5 (BT 1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.5","21.1","NaN","","","","","",""
"0.0200","28","38.9","21.1","0.0005","","","","","",""
"0.0400","151","-65.9","21.1","0.0000","","","","","",""
"0.0600","154","-66.2","21.1","0.0060","","","","","",""
"0.1100","185","-61.2","21.0","0.0015","","","","","",""
"0.1425","215","-54.6","21.0","0.0010","258.77","2.41","","","","NaN"
"0.1625","245","-48.5","21.0","0.0005","48.35","1.68","","","","NaN"
"0.1825","275","-43.0","21.0","0.0005","149.05","2.17","","","","NaN"
"0.2140","305","-37.0","21.0","0.0010","147.84","2.17","","","","NaN"
"0.2750","336","-29.5","21.0","0.0020","125.63","2.10","","","","NaN"
"0.3755","366","-21.9","21.0","0.0035","82.16","1.91","","","","NaN"
"0.5455","396","-14.1","21.0","0.0055","37.77","1.58","","","","NaN"
"0.7455","426","-5.8","21.0","0.0065","22.96","1.36","","","","NaN"
"0.9455","456","3.1","21.0","0.0065","58.78","1.77","","","","NaN"
"1.1150","487","12.7","21.0","0.0055","152.68","2.18","","","","NaN"
"1.2245","517","24.7","21.0","0.0035","281.52","2.45","","","","NaN"
"1.2625","547","36.8","21.0","0.0015","384.13","2.58","","","","NaN"
"1.2825","577","48.5","21.0","0.0005","451.29","2.65","","","","NaN"
"1.3025","607","60.2","21.0","0.0005","495.75","2.70","","","","NaN"
"1.3225","638","72.0","20.9","0.0005","599.37","2.78","","","","NaN"
"1.3425","668","83.8","20.9","0.0005","634.03","2.80","","","","NaN"
"1.3625","698","96.2","20.9","0.0005","637.71","2.80","","","","NaN"
"1.3825","728","108.8","20.9","0.0005","662.73","2.82","","","","NaN"
"1.4025","758","122.3","20.9","0.0005","666.74","2.82","","","","NaN"
"1.4225","788","135.8","20.9","0.0005","621.04","2.79","","","","NaN"
"1.4425","819","148.8","20.9","0.0005","535.01","2.73","","","","NaN"
"1.4625","849","159.3","20.9","0.0005","442.71","2.65","","","","NaN"
"1.4825","875","167.3","20.9","0.0010","380.32","2.58","","","","NaN"
"1.5090","897","175.1","20.9","0.0010","316.61","2.50","","","","NaN"
"1.5460","916","183.6","20.9","0.0020","243.69","2.39","","","","NaN"
"1.5910","930","191.2","20.9","0.0030","183.21","2.26","","","","NaN"
"1.6540","943","199.3","20.9","0.0045","","","","","",""
"1.7360","955","207.1","20.9","0.0070","","","","","",""
"1.8500","966","215.1","20.9","0.0110","","","","","",""
"2.0080","975","223.1","20.9","0.0180","","","","","",""
"2.2080","984","230.6","20.9","0.0235","","","","","",""
"Scope 1/1, Sample 3/5 (BT 1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.6","20.6","NaN","","","","","",""
"0.0200","28","39.3","20.6","0.0005","","","","","",""
"0.0400","154","-66.9","20.6","0.0000","","","","","",""
"0.0600","157","-67.1","20.6","0.0060","","","","","",""
"0.1100","188","-61.7","20.6","0.0015","","","","","",""
"0.1375","218","-55.5","20.6","0.0010","215.33","2.33","","","","NaN"
"0.1575","248","-49.7","20.6","0.0005","48.31","1.68","","","","NaN"
"0.1790","278","-44.1","20.6","0.0005","153.81","2.19","","","","NaN"
"0.2135","308","-37.7","20.6","0.0010","150.46","2.18","","","","NaN"
"0.2745","338","-30.1","20.6","0.0020","127.32","2.10","","","","NaN"
"0.3675","369","-22.4","20.6","0.0030","86.15","1.94","","","","NaN"
"0.5145","399","-14.8","20.6","0.0050","43.66","1.64","","","","NaN"
"0.7145","429","-6.8","20.6","0.0065","21.14","1.33","","","","NaN"
"0.9145","459","1.5","20.6","0.0065","47.93","1.68","","","","NaN"
"1.0990","490","11.4","20.6","0.0060","141.83","2.15","","","","NaN"
"1.2150","520","23.2","20.6","0.0040","273.70","2.44","","","","NaN"
"1.2560","550","35.3","20.6","0.0015","375.61","2.57","","","","NaN"
"1.2760","580","46.9","20.6","0.0005","443.72","2.65","","","","NaN"
"1.2960","610","58.4","20.6","0.0005","486.44","2.69","","","","NaN"
"1.3160","640","70.0","20.6","0.0005","585.78","2.77","","","","NaN"
"1.3360","671","82.0","20.6","0.0005","626.68","2.80","","","","NaN"
"1.3560","701","94.1","20.6","0.0005","622.76","2.79","","","","NaN"
"1.3760","731","106.4","20.6","0.0005","646.30","2.81","","","","NaN"
"1.3960","761","119.4","20.6","0.0005","656.14","2.82","","","","NaN"
"1.4160","791","132.5","20.6","0.0005","624.08","2.80","","","","NaN"
"1.4360","822","145.7","20.6","0.0005","549.54","2.74","","","","NaN"
"1.4560","852","156.7","20.6","0.0005","458.32","2.66","","","","NaN"
"1.4760","879","165.3","20.6","0.0005","389.46","2.59","","","","NaN"
"1.5000","900","172.7","20.6","0.0010","331.12","2.52","","","","NaN"
"1.5350","919","181.3","20.6","0.0020","259.14","2.41","","","","NaN"
"1.5770","935","189.1","20.6","0.0025","196.80","2.29","","","","NaN"
"1.6330","949","196.8","20.6","0.0040","","","","","",""
"1.7115","960","204.9","20.6","0.0070","","","","","",""
"1.8145","971","212.6","20.6","0.0095","","","","","",""
"1.9610","981","220.8","20.6","0.0155","","","","","",""
"2.1565","989","228.6","20.6","0.0240","","","","","",""
"Scope 1/1, Sample 4/5 (BT 3/4)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.5","20.4","NaN","","","","","",""
"0.0200","28","39.7","20.4","0.0005","","","","","",""
"0.0400","160","-67.1","20.4","0.0000","","","","","",""
"0.0600","163","-67.3","20.4","0.0070","","","","","",""
"0.1100","193","-62.3","20.4","0.0015","","","","","",""
"0.1420","223","-55.8","20.4","0.0010","268.96","2.43","","","","NaN"
"0.1620","253","-50.0","20.4","0.0005","55.30","1.74","","","","NaN"
"0.1820","284","-44.5","20.4","0.0005","149.31","2.17","","","","NaN"
