"Task","T2853"
"Scope 1/1, Sample 1/5 (junk1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","69.7","21.3","NaN","","","","","",""
"0.0200","28","-23.2","21.4","0.0005","","","","","",""
"0.0400","58","-64.2","21.4","0.0005","","","","","",""
"0.0600","80","-73.6","21.4","0.0010","","","","","",""
"0.1100","83","-74.2","21.4","0.0150","","","","","",""
"0.2350","114","-63.3","21.4","0.0040","","","","","",""
"0.4040","144","-43.6","21.4","0.0055","","","","","",""
"0.5060","174","-29.1","21.3","0.0035","","","","","",""
"0.5980","204","-18.4","21.3","0.0030","","","","","",""
"0.7680","234","-9.0","21.3","0.0055","","","","","",""
"0.9680","255","-1.8","21.3","0.0095","22.70","1.36","","","","NaN"
"1.1680","270","3.4","21.3","0.0130","150.13","2.18","","","","NaN"
"1.3680","300","26.8","21.3","0.0065","493.80","2.69","","","","NaN"
"1.4615","330","86.4","21.3","0.0030","577.45","2.76","","","","NaN"
"1.4815","361","142.2","21.3","0.0005","470.32","2.67","","","","NaN"
"1.5015","500","170.1","21.3","0.0000","544.77","2.74","","","","NaN"
"1.5215","518","176.6","21.3","0.0010","539.56","2.73","","","","NaN"
"1.5715","535","188.2","21.3","0.0030","390.12","2.59","","","","NaN"
"1.6195","548","196.1","21.3","0.0035","292.70","2.47","","","","NaN"
"1.6885","560","204.6","21.3","0.0055","150.19","2.18","","","","NaN"
"1.7735","570","212.2","21.3","0.0090","96.61","1.99","","","","NaN"
"1.9010","579","220.6","21.3","0.0140","67.10","1.83","","","","NaN"
"2.0615","588","228.3","21.3","0.0190","46.27","1.67","","","","NaN"
"2.2615","596","235.4","21.3","0.0265","32.28","1.51","","","","NaN"
"2.4615","603","240.9","21.3","0.0300","24.71","1.39","","","","NaN"
"2.6615","610","245.4","21.3","0.0305","19.75","1.30","","","","NaN"
"2.8615","616","249.2","21.3","0.0345","","","","","",""
"3.0615","622","252.5","21.3","0.0335","","","","","",""
"3.2615","628","255.4","21.3","0.0325","","","","","",""
"3.4615","634","258.0","21.3","0.0310","","","","","",""
"3.5600","640","259.2","21.3","0.0160","","","","","",""
"Scope 1/1, Sample 2/5 (bt1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","119.4","22.2","NaN","","","","","",""
"0.0200","28","70.3","22.3","0.0005","","","","","",""
"0.0400","179","-30.3","22.1","0.0000","","","","","",""
"0.0600","184","-31.1","22.1","0.0040","","","","","",""
"0.1100","187","-31.3","22.1","0.0155","","","","","",""
"0.2350","217","-21.7","22.1","0.0040","483.71","2.68","","","","NaN"
"0.2890","248","-13.7","22.1","0.0020","269.57","2.43","","","","NaN"
"0.3165","278","-7.3","22.1","0.0010","88.69","1.95","","","","NaN"
"0.3390","308","-1.7","22.1","0.0010","70.29","1.85","","","","NaN"
"0.3675","320","-0.1","22.0","0.0025","55.15","1.74","","","","NaN"
"0.4385","326","0.7","22.0","0.0110","22.76","1.36","","","","NaN"
"0.6160","357","8.6","22.0","0.0060","-14.12","1.15","","","","NaN"
"0.7790","387","19.6","22.0","0.0055","258.04","2.41","","","","NaN"
"0.8575","417","34.0","22.0","0.0025","575.26","2.76","","","","NaN"
"0.8775","447","48.9","22.0","0.0005","682.41","2.83","","","","NaN"
"0.8975","477","65.7","22.0","0.0005","749.80","2.87","","","","NaN"
"0.9175","508","85.4","21.9","0.0005","812.28","2.91","","","","NaN"
"0.9375","538","108.0","21.9","0.0005","1062.95","3.03","","","","NaN"
"0.9575","568","132.7","21.9","0.0005","931.90","2.97","","","","NaN"
"0.9775","598","152.8","21.9","0.0005","730.22","2.86","","","","NaN"
"0.9975","627","165.1","21.9","0.0005","578.99","2.76","","","","NaN"
"1.0190","648","173.3","21.9","0.0010","485.75","2.69","","","","NaN"
"1.0525","666","182.5","21.9","0.0020","354.73","2.55","","","","NaN"
"1.0935","682","191.1","21.8","0.0025","242.64","2.38","","","","NaN"
"1.1435","694","198.5","21.8","0.0040","","","","","",""
"1.2190","705","207.0","21.8","0.0070","","","","","",""
"1.3140","715","214.8","21.8","0.0095","","","","","",""
"1.4470","724","222.8","21.8","0.0145","","","","","",""
"1.6290","732","230.7","21.8","0.0215","","","","","",""
"Scope 1/1, Sample 3/5 (bt1/2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.6","21.8","NaN","","","","","",""
"0.0200","28","69.5","21.9","0.0005","","","","","",""
"0.0400","179","-28.7","21.8","0.0000","","","","","",""
"0.0600","186","-29.9","21.8","0.0025","","","","","",""
"0.1100","190","-30.2","21.8","0.0135","","","","","",""
"0.2350","220","-21.4","21.8","0.0040","284.17","2.45","","","","NaN"
"0.2990","250","-13.7","21.8","0.0020","136.66","2.14","","","","NaN"
"0.3385","280","-7.4","21.8","0.0015","69.26","1.84","","","","NaN"
"0.3760","310","-1.4","21.7","0.0010","51.44","1.71","","","","NaN"
"0.4260","328","1.0","21.7","0.0030","23.57","1.37","","","","NaN"
"0.5510","338","3.4","21.7","0.0125","-34.12","1.53","","","","NaN"
"0.7510","368","13.9","21.7","0.0065","168.13","2.23","","","","NaN"
"0.8675","398","29.2","21.7","0.0040","638.99","2.81","","","","NaN"
"0.8920","429","46.4","21.7","0.0010","769.24","2.89","","","","NaN"
"0.9120","459","66.3","21.7","0.0005","818.76","2.91","","","","NaN"
"0.9320","489","90.9","21.7","0.0005","788.86","2.90","","","","NaN"
"0.9520","519","119.3","21.7","0.0005","1116.23","3.05","","","","NaN"
"0.9720","550","146.2","21.7","0.0005","872.98","2.94","","","","NaN"
"0.9920","580","163.0","21.6","0.0005","686.24","2.84","","","","NaN"
"1.0120","602","171.6","21.6","0.0010","588.74","2.77","","","","NaN"
"1.0485","622","182.2","21.6","0.0020","411.63","2.61","","","","NaN"
"1.0895","636","190.5","21.6","0.0030","271.90","2.43","","","","NaN"
"1.1455","649","198.9","21.6","0.0045","","","","","",""
"1.2180","661","207.0","21.6","0.0060","","","","","",""
"1.3150","671","214.7","21.6","0.0100","","","","","",""
"1.4545","680","222.9","21.6","0.0155","","","","","",""
"1.6385","689","230.9","21.6","0.0210","","","","","",""
"Scope 1/1, Sample 4/5 (bt3/4)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","116.6","21.6","NaN","","","","","",""
"0.0200","28","68.4","21.6","0.0005","","","","","",""
"0.0400","179","-30.3","21.6","0.0000","","","","","",""
"0.0600","187","-31.5","21.6","0.0025","","","","","",""
"0.1100","190","-31.7","21.6","0.0170","","","","","",""
"0.2350","220","-22.5","21.6","0.0040","375.42","2.57","","","","NaN"
"0.2940","250","-14.8","21.6","0.0020","187.79","2.27","","","","NaN"
"0.3285","280","-8.5","21.6","0.0010","78.22","1.89","","","","NaN"
"0.3595","311","-2.5","21.6","0.0010","59.86","1.78","","","","NaN"
"0.3990","328","-0.1","21.5","0.0025","31.81","1.50","","","","NaN"
"0.4980","345","3.2","21.5","0.0060","-41.61","1.62","","","","NaN"
"0.6980","375","11.6","21.5","0.0065","4.41","0.64","","","","NaN"
"0.8790","405","28.1","21.5","0.0060","642.79","2.81","","","","NaN"
"0.9195","435","50.2","21.5","0.0015","829.21","2.92","","","","NaN"
"0.9395","466","77.3","21.5","0.0005","748.55","2.87","","","","NaN"
"0.9595","496","110.4","21.5","0.0005","669.60","2.83","","","","NaN"
"0.9795","526","141.9","21.5","0.0005","1001.48","3.00","","","","NaN"
"0.9995","556","162.1","21.5","0.0005","733.92","2.87","","","","NaN"
"1.0195","579","171.1","21.5","0.0010","670.87","2.83","","","","NaN"
"1.0595","598","182.5","21.5","0.0020","444.04","2.65","","","","NaN"
"1.1035","614","191.2","21.5","0.0030","281.09","2.45","","","","NaN"
"1.1615","626","199.6","21.5","0.0050","","","","","",""
"1.2380","637","207.6","21.5","0.0070","","","","","",""
"1.3435","648","215.8","21.5","0.0100","","","","","",""
"1.4830","656","223.5","21.5","0.0170","","","","","",""
"1.6815","664","231.6","21.5","0.0235","","","","","",""
"Scope 1/1, Sample 5/5 (bt3/4)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.3","21.4","NaN","","","","","",""
"0.0200","28","69.3","21.4","0.0005","","","","","",""
"0.0400","179","-28.4","21.4","0.0000","","","","","",""
"0.0600","187","-29.8","21.4","0.0025","","","","","",""
"0.1100","190","-30.1","21.4","0.0145","","","","","",""
"0.2350","221","-21.5","21.4","0.0040","233.29","2.37","","","","NaN"
"0.3025","251","-13.8","21.4","0.0025","130.80","2.12","","","","NaN"
"0.3455","281","-7.5","21.4","0.0015","70.26","1.85","","","","NaN"
"0.3870","311","-1.4","21.4","0.0015","47.10","1.67","","","","NaN"
"0.4425","340","3.2","21.3","0.0020","7.70","0.89","","","","NaN"
"0.5815","370","9.6","21.3","0.0045","-54.83","1.74","","","","NaN"
"0.7815","400","19.9","21.3","0.0065","224.17","2.35","","","","NaN"
"0.9210","430","45.8","21.3","0.0045","809.86","2.91","","","","NaN"
"0.9410","460","78.0","21.3","0.0005","696.36","2.84","","","","NaN"
"0.9610","490","116.1","21.3","0.0005","596.01","2.78","","","","NaN"
"0.9810","521","148.9","21.3","0.0005","700.57","2.85","","","","NaN"
"1.0010","551","166.6","21.3","0.0005","703.05","2.85","","","","NaN"
"1.0210","572","174.4","21.3","0.0010","701.38","2.85","","","","NaN"
"1.0675","590","186.1","21.3","0.0025","417.18","2.62","","","","NaN"
"1.1165","604","194.5","21.3","0.0035","246.11","2.39","","","","NaN"
"1.1855","616","203.2","21.3","0.0055","","","","","",""
"1.2705","626","211.0","21.3","0.0080","","","","","",""
"1.3895","636","219.1","21.3","0.0120","","","","","",""
"1.5510","645","227.0","21.3","0.0185","","","","","",""
"1.7510","653","234.3","21.3","0.0245","","","","","",""
