"Task","T2873"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","173.2","22.6"
"2","173.2","22.6"
"3","173.2","22.6"
"4","173.3","22.6"
"5","173.3","22.6"
"6","173.3","22.6"
"7","173.4","22.6"
"8","173.4","22.6"
"9","173.3","22.6"
"10","173.4","22.6"
"11","173.5","22.6"
"12","173.4","22.6"
"13","173.4","22.6"
"14","173.5","22.6"
"15","173.5","22.6"
"16","173.5","22.6"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","0.2","22.5"
"2","0.2","22.5"
"3","0.2","22.5"
"4","0.3","22.5"
"5","0.3","22.5"
"6","0.2","22.5"
"7","0.2","22.5"
"8","0.2","22.5"
"9","0.2","22.5"
"10","0.2","22.5"
"11","0.2","22.5"
"12","0.2","22.5"
"13","0.2","22.5"
"14","0.3","22.5"
"15","0.3","22.5"
"16","0.2","22.5"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-172.0","22.5"
"2","-172.0","22.5"
"3","-172.0","22.5"
"4","-172.1","22.5"
"5","-172.1","22.5"
"6","-172.1","22.5"
"7","-172.1","22.5"
"8","-172.1","22.5"
"9","-172.0","22.5"
"10","-172.0","22.5"
"11","-172.1","22.5"
"12","-172.1","22.5"
"13","-172.1","22.5"
"14","-172.2","22.5"
"15","-172.1","22.5"
"16","-172.1","22.5"
