"Task","T2874"
"Scope 1/1, Sample 1/2 (JUNK)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","32.6","22.6","NaN","","","","","",""
"0.0200","28","-29.0","22.5","0.0005","","","","","",""
"0.0400","58","-53.4","22.5","0.0005","","","","","",""
"0.0730","64","-55.6","22.5","0.0050","","","","","",""
"0.1555","68","-56.0","22.5","0.0215","","","","","",""
"0.3555","98","-36.1","22.5","0.0065","","","","","",""
"0.4850","128","-22.0","22.5","0.0045","-4.61","0.66","","","","NaN"
"0.6185","158","-10.8","22.5","0.0045","6.15","0.79","","","","NaN"
"0.8185","189","0.8","22.5","0.0065","166.74","2.22","","","","NaN"
"1.0185","219","20.5","22.5","0.0065","402.45","2.60","","","","NaN"
"1.1510","249","109.8","22.5","0.0045","459.51","2.66","","","","NaN"
"1.1710","388","174.2","22.5","0.0000","442.37","2.65","","","","NaN"
"1.1910","405","180.3","22.5","0.0010","499.61","2.70","","","","NaN"
"1.2410","422","191.4","22.5","0.0030","374.81","2.57","","","","NaN"
"1.2905","436","199.4","22.5","0.0035","293.84","2.47","","","","NaN"
"1.3590","448","207.4","22.5","0.0060","182.84","2.26","","","","NaN"
"1.4535","458","215.5","22.5","0.0090","91.36","1.96","","","","NaN"
"1.5805","468","223.5","22.5","0.0130","64.42","1.81","","","","NaN"
"1.7540","477","231.5","22.5","0.0195","43.77","1.64","","","","NaN"
"1.9540","485","238.4","22.5","0.0245","31.06","1.49","","","","NaN"
"2.1540","493","243.8","22.5","0.0255","24.00","1.38","","","","NaN"
"2.3540","500","248.1","22.5","0.0310","19.80","1.30","","","","NaN"
"2.5540","506","251.9","22.5","0.0335","16.98","1.23","","","","NaN"
"2.7540","513","255.1","22.5","0.0285","14.78","1.17","","","","NaN"
"2.9540","519","258.0","22.5","0.0330","","","","","",""
"3.1540","526","260.6","22.5","0.0310","","","","","",""
"3.3540","532","262.8","22.5","0.0355","","","","","",""
"3.5540","537","264.9","22.5","0.0370","","","","","",""
"3.5600","540","265.0","22.5","0.0015","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","115.2","22.6","NaN","","","","","",""
"0.0200","28","60.7","22.5","0.0005","","","","","",""
"0.0400","172","-39.6","22.5","0.0000","","","","","",""
"0.0600","175","-40.1","22.5","0.0060","","","","","",""
"0.1100","179","-40.2","22.5","0.0140","","","","","",""
"0.2350","209","-28.0","22.5","0.0040","585.40","2.77","","","","NaN"
"0.2685","239","-18.6","22.5","0.0010","262.67","2.42","","","","NaN"
"0.2885","269","-11.9","22.5","0.0005","107.94","2.03","","","","NaN"
"0.3085","300","-6.5","22.5","0.0005","97.84","1.99","","","","NaN"
"0.3450","330","-1.5","22.5","0.0010","97.25","1.99","","","","NaN"
"0.4360","352","1.6","22.5","0.0040","73.07","1.86","","","","NaN"
"0.6360","382","8.3","22.5","0.0065","0.17","-0.76","","","","NaN"
"0.8360","412","16.5","22.5","0.0065","35.76","1.55","","","","NaN"
"1.0245","442","27.9","22.5","0.0060","200.73","2.30","","","","NaN"
"1.1155","473","41.3","22.5","0.0030","354.76","2.55","","","","NaN"
"1.1380","503","54.2","22.5","0.0010","421.90","2.63","","","","NaN"
"1.1580","533","66.7","22.5","0.0005","474.02","2.68","","","","NaN"
"1.1780","563","79.0","22.5","0.0005","516.71","2.71","","","","NaN"
"1.1980","594","91.0","22.5","0.0005","633.85","2.80","","","","NaN"
"1.2180","624","102.7","22.5","0.0005","587.86","2.77","","","","NaN"
"1.2380","654","114.1","22.5","0.0005","585.13","2.77","","","","NaN"
"1.2580","684","125.4","22.5","0.0005","579.73","2.76","","","","NaN"
"1.2780","714","137.1","22.5","0.0005","556.13","2.75","","","","NaN"
"1.2980","745","148.4","22.5","0.0005","500.97","2.70","","","","NaN"
"1.3180","775","158.9","22.5","0.0005","432.95","2.64","","","","NaN"
"1.3380","797","166.5","22.5","0.0010","372.91","2.57","","","","NaN"
"1.3675","820","176.5","22.5","0.0015","307.24","2.49","","","","NaN"
"1.3940","836","183.0","22.5","0.0015","261.53","2.42","","","","NaN"
"1.4390","851","191.7","22.5","0.0030","199.89","2.30","","","","NaN"
"1.4910","865","199.3","22.5","0.0035","","","","","",""
"1.5640","877","207.2","22.5","0.0065","","","","","",""
"1.6640","887","215.1","22.5","0.0105","","","","","",""
"1.8025","896","223.2","22.5","0.0150","","","","","",""
"1.9880","904","231.1","22.5","0.0225","","","","","",""
