"Task","T2923"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","172.7","22.2"
"2","172.7","22.2"
"3","172.8","22.2"
"4","172.8","22.2"
"5","172.8","22.2"
"6","172.7","22.2"
"7","172.8","22.2"
"8","172.8","22.2"
"9","172.9","22.2"
"10","172.9","22.2"
"11","172.8","22.2"
"12","172.9","22.2"
"13","172.9","22.2"
"14","172.9","22.2"
"15","172.9","22.2"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","0.0","22.1"
"2","0.0","22.1"
"3","0.0","22.1"
"4","0.0","22.1"
"5","0.0","22.1"
"6","0.0","22.1"
"7","0.0","22.1"
"8","0.0","22.1"
"9","0.0","22.1"
"10","0.0","22.1"
"11","0.0","22.1"
"12","0.0","22.1"
"13","0.0","22.1"
"14","0.0","22.1"
"15","0.0","22.1"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-171.9","22.0"
"2","-171.9","22.0"
"3","-172.0","22.0"
"4","-172.0","22.0"
"5","-172.0","22.0"
"6","-172.0","22.0"
"7","-172.0","22.0"
"8","-172.0","22.0"
"9","-172.1","22.0"
"10","-172.0","22.0"
"11","-172.1","22.0"
"12","-172.1","22.0"
"13","-172.1","22.0"
"14","-172.1","22.0"
"15","-172.1","22.0"
"16","-172.1","22.0"
