"Task","T2925"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","66.8","22.6","NaN","","","","","",""
"0.0200","27","15.7","22.6","0.0005","","","","","",""
"0.0400","58","-17.0","22.6","0.0005","","","","","",""
"0.0600","88","-34.0","22.6","0.0005","","","","","",""
"0.0960","94","-35.9","22.6","0.0060","","","","","",""
"0.1860","97","-36.5","22.6","0.0280","","","","","",""
"0.3860","127","-23.9","22.6","0.0065","","","","","",""
"0.5860","158","-12.7","22.6","0.0065","1.27","0.10","","","","NaN"
"0.7860","188","-1.7","22.6","0.0065","84.93","1.93","","","","NaN"
"0.9860","218","11.3","22.6","0.0065","301.73","2.48","","","","NaN"
"1.1860","248","69.9","22.6","0.0065","511.42","2.71","","","","NaN"
"1.2060","278","130.5","22.6","0.0005","415.64","2.62","","","","NaN"
"1.2260","405","166.4","22.6","0.0000","446.34","2.65","","","","NaN"
"1.2460","427","175.8","22.6","0.0010","482.28","2.68","","","","NaN"
"1.2960","444","187.5","22.6","0.0030","329.58","2.52","","","","NaN"
"1.3645","460","198.5","22.6","0.0045","290.67","2.46","","","","NaN"
"1.4375","472","206.6","22.6","0.0060","149.64","2.18","","","","NaN"
"1.5425","481","215.0","22.6","0.0115","88.02","1.94","","","","NaN"
"1.6810","490","223.1","22.6","0.0150","59.52","1.77","","","","NaN"
"1.8675","498","231.1","22.6","0.0220","39.58","1.60","","","","NaN"
"2.0675","506","237.5","22.6","0.0240","28.91","1.46","","","","NaN"
"2.2675","514","242.6","22.6","0.0265","22.74","1.36","","","","NaN"
"2.4675","520","246.8","22.6","0.0310","19.03","1.28","","","","NaN"
"2.6675","527","250.4","22.6","0.0290","16.28","1.21","","","","NaN"
"2.8675","534","253.6","22.6","0.0295","","","","","",""
"3.0675","540","256.3","22.6","0.0330","","","","","",""
"3.2675","546","258.9","22.6","0.0310","","","","","",""
"3.4675","553","261.0","22.6","0.0300","","","","","",""
"3.5600","558","262.0","22.6","0.0200","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","126.0","22.5","NaN","","","","","",""
"0.0200","28","79.9","22.6","0.0005","","","","","",""
"0.0400","179","-17.6","22.6","0.0000","","","","","",""
"0.0600","182","-18.1","22.6","0.0065","","","","","",""
"0.1100","185","-18.4","22.6","0.0155","","","","","",""
"0.2350","216","-11.0","22.6","0.0040","116.42","2.07","","","","NaN"
