"Task","T2941"
"Scope 1/1, Sample 1/2 (JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","-42.2","22.5","NaN","","","","","",""
"0.0200","26","-83.3","22.6","0.0010","","","","","",""
"0.0400","35","-86.7","22.6","0.0020","","","","","",""
"0.0900","38","-87.3","22.6","0.0145","","","","","",""
"0.2150","69","-72.7","22.5","0.0040","","","","","",""
"0.3095","99","-55.1","22.5","0.0030","","","","","",""
"0.3635","129","-40.0","22.5","0.0020","","","","","",""
"0.4015","159","-29.6","22.5","0.0015","","","","","",""
"0.4615","188","-21.3","22.5","0.0020","31.40","1.50","","","","NaN"
"0.6115","218","-12.3","22.5","0.0050","-14.29","1.15","","","","NaN"
"0.8115","248","-0.7","22.5","0.0065","227.22","2.36","","","","NaN"
"1.0115","279","58.2","22.5","0.0065","587.48","2.77","","","","NaN"
"1.0315","309","122.2","22.5","0.0005","502.05","2.70","","","","NaN"
"1.0515","454","166.3","22.5","0.0000","497.44","2.70","","","","NaN"
"1.0715","472","173.0","22.5","0.0010","560.92","2.75","","","","NaN"
"1.1215","489","185.2","22.5","0.0030","365.15","2.56","","","","NaN"
"1.1670","503","193.2","22.5","0.0030","354.75","2.55","","","","NaN"
"1.2305","515","201.2","22.5","0.0055","","","","","",""
"1.3200","526","209.6","22.5","0.0085","","","","","",""
"1.4320","535","217.2","22.5","0.0120","","","","","",""
"1.5960","544","225.4","22.5","0.0180","","","","","",""
"1.7960","552","232.8","22.5","0.0255","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","109.6","22.6","NaN","","","","","",""
"0.0200","27","56.0","22.6","0.0005","","","","","",""
"0.0400","166","-44.4","22.6","0.0000","","","","","",""
"0.0600","169","-44.7","22.6","0.0070","","","","","",""
"0.1100","172","-44.7","22.6","0.0160","","","","","",""
"0.2350","202","-31.6","22.6","0.0040","549.03","2.74","","","","NaN"
"0.2640","233","-22.1","22.6","0.0010","188.58","2.28","","","","NaN"
"0.2840","263","-15.3","22.6","0.0005","106.15","2.03","","","","NaN"
"0.3070","293","-9.9","22.6","0.0010","100.04","2.00","","","","NaN"
"0.3570","323","-4.6","22.6","0.0015","92.71","1.97","","","","NaN"
"0.4820","350","0.1","22.6","0.0045","46.08","1.66","","","","NaN"
"0.6820","380","7.1","22.6","0.0065","6.23","0.79","","","","NaN"
"0.8820","410","16.9","22.6","0.0065","85.96","1.93","","","","NaN"
"1.0155","440","27.5","22.6","0.0045","220.99","2.34","","","","NaN"
"1.0770","470","39.3","22.6","0.0020","317.71","2.50","","","","NaN"
"1.0970","500","50.1","22.6","0.0005","362.01","2.56","","","","NaN"
"1.1170","531","60.4","22.6","0.0005","389.12","2.59","","","","NaN"
"1.1370","561","70.5","22.6","0.0005","450.24","2.65","","","","NaN"
"1.1570","591","79.8","22.6","0.0005","499.58","2.70","","","","NaN"
"1.1770","621","88.8","22.6","0.0005","436.49","2.64","","","","NaN"
"1.1970","652","97.4","22.6","0.0005","427.75","2.63","","","","NaN"
"1.2170","682","105.9","22.6","0.0005","440.20","2.64","","","","NaN"
"1.2370","712","114.4","22.6","0.0005","468.30","2.67","","","","NaN"
"1.2570","742","123.9","22.6","0.0005","497.90","2.70","","","","NaN"
"1.2770","772","134.3","22.5","0.0005","507.42","2.71","","","","NaN"
"1.2970","803","145.3","22.5","0.0005","481.73","2.68","","","","NaN"
"1.3170","829","154.9","22.5","0.0010","421.27","2.62","","","","NaN"
"1.3370","853","163.2","22.5","0.0010","363.53","2.56","","","","NaN"
"1.3590","872","170.4","22.5","0.0010","317.22","2.50","","","","NaN"
"1.3905","889","178.9","22.5","0.0020","261.64","2.42","","","","NaN"
"1.4265","904","186.1","22.5","0.0025","210.53","2.32","","","","NaN"
"1.4800","918","194.4","22.5","0.0040","159.41","2.20","","","","NaN"
"1.5455","929","201.8","22.5","0.0060","","","","","",""
"1.6445","939","210.2","22.5","0.0100","","","","","",""
"1.7710","948","218.0","22.5","0.0150","","","","","",""
"1.9490","956","226.1","22.5","0.0215","","","","","",""
"2.1490","964","232.8","22.5","0.0245","","","","","",""
