"Task","T3028"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","170.4","22.4"
"2","170.4","22.4"
"3","170.5","22.4"
"4","170.5","22.4"
"5","170.5","22.4"
"6","170.5","22.4"
"7","170.5","22.4"
"8","170.6","22.4"
"9","170.6","22.4"
"10","170.7","22.4"
"11","170.7","22.4"
"12","170.7","22.4"
"13","170.7","22.4"
"14","170.7","22.4"
"15","170.8","22.4"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-1.0","22.2"
"2","-1.0","22.2"
"3","-1.0","22.2"
"4","-1.1","22.2"
"5","-1.0","22.2"
"6","-1.0","22.2"
"7","-1.0","22.2"
"8","-1.0","22.2"
"9","-1.1","22.2"
"10","-1.1","22.2"
"11","-1.0","22.2"
"12","-1.0","22.2"
"13","-1.0","22.2"
"14","-1.0","22.2"
"15","-1.0","22.2"
"16","-1.0","22.2"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-172.4","22.2"
"2","-172.4","22.2"
"3","-172.4","22.2"
"4","-172.4","22.2"
"5","-172.4","22.2"
"6","-172.4","22.2"
"7","-172.4","22.2"
"8","-172.4","22.2"
"9","-172.4","22.2"
"10","-172.4","22.2"
"11","-172.4","22.2"
"12","-172.4","22.2"
"13","-172.4","22.2"
"14","-172.4","22.2"
"15","-172.4","22.2"
